event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,2,2,1,1,1787953539924278395,1787953539923309655,5117009086449,0,0,0,0
tx,2,2,1,1,1787953539924285099,1787953539923309655,5117009093560,5117009120320,72,0,0
rx,3,3,1,1,1787953539925429618,1787953539924399451,5117010237690,0,0,0,0
tx,3,3,1,1,1787953539925433118,1787953539924399451,5117010241338,5117010253968,72,0,0
rx,4,4,1,1,1787953539926530581,1787953539925499988,5117011338653,0,0,0,0
tx,4,4,1,1,1787953539926533951,1787953539925499988,5117011342134,5117011354023,72,0,0
rx,5,5,1,1,1787953540025561451,1787953540024511655,5117110369505,0,0,0,0
tx,5,5,1,1,1787953540025565655,1787953540024511655,5117110373875,5117110393431,72,0,0
rx,6,6,1,1,1787953540026685581,1787953540025658932,5117111493653,0,0,0,0
tx,6,6,1,1,1787953540026688988,1787953540025658932,5117111497171,5117111509060,72,0,0
rx,7,7,1,1,1787953540027783784,1787953540026774303,5117112591857,0,0,0,0
tx,7,7,1,1,1787953540027787340,1787953540026774303,5117112595616,5117112607116,72,0,0
rx,8,8,1,1,1787953540028884118,1787953540027918043,5117113692116,0,0,0,0
tx,8,8,1,1,1787953540028887618,1787953540027918043,5117113695801,5117113707246,72,0,0
rx,9,9,1,1,1787953540029982155,1787953540029128895,5117114790227,0,0,0,0
tx,9,9,1,1,1787953540029987469,1787953540029128895,5117114795653,5117114806634,72,0,0
rx,10,10,1,1,1787953540031080210,1787953540030134469,5117115888283,0,0,0,0
tx,10,10,1,1,1787953540031083618,1787953540030134469,5117115891801,5117115902634,72,0,0
rx,11,11,1,1,1787953540032176155,1787953540031260618,5117116984227,0,0,0,0
tx,11,11,1,1,1787953540032179469,1787953540031260618,5117116987653,5117116998449,72,0,0
rx,12,12,1,1,1787953540128024192,1787953540126960062,5117212832245,0,0,0,0
tx,12,12,1,1,1787953540128028766,1787953540126960062,5117212836986,5117212857690,72,0,0
rx,13,13,1,1,1787953540129151617,1787953540128088543,5117213959690,0,0,0,0
tx,13,13,1,1,1787953540129155043,1787953540128088543,5117213963227,5117213974875,72,0,0
rx,14,14,1,1,1787953540130248729,1787953540129214192,5117215056801,0,0,0,0
tx,14,14,1,1,1787953540130252136,1787953540129214192,5117215060320,5117215071671,72,0,0
rx,16,16,1,1,1787953540132409469,1787953540131497303,5117217217542,0,0,0,0
tx,16,16,1,1,1787953540132412858,1787953540131497303,5117217221042,5117217232264,72,0,0
rx,17,17,1,1,1787953540133509062,1787953540132618155,5117218317134,0,0,0,0
tx,17,17,1,1,1787953540133514358,1787953540132618155,5117218322542,5117218334283,72,0,0
rx,18,18,1,1,1787953540134618525,1787953540133745766,5117219426597,0,0,0,0
tx,18,18,1,1,1787953540134622395,1787953540133745766,5117219430671,5117219444708,72,0,0
rx,19,19,1,1,1787953540229421062,1787953540229372043,5117314229116,0,0,0,0
tx,19,19,1,1,1787953540229425043,1787953540229372043,5117314233301,5117314250653,72,0,0
rx,20,20,1,1,1787953540230549321,1787953540230523358,5117315357301,0,0,0,0
tx,20,20,1,1,1787953540230555525,1787953540230523358,5117315363782,5117315379227,72,0,0
rx,21,21,1,1,1787953540231668340,1787953540231636173,5117316476412,0,0,0,0
tx,21,21,1,1,1787953540231671784,1787953540231636173,5117316480060,5117316494357,72,0,0
rx,22,22,1,1,1787953540232774988,1787953540232747062,5117317583060,0,0,0,0
tx,22,22,1,1,1787953540232778321,1787953540232747062,5117317586597,5117317597653,72,0,0
rx,23,23,1,1,1787953540234936173,1787953540233865673,5117319744245,0,0,0,0
tx,23,23,1,1,1787953540234939617,1787953540233865673,5117319747857,5117319759579,72,0,0
rx,24,24,1,1,1787953540236033080,1787953540234992414,5117320841153,0,0,0,0
