kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953539923309655,5117008233579,192.168.20.11,50261,192.168.20.255,12345,2,2,8,3
1787953539924399451,5117009251931,192.168.20.11,50261,192.168.20.255,12345,3,3,8,3
1787953539925499988,5117010345394,192.168.20.11,50261,192.168.20.255,12345,4,4,8,3
1787953540024511655,5117109408190,192.168.20.11,50261,192.168.20.255,12345,5,5,8,3
1787953540025658932,5117110503597,192.168.20.11,50261,192.168.20.255,12345,6,6,8,3
1787953540026774303,5117111614634,192.168.20.11,50261,192.168.20.255,12345,7,7,8,3
1787953540027918043,5117112762523,192.168.20.11,50261,192.168.20.255,12345,8,8,8,3
1787953540029128895,5117113970709,192.168.20.11,50261,192.168.20.255,12345,9,9,8,3
1787953540030134469,5117114972301,192.168.20.11,50261,192.168.20.255,12345,10,10,8,3
1787953540031260618,5117116101764,192.168.20.11,50261,192.168.20.255,12345,11,11,8,3
1787953540126960062,5117211854820,192.168.20.11,50261,192.168.20.255,12345,12,12,8,3
1787953540128088543,5117212935783,192.168.20.11,50261,192.168.20.255,12345,13,13,8,3
1787953540129214192,5117214057986,192.168.20.11,50261,192.168.20.255,12345,14,14,8,3
1787953540131497303,5117216337783,192.168.20.11,50261,192.168.20.255,12345,16,16,8,3
1787953540132618155,5117217459745,192.168.20.11,50261,192.168.20.255,12345,17,17,8,3
1787953540133745766,5117218608616,192.168.20.11,50261,192.168.20.255,12345,18,18,8,3
1787953540229372043,5117314263023,192.168.20.11,50261,192.168.20.255,12345,19,19,8,3
1787953540230523358,5117315389338,192.168.20.11,50261,192.168.20.255,12345,20,20,8,3
1787953540231636173,5117316491023,192.168.20.11,50261,192.168.20.255,12345,21,21,8,3
1787953540232747062,5117317586912,192.168.20.11,50261,192.168.20.255,12345,22,22,8,3
1787953540233865673,5117318702986,192.168.20.11,50261,192.168.20.255,12345,23,23,8,3
1787953540234992414,5117319837097,192.168.20.11,50261,192.168.20.255,12345,24,24,8,3
1787953540331763728,5117416655838,192.168.20.11,50261,192.168.20.255,12345,25,25,8,3
1787953540332886951,5117417731116,192.168.20.11,50261,192.168.20.255,12345,26,26,8,3
1787953540334007154,5117418850356,192.168.20.11,50261,192.168.20.255,12345,27,27,8,3
1787953540335132562,5117419998634,192.168.20.11,50261,192.168.20.255,12345,28,28,8,3
1787953540336264043,5117421123671,192.168.20.11,50261,192.168.20.255,12345,29,29,8,3
1787953540337362080,5117422200949,192.168.20.11,50261,192.168.20.255,12345,30,30,8,3
1787953540338481025,5117423318579,192.168.20.11,50261,192.168.20.255,12345,31,31,8,3
1787953540434292173,5117519182875,192.168.20.11,50261,192.168.20.255,12345,32,32,8,3
1787953540435545136,5117520389986,192.168.20.11,50261,192.168.20.255,12345,33,33,8,3
1787953540436821228,5117521659319,192.168.20.11,50261,192.168.20.255,12345,34,34,8,3
