pc_mono_ns,bytes
76719002326800,856
76719106651300,1624
76719214303300,1392
76719327562100,1609
76719442435000,1806
76719547165700,1618
76719657650000,1448
76719759761700,1624
76719869350000,1579
76719977939700,1446
76720086679500,1621
76720201812700,1596
76720313265700,1596
76720415706100,1368
76720515714200,1596
76720627387600,1596
76720739597500,1596
76720847326000,1596
76720959003600,1596
76721060764500,1368
76721162890100,1368
76721271945200,1596
76721372389100,1368
76721477243500,1596
76721582038400,1586
76721694975700,1561
76721805383700,1561
76721908349800,1338
76722018054200,1561
76722126312200,1561
76722231652100,1338
76722332029000,1338
76722433348000,1561
76722541803300,1561
76722647953100,1561
76722758202900,1338
76722866353900,1561
76722967357300,1338
76723068732100,1561
76723169418900,1338
76723269518900,1338
76723369675600,1338
76723474902800,1561
76723582482000,1561
76723697110700,1561
76723809073300,1561
76723919835300,1561
76724028865400,1561
76724132365000,1338
76724240346800,1561
76724355422700,1561
76724465549100,1561
76724573942600,1561
76724688102200,1561
76724797916900,1561
76724912235900,1561
76725021579700,1561
76725126773300,1561
76725234354700,1338
76725344656700,1561
76725453754800,1561
76725563843100,1561
76725671791100,1561
76725786287500,1561
76725895187100,1561
76726005610100,1561
76726107652600,1338
76726210874400,1338
76726322347500,1561
76726425342800,1561
76726534584700,1561
76726639143700,1343
76726748523300,1556
76726859221500,1561
76726968428600,1561
76727084458000,1561
76727193664400,1561
76727301798100,1561
76727411722600,1338
76727525529700,1784
76727638863000,1561
76727749718100,1561
76727856041100,1561
76727967119200,1338
76728074883900,1561
76728185686300,1561
76728296513500,1561
76728405683400,1561
76728512393200,1338
76728621483300,1784
76728730034400,1338
76728842937000,1561
76728946994700,1561
76729053762900,1338
76729154387900,1561
76729260948100,1338
76729362373100,1561
76729472226100,1338
76729586422500,1784
76729697018700,1561
76729802819000,1338
76729911354600,1561
76730016157400,1561
76730127988700,1561
76730233151100,1338
76730284992600,4096
76730312167100,4096
76730339259300,4096
76730366029900,4096
76730393378300,4096
76730420892000,4096
76730448210800,4096
76730474815200,4096
76730582912500,2314
76730686653900,1561
76730795069200,1586
76730895224300,1368
76731003816400,1590
76731118496600,1602
76731222377800,1368
76731331618200,1596
76731439096900,1596
76731552695000,1596
76731655439400,1459
76731762417200,1505
76731866205700,1596
76731974030100,1368
76732075791600,1596
76732181688200,1368
76732295838900,1596
76732398665200,1596
76732499182200,1368
76732613379900,1753
76732722153600,1439
76732835678400,1596
76732944478400,1596
76733045926900,1368
76733147239200,1596
76733250354400,1368
76733365566400,1596
76733480241600,1596
76733588784700,1824
76733699987600,1487
76733809676900,1477
76733919682700,1596
76734035244300,1596
76734136590400,1596
76734251605100,1596
76734360961900,1596
76734475527600,1596
76734586384600,1596
76734695509300,1596
76734804312200,1596
76734913611800,1368
76735014035300,1596
76735116621500,1368
76735229127200,1596
76735331999000,1368
76735440090100,1596
76735540591100,1368
76735650571600,1824
76735761658800,1596
76735863205600,1368
76735973069700,1596
76736077012400,1368
