pc_mono_ns,bytes
77114894885700,1596
77115005931200,1596
77115120055700,1596
77115231158500,1596
77115338152500,1368
77115449243400,1596
77115550887100,1596
77115660391600,1596
77115775010800,1596
77115886440300,1596
77115987707400,1368
77116114398700,1824
77116227915600,1596
77116342660100,1596
77116447237000,1596
77116548110200,1368
77116648731700,1596
77116755722600,1500
77116871104900,1692
77116972030500,1368
77117082397500,456
77118054680900,62
77118387617700,82
77119258117900,856
77119368061900,1624
77119476600600,1624
77119577577700,1392
77119691985500,1624
77119794841400,1624
77119906617200,1624
77120020326600,1624
77120121459900,1393
77120223589300,1606
77120331604600,1368
77120439658500,1561
77120548245600,1561
77120651242400,1338
77120766222700,1784
77120879827800,1561
77120989062500,1561
77121092093000,1338
77121192749100,1338
77121294163400,1561
77121406620800,1561
77121514162300,1338
77121615198600,1561
77121726442400,1561
77121838901000,1561
77121951702900,1561
77122054651600,1338
77122164219400,1561
77122271635800,1561
77122380493100,1561
77122486145700,1338
77122593951000,1561
77122699808500,1478
77122804427400,1508
77122913959000,1474
77123014608600,1561
77123117966000,1338
77123226710100,1561
77123330841700,1338
77123435603800,1561
77123540090300,1338
77123649576400,1561
77123760962400,1561
77123872509800,1561
77123982812800,1561
77124089169000,1561
77124199754100,1561
77124314954300,1561
77124414988400,1325
77124523586400,1561
77124633459800,1561
77124747046300,1561
77124859290700,1561
77124972163800,1561
77125077038200,1561
77125186468100,1338
77125288410700,1561
77125396399600,1409
77125500253800,1490
77125608141800,1561
77125714829800,1338
77125824813700,1784
77125929029700,1338
77126041093800,1561
77126144217100,1338
77126252834500,1561
77126362195500,1561
77126463281200,1338
77126564723200,1561
77126675013600,1338
77126784495500,1780
77126894115900,1445
77127004752800,1454
77127110592900,1561
77127211877800,1338
77127321065200,1561
77127427533900,1561
77127528711200,1338
77127633155200,1338
77127741138300,1586
77127845445500,1596
77127956646100,1596
77128059711000,1368
77128168845800,1596
77128280441300,1596
77128389462100,1596
77128497512900,1596
77128606230700,1368
77128715568600,1596
77128820075100,1596
77128925164500,1596
77129025663500,1368
77129134981200,1596
77129244368100,1368
77129353833500,1596
77129467304900,1596
77129575778200,1596
77129683840000,1596
77129795718200,1596
77129905914300,1596
77130015482200,1596
77130120493600,1368
77130232234600,1596
77130341750300,1596
77130455937000,1596
77130565840400,1596
77130667742300,1368
77130777429100,1596
77130885343300,1596
77130995974900,1596
77131098777500,1596
77131209645600,1554
77131320109100,1410
77131427648900,1596
77131539366700,1596
77131644811000,1596
77131749036600,1368
77131861826700,1784
77131973795400,1425
77132087376000,1807
77132199343800,1430
77132312763900,1755
77132423579800,1375
