event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954068388105692,1787954068388001969,5645472913764,0,0,0,0
tx,1,1,1,1,1787954068388112210,1787954068388001969,5645472920394,5645472987079,72,0,0
rx,2,2,1,1,1787954068403168191,1787954068402907914,5645487976245,0,0,0,0
tx,2,2,1,1,1787954068403172395,1787954068402907914,5645487980634,5645487998616,72,0,0
rx,3,3,1,1,1787954068418136691,1787954068417904710,5645502944764,0,0,0,0
tx,3,3,1,1,1787954068418140840,1787954068417904710,5645502949079,5645502966912,72,0,0
rx,4,4,1,1,1787954068433128932,1787954068432904951,5645517936986,0,0,0,0
tx,4,4,1,1,1787954068433133673,1787954068432904951,5645517941912,5645517961264,72,0,0
rx,5,5,1,1,1787954068448110969,1787954068447899266,5645532919042,0,0,0,0
tx,5,5,1,1,1787954068448114710,1787954068447899266,5645532922986,5645532938653,72,0,0
rx,6,6,1,1,1787954068463079840,1787954068462908043,5645547887912,0,0,0,0
tx,6,6,1,1,1787954068463084303,1787954068462908043,5645547892523,5645547911245,72,0,0
rx,7,7,1,1,1787954068478074580,1787954068477916858,5645562882542,0,0,0,0
tx,7,7,1,1,1787954068478079025,1787954068477916858,5645562887208,5645562908690,72,0,0
rx,8,8,1,1,1787954068493064025,1787954068492910266,5645577872097,0,0,0,0
tx,8,8,1,1,1787954068493068099,1787954068492910266,5645577876505,5645577893523,72,0,0
rx,9,9,1,1,1787954068508030099,1787954068507903210,5645592838153,0,0,0,0
tx,9,9,1,1,1787954068508034080,1787954068507903210,5645592842319,5645592856727,72,0,0
rx,10,10,1,1,1787954068522994525,1787954068522903951,5645607802597,0,0,0,0
tx,10,10,1,1,1787954068522998154,1787954068522903951,5645607806393,5645607821616,72,0,0
rx,11,11,1,1,1787954068537970543,1787954068537912673,5645622778616,0,0,0,0
tx,11,11,1,1,1787954068537974432,1787954068537912673,5645622782708,5645622800375,72,0,0
rx,12,12,1,1,1787954068552943191,1787954068552902469,5645637751264,0,0,0,0
tx,12,12,1,1,1787954068552946784,1787954068552902469,5645637755005,5645637770097,72,0,0
rx,13,13,1,1,1787954068568977488,1787954068567907710,5645653785560,0,0,0,0
tx,13,13,1,1,1787954068568981247,1787954068567907710,5645653789486,5645653806856,72,0,0
rx,14,14,1,1,1787954068583961691,1787954068582923377,5645668769745,0,0,0,0
tx,14,14,1,1,1787954068583967895,1787954068582923377,5645668776116,5645668794856,72,0,0
rx,15,15,1,1,1787954068598910617,1787954068597906136,5645683718690,0,0,0,0
tx,15,15,1,1,1787954068598914302,1787954068597906136,5645683722523,5645683737782,72,0,0
rx,16,16,1,1,1787954068613853099,1787954068612903340,5645698661171,0,0,0,0
tx,16,16,1,1,1787954068613856580,1787954068612903340,5645698664819,5645698679986,72,0,0
rx,17,17,1,1,1787954068628851543,1787954068627919414,5645713659616,0,0,0,0
tx,17,17,1,1,1787954068628855802,1787954068627919414,5645713664042,5645713684375,72,0,0
rx,18,18,1,1,1787954068643831710,1787954068642909914,5645728639782,0,0,0,0
tx,18,18,1,1,1787954068643835432,1787954068642909914,5645728643671,5645728660208,72,0,0
rx,19,19,1,1,1787954068658807839,1787954068657903043,5645743615893,0,0,0,0
tx,19,19,1,1,1787954068658811877,1787954068657903043,5645743620116,5645743638893,72,0,0
rx,20,20,1,1,1787954068673800673,1787954068672923377,5645758608727,0,0,0,0
tx,20,20,1,1,1787954068673805321,1787954068672923377,5645758613542,5645758634986,72,0,0
rx,21,21,1,1,1787954068688784117,1787954068687917988,5645773592190,0,0,0,0
tx,21,21,1,1,1787954068688789821,1787954068687917988,5645773598005,5645773614986,72,0,0
rx,22,22,1,1,1787954068703750488,1787954068702902580,5645788558560,0,0,0,0
tx,22,22,1,1,1787954068703754228,1787954068702902580,5645788562412,5645788577079,72,0,0
rx,23,23,1,1,1787954068718718247,1787954068717911747,5645803526319,0,0,0,0
tx,23,23,1,1,1787954068718722414,1787954068717911747,5645803530634,5645803547930,72,0,0
rx,24,24,1,1,1787954068733699617,1787954068732915173,5645818507690,0,0,0,0
tx,24,24,1,1,1787954068733704136,1787954068732915173,5645818512375,5645818531060,72,0,0
rx,25,25,1,1,1787954068748676765,1787954068747907247,5645833484838,0,0,0,0
tx,25,25,1,1,1787954068748680210,1787954068747907247,5645833488430,5645833505004,72,0,0
