kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954068388001969,5645472915412,127.0.0.1,37792,127.0.0.1,12345,1,1,8,3
1787954068402907914,5645487757079,127.0.0.1,37792,127.0.0.1,12345,2,2,8,3
1787954068417904710,5645502750579,127.0.0.1,37792,127.0.0.1,12345,3,3,8,3
1787954068432904951,5645517748116,127.0.0.1,37792,127.0.0.1,12345,4,4,8,3
1787954068447899266,5645532742764,127.0.0.1,37792,127.0.0.1,12345,5,5,8,3
1787954068462908043,5645547881097,127.0.0.1,37792,127.0.0.1,12345,6,6,8,3
1787954068477916858,5645562801394,127.0.0.1,37792,127.0.0.1,12345,7,7,8,3
1787954068492910266,5645577827375,127.0.0.1,37792,127.0.0.1,12345,8,8,8,3
1787954068507903210,5645592809616,127.0.0.1,37792,127.0.0.1,12345,9,9,8,3
1787954068522903951,5645607813523,127.0.0.1,37792,127.0.0.1,12345,10,10,8,3
1787954068537912673,5645622847023,127.0.0.1,37792,127.0.0.1,12345,11,11,8,3
1787954068552902469,5645637812005,127.0.0.1,37792,127.0.0.1,12345,12,12,8,3
1787954068567907710,5645652824023,127.0.0.1,37792,127.0.0.1,12345,13,13,8,3
1787954068582923377,5645667871153,127.0.0.1,37792,127.0.0.1,12345,14,14,8,3
1787954068597906136,5645682815653,127.0.0.1,37792,127.0.0.1,12345,15,15,8,3
1787954068612903340,5645697805393,127.0.0.1,37792,127.0.0.1,12345,16,16,8,3
1787954068627919414,5645712859301,127.0.0.1,37792,127.0.0.1,12345,17,17,8,3
1787954068642909914,5645727822967,127.0.0.1,37792,127.0.0.1,12345,18,18,8,3
1787954068657903043,5645742805375,127.0.0.1,37792,127.0.0.1,12345,19,19,8,3
1787954068672923377,5645757873134,127.0.0.1,37792,127.0.0.1,12345,20,20,8,3
1787954068687917988,5645772853227,127.0.0.1,37792,127.0.0.1,12345,21,21,8,3
1787954068702902580,5645787807634,127.0.0.1,37792,127.0.0.1,12345,22,22,8,3
1787954068717911747,5645802830819,127.0.0.1,37792,127.0.0.1,12345,23,23,8,3
1787954068732915173,5645817846301,127.0.0.1,37792,127.0.0.1,12345,24,24,8,3
1787954068747907247,5645832821967,127.0.0.1,37792,127.0.0.1,12345,25,25,8,3
1787954068762909025,5645847824597,127.0.0.1,37792,127.0.0.1,12345,26,26,8,3
1787954068777912858,5645862837356,127.0.0.1,37792,127.0.0.1,12345,27,27,8,3
1787954068792903117,5645877808097,127.0.0.1,37792,127.0.0.1,12345,28,28,8,3
1787954068807902210,5645892804875,127.0.0.1,37792,127.0.0.1,12345,29,29,8,3
1787954068822901339,5645907804930,127.0.0.1,37792,127.0.0.1,12345,30,30,8,3
1787954068837911450,5645922840782,127.0.0.1,37792,127.0.0.1,12345,31,31,8,3
1787954068852902821,5645937807004,127.0.0.1,37792,127.0.0.1,12345,32,32,8,3
1787954068867918358,5645952857967,127.0.0.1,37792,127.0.0.1,12345,33,33,8,3
1787954068882916858,5645967847986,127.0.0.1,37792,127.0.0.1,12345,34,34,8,3
1787954068897904376,5645982811301,127.0.0.1,37792,127.0.0.1,12345,35,35,8,3
1787954068912900487,5645997804023,127.0.0.1,37792,127.0.0.1,12345,36,36,8,3
1787954068927921747,5646012864245,127.0.0.1,37792,127.0.0.1,12345,37,37,8,3
1787954068942907580,5646027816578,127.0.0.1,37792,127.0.0.1,12345,38,38,8,3
1787954068957900617,5646042803282,127.0.0.1,37792,127.0.0.1,12345,39,39,8,3
1787954068972927173,5646057879023,127.0.0.1,37792,127.0.0.1,12345,40,40,8,3
1787954068987905024,5646072813171,127.0.0.1,37792,127.0.0.1,12345,41,41,8,3
1787954069002901839,5646087823467,127.0.0.1,37792,127.0.0.1,12345,42,42,8,3
1787954069017903506,5646102811893,127.0.0.1,37792,127.0.0.1,12345,43,43,8,3
1787954069032913247,5646117837245,127.0.0.1,37792,127.0.0.1,12345,44,44,8,3
1787954069047902673,5646132809727,127.0.0.1,37792,127.0.0.1,12345,45,45,8,3
1787954069062910321,5646147826208,127.0.0.1,37792,127.0.0.1,12345,46,46,8,3
1787954069077917839,5646162884097,127.0.0.1,37792,127.0.0.1,12345,47,47,8,3
1787954069092905210,5646177811060,127.0.0.1,37792,127.0.0.1,12345,48,48,8,3
1787954069107903080,5646192805541,127.0.0.1,37792,127.0.0.1,12345,49,49,8,3
1787954069122905228,5646207815393,127.0.0.1,37792,127.0.0.1,12345,50,50,8,3
1787954069137913561,5646222843856,127.0.0.1,37792,127.0.0.1,12345,51,51,8,3
1787954069152910710,5646237828115,127.0.0.1,37792,127.0.0.1,12345,52,52,8,3
1787954069167912469,5646252842097,127.0.0.1,37792,127.0.0.1,12345,53,53,8,3
1787954069182913228,5646267838301,127.0.0.1,37792,127.0.0.1,12345,54,54,8,3
1787954069197906895,5646282818282,127.0.0.1,37792,127.0.0.1,12345,55,55,8,3
1787954069212901117,5646297798893,127.0.0.1,37792,127.0.0.1,12345,56,56,8,3
1787954069227959376,5646312882375,127.0.0.1,37792,127.0.0.1,12345,57,57,8,3
1787954069242903376,5646327829263,127.0.0.1,37792,127.0.0.1,12345,58,58,8,3
1787954069257922395,5646342823875,127.0.0.1,37792,127.0.0.1,12345,59,59,8,3
1787954069272925784,5646357872560,127.0.0.1,37792,127.0.0.1,12345,60,60,8,3
1787954069287904858,5646372811726,127.0.0.1,37792,127.0.0.1,12345,61,61,8,3
1787954069302900969,5646387806023,127.0.0.1,37792,127.0.0.1,12345,62,62,8,3
1787954069317918580,5646402855782,127.0.0.1,37792,127.0.0.1,12345,63,63,8,3
1787954069332904117,5646417808097,127.0.0.1,37792,127.0.0.1,12345,64,64,8,3
1787954069347904135,5646432815060,127.0.0.1,37792,127.0.0.1,12345,65,65,8,3
1787954069362909135,5646447831189,127.0.0.1,37792,127.0.0.1,12345,66,66,8,3
1787954069377936672,5646462901782,127.0.0.1,37792,127.0.0.1,12345,67,67,8,3
1787954069392905506,5646477811689,127.0.0.1,37792,127.0.0.1,12345,68,68,8,3
1787954069407902950,5646492809411,127.0.0.1,37792,127.0.0.1,12345,69,69,8,3
1787954069422921061,5646507859597,127.0.0.1,37792,127.0.0.1,12345,70,70,8,3
1787954069437904672,5646522810745,127.0.0.1,37792,127.0.0.1,12345,71,71,8,3
1787954069452907228,5646537815300,127.0.0.1,37792,127.0.0.1,12345,72,72,8,3
1787954069467909617,5646552833708,127.0.0.1,37792,127.0.0.1,12345,73,73,8,3
1787954069482915635,5646567844671,127.0.0.1,37792,127.0.0.1,12345,74,74,8,3
1787954069497903876,5646582807634,127.0.0.1,37792,127.0.0.1,12345,75,75,8,3
1787954069512901098,5646597801782,127.0.0.1,37792,127.0.0.1,12345,76,76,8,3
1787954069527943969,5646612966078,127.0.0.1,37792,127.0.0.1,12345,77,77,8,3
1787954069542937024,5646627930967,127.0.0.1,37792,127.0.0.1,12345,78,78,8,3
1787954069557941691,5646642948171,127.0.0.1,37792,127.0.0.1,12345,79,79,8,3
1787954069572969098,5646658024578,127.0.0.1,37792,127.0.0.1,12345,80,80,8,3
1787954069587937635,5646672937134,127.0.0.1,37792,127.0.0.1,12345,81,81,8,3
1787954069602934376,5646687922319,127.0.0.1,37792,127.0.0.1,12345,82,82,8,3
1787954069617955524,5646702998522,127.0.0.1,37792,127.0.0.1,12345,83,83,8,3
1787954069632937339,5646717929671,127.0.0.1,37792,127.0.0.1,12345,84,84,8,3
1787954069647946654,5646732947300,127.0.0.1,37792,127.0.0.1,12345,85,85,8,3
1787954069662945302,5646747946004,127.0.0.1,37792,127.0.0.1,12345,86,86,8,3
1787954069677968728,5646763030485,127.0.0.1,37792,127.0.0.1,12345,87,87,8,3
1787954069692943617,5646777952245,127.0.0.1,37792,127.0.0.1,12345,88,88,8,3
1787954069707950117,5646792966022,127.0.0.1,37792,127.0.0.1,12345,89,89,8,3
1787954069722964635,5646808049245,127.0.0.1,37792,127.0.0.1,12345,90,90,8,3
1787954069737946098,5646822948985,127.0.0.1,37792,127.0.0.1,12345,91,91,8,3
1787954069752939876,5646837937134,127.0.0.1,37792,127.0.0.1,12345,92,92,8,3
1787954069767962598,5646853009874,127.0.0.1,37792,127.0.0.1,12345,93,93,8,3
1787954069782948376,5646867965282,127.0.0.1,37792,127.0.0.1,12345,94,94,8,3
1787954069797936931,5646882932726,127.0.0.1,37792,127.0.0.1,12345,95,95,8,3
1787954069812933598,5646897926096,127.0.0.1,37792,127.0.0.1,12345,96,96,8,3
1787954069827948561,5646912968819,127.0.0.1,37792,127.0.0.1,12345,97,97,8,3
1787954069842936413,5646927934041,127.0.0.1,37792,127.0.0.1,12345,98,98,8,3
1787954069858003468,5646943161263,127.0.0.1,37792,127.0.0.1,12345,99,99,8,3
1787954069872957617,5646957991763,127.0.0.1,37792,127.0.0.1,12345,100,100,8,3
1787954069887945542,5646972955856,127.0.0.1,37792,127.0.0.1,12345,101,101,8,3
1787954069902942709,5646987940874,127.0.0.1,37792,127.0.0.1,12345,102,102,8,3
1787954069917942061,5647002948245,127.0.0.1,37792,127.0.0.1,12345,103,103,8,3
1787954069932953320,5647017982189,127.0.0.1,37792,127.0.0.1,12345,104,104,8,3
1787954069947942302,5647032937059,127.0.0.1,37792,127.0.0.1,12345,105,105,8,3
1787954069962945635,5647047956189,127.0.0.1,37792,127.0.0.1,12345,106,106,8,3
1787954069977951728,5647062970615,127.0.0.1,37792,127.0.0.1,12345,107,107,8,3
1787954069992936987,5647077930559,127.0.0.1,37792,127.0.0.1,12345,108,108,8,3
1787954070007935561,5647092927911,127.0.0.1,37792,127.0.0.1,12345,109,109,8,3
1787954070022957876,5647108037707,127.0.0.1,37792,127.0.0.1,12345,110,110,8,3
1787954070037938320,5647122936689,127.0.0.1,37792,127.0.0.1,12345,111,111,8,3
1787954070052936413,5647137930133,127.0.0.1,37792,127.0.0.1,12345,112,112,8,3
1787954070067963172,5647153014763,127.0.0.1,37792,127.0.0.1,12345,113,113,8,3
1787954070082939672,5647167937689,127.0.0.1,37792,127.0.0.1,12345,114,114,8,3
1787954070097935376,5647182922152,127.0.0.1,37792,127.0.0.1,12345,115,115,8,3
1787954070112934802,5647197924170,127.0.0.1,37792,127.0.0.1,12345,116,116,8,3
1787954070127947876,5647212962615,127.0.0.1,37792,127.0.0.1,12345,117,117,8,3
1787954070142952227,5647227971485,127.0.0.1,37792,127.0.0.1,12345,118,118,8,3
1787954070157941487,5647242940781,127.0.0.1,37792,127.0.0.1,12345,119,119,8,3
1787954070172955653,5647257987355,127.0.0.1,37792,127.0.0.1,12345,120,120,8,3
1787954070187944227,5647272945800,127.0.0.1,37792,127.0.0.1,12345,121,121,8,3
1787954070202935172,5647287965689,127.0.0.1,37792,127.0.0.1,12345,122,122,8,3
1787954070217971172,5647302975189,127.0.0.1,37792,127.0.0.1,12345,123,123,8,3
1787954070232952653,5647317980781,127.0.0.1,37792,127.0.0.1,12345,124,124,8,3
1787954070247938987,5647332938541,127.0.0.1,37792,127.0.0.1,12345,125,125,8,3
1787954070262936264,5647347967985,127.0.0.1,37792,127.0.0.1,12345,126,126,8,3
1787954070277951172,5647362978874,127.0.0.1,37792,127.0.0.1,12345,127,127,8,3
1787954070292939357,5647377935152,127.0.0.1,37792,127.0.0.1,12345,128,128,8,3
1787954070307936727,5647392925189,127.0.0.1,37792,127.0.0.1,12345,129,129,8,3
1787954070322957690,5647408088263,127.0.0.1,37792,127.0.0.1,12345,130,130,8,3
1787954070337938653,5647422935929,127.0.0.1,37792,127.0.0.1,12345,131,131,8,3
1787954070352938968,5647437936911,127.0.0.1,37792,127.0.0.1,12345,132,132,8,3
1787954070367973783,5647453032263,127.0.0.1,37792,127.0.0.1,12345,133,133,8,3
1787954070382947320,5647467950781,127.0.0.1,37792,127.0.0.1,12345,134,134,8,3
1787954070397938320,5647482932374,127.0.0.1,37792,127.0.0.1,12345,135,135,8,3
1787954070412981061,5647498058615,127.0.0.1,37792,127.0.0.1,12345,136,136,8,3
1787954070427948579,5647512968152,127.0.0.1,37792,127.0.0.1,12345,137,137,8,3
1787954070442940950,5647527937355,127.0.0.1,37792,127.0.0.1,12345,138,138,8,3
1787954070457936746,5647542927170,127.0.0.1,37792,127.0.0.1,12345,139,139,8,3
1787954070472970116,5647558032355,127.0.0.1,37792,127.0.0.1,12345,140,140,8,3
1787954070487942468,5647572953429,127.0.0.1,37792,127.0.0.1,12345,141,141,8,3
1787954070502944579,5647588125948,127.0.0.1,37792,127.0.0.1,12345,142,142,8,3
1787954070517954561,5647602886152,127.0.0.1,37792,127.0.0.1,12345,143,143,8,3
1787954070532935301,5647617810485,127.0.0.1,37792,127.0.0.1,12345,144,144,8,3
1787954070547930227,5647632815652,127.0.0.1,37792,127.0.0.1,12345,145,145,8,3
1787954070562926487,5647647801800,127.0.0.1,37792,127.0.0.1,12345,146,146,8,3
1787954070577941653,5647662822133,127.0.0.1,37792,127.0.0.1,12345,147,147,8,3
1787954070592928672,5647677803114,127.0.0.1,37792,127.0.0.1,12345,148,148,8,3
1787954070607924949,5647692798874,127.0.0.1,37792,127.0.0.1,12345,149,149,8,3
1787954070622938412,5647707814837,127.0.0.1,37792,127.0.0.1,12345,150,150,8,3
1787954070637929449,5647722803429,127.0.0.1,37792,127.0.0.1,12345,151,151,8,3
1787954070652936912,5647737828855,127.0.0.1,37792,127.0.0.1,12345,152,152,8,3
1787954070667987153,5647752915003,127.0.0.1,37792,127.0.0.1,12345,153,153,8,3
1787954070682935505,5647767812763,127.0.0.1,37792,127.0.0.1,12345,154,154,8,3
1787954070697936153,5647782816114,127.0.0.1,37792,127.0.0.1,12345,155,155,8,3
1787954070712958246,5647797874281,127.0.0.1,37792,127.0.0.1,12345,156,156,8,3
1787954070727946672,5647812820577,127.0.0.1,37792,127.0.0.1,12345,157,157,8,3
1787954070742930301,5647827821911,127.0.0.1,37792,127.0.0.1,12345,158,158,8,3
1787954070757935709,5647842813911,127.0.0.1,37792,127.0.0.1,12345,159,159,8,3
1787954070772957227,5647857880633,127.0.0.1,37792,127.0.0.1,12345,160,160,8,3
1787954070787934968,5647872808522,127.0.0.1,37792,127.0.0.1,12345,161,161,8,3
1787954070802926783,5647887801263,127.0.0.1,37792,127.0.0.1,12345,162,162,8,3
1787954070817946783,5647902861633,127.0.0.1,37792,127.0.0.1,12345,163,163,8,3
1787954070832932264,5647917804411,127.0.0.1,37792,127.0.0.1,12345,164,164,8,3
1787954070847927357,5647932800411,127.0.0.1,37792,127.0.0.1,12345,165,165,8,3
1787954070862972116,5647947899207,127.0.0.1,37792,127.0.0.1,12345,166,166,8,3
1787954070877947431,5647962838559,127.0.0.1,37792,127.0.0.1,12345,167,167,8,3
1787954070892929523,5647977802003,127.0.0.1,37792,127.0.0.1,12345,168,168,8,3
1787954070907931060,5647992805948,127.0.0.1,37792,127.0.0.1,12345,169,169,8,3
1787954070922942783,5648007822503,127.0.0.1,37792,127.0.0.1,12345,170,170,8,3
1787954070937930375,5648022801799,127.0.0.1,37792,127.0.0.1,12345,171,171,8,3
1787954070952929708,5648037804485,127.0.0.1,37792,127.0.0.1,12345,172,172,8,3
1787954070967943820,5648052820985,127.0.0.1,37792,127.0.0.1,12345,173,173,8,3
1787954070982934246,5648067803299,127.0.0.1,37792,127.0.0.1,12345,174,174,8,3
1787954070997925301,5648082802429,127.0.0.1,37792,127.0.0.1,12345,175,175,8,3
1787954071012951745,5648097870929,127.0.0.1,37792,127.0.0.1,12345,176,176,8,3
1787954071027943912,5648112972133,127.0.0.1,37792,127.0.0.1,12345,177,177,8,3
1787954071042936042,5648127940559,127.0.0.1,37792,127.0.0.1,12345,178,178,8,3
1787954071057934801,5648142931429,127.0.0.1,37792,127.0.0.1,12345,179,179,8,3
1787954071072957523,5648158009725,127.0.0.1,37792,127.0.0.1,12345,180,180,8,3
1787954071087941782,5648172944059,127.0.0.1,37792,127.0.0.1,12345,181,181,8,3
