event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954010152289263,1787954010151397819,5587237097336,0,0,0,0
tx,1,1,1,1,1787954010152295171,1787954010151397819,5587237103484,5587237135206,72,0,0
rx,2,2,1,1,1787954010153446023,1787954010153099097,5587238254095,0,0,0,0
rx,3,3,1,1,1787954010154523652,1787954010154336578,5587239331725,0,0,0,0
rx,4,4,1,1,1787954010156666578,1787954010155590689,5587241474651,0,0,0,0
rx,5,5,1,1,1787954010157742504,1787954010157054541,5587242550576,0,0,0,0
tx,5,11,1,1,1787954010163072115,1787954010157054541,5587247880299,5587247895928,72,0,0
tx,5,21,1,1,1787954010173766893,1787954010157054541,5587258575076,5587258587799,72,0,0
tx,5,30,1,1,1787954010183358930,1787954010157054541,5587268167243,5587268182836,72,0,0
tx,5,40,1,1,1787954010194015245,1787954010157054541,5587278823428,5587278835484,72,0,0
tx,5,50,1,1,1787954010204682245,1787954010157054541,5587289490484,5587289506632,72,0,0
tx,5,59,1,1,1787954010214278319,1787954010157054541,5587299086521,5587299098836,72,0,0
tx,5,69,1,1,1787954010224930004,1787954010157054541,5587309738188,5587309750243,72,0,0
tx,5,78,1,1,1787954010234545485,1787954010157054541,5587319353669,5587319366539,72,0,0
tx,5,87,1,1,1787954010244137467,1787954010157054541,5587328945650,5587328957836,72,0,0
rx,6,6,1,1,1787954010254826708,1787954010253874467,5587339634780,0,0,0,0
tx,6,97,1,1,1787954010254831615,1787954010253874467,5587339639854,5587339657650,72,0,0
rx,7,7,1,1,1787954010255960004,1787954010255400282,5587340768076,0,0,0,0
rx,8,8,1,1,1787954010257032634,1787954010256794078,5587341840706,0,0,0,0
rx,9,9,1,1,1787954010258104282,1787954010257966115,5587342912354,0,0,0,0
rx,10,10,1,1,1787954010260242634,1787954010259435837,5587345050706,0,0,0,0
rx,11,11,1,1,1787954010261317800,1787954010260596430,5587346125873,0,0,0,0
rx,12,12,1,1,1787954010262391856,1787954010261772337,5587347199928,0,0,0,0
tx,12,106,1,1,1787954010264523967,1787954010261772337,5587349332150,5587349348391,72,0,0
tx,12,115,1,1,1787954010274150559,1787954010261772337,5587358958743,5587358971336,72,0,0
tx,12,125,1,1,1787954010284804541,1787954010261772337,5587369612743,5587369628410,72,0,0
tx,12,134,1,1,1787954010294419467,1787954010261772337,5587379227706,5587379243910,72,0,0
tx,12,143,1,1,1787954010304024726,1787954010261772337,5587388832984,5587388845539,72,0,0
tx,12,153,1,1,1787954010314664485,1787954010261772337,5587399472669,5587399484632,72,0,0
tx,12,162,1,1,1787954010324276615,1787954010261772337,5587409084873,5587409096669,72,0,0
tx,12,172,1,1,1787954010334953689,1787954010261772337,5587419761873,5587419774854,72,0,0
tx,12,181,1,1,1787954010344535559,1787954010261772337,5587429343743,5587429355428,72,0,0
tx,12,190,1,1,1787954010354135004,1787954010261772337,5587438943280,5587438959224,72,0,0
rx,13,13,1,1,1787954010356287559,1787954010356008448,5587441095632,0,0,0,0
rx,14,14,1,1,1787954010357363837,1787954010357134467,5587442171891,0,0,0,0
rx,15,15,1,1,1787954010358496874,1787954010358404133,5587443304947,0,0,0,0
rx,16,16,1,1,1787954010360636578,1787954010359633615,5587445444650,0,0,0,0
rx,17,17,1,1,1787954010361708485,1787954010360795856,5587446516558,0,0,0,0
rx,18,18,1,1,1787954010362779837,1787954010361939967,5587447587891,0,0,0,0
rx,19,19,1,1,1787954010363862041,1787954010363088393,5587448670095,0,0,0,0
tx,19,200,1,1,1787954010364931504,1787954010363088393,5587449739687,5587449759984,72,0,0
tx,19,8,1,1,1787954010374580319,1787954010363088393,5587459388502,5587459400965,72,0,0
tx,19,17,1,1,1787954010384173245,1787954010363088393,5587468981428,5587468996058,72,0,0
tx,19,27,1,1,1787954010394829559,1787954010363088393,5587479637761,5587479649891,72,0,0
tx,19,36,1,1,1787954010404430356,1787954010363088393,5587489238650,5587489253799,72,0,0
tx,19,45,1,1,1787954010414029171,1787954010363088393,5587498837354,5587498850021,72,0,0
tx,19,55,1,1,1787954010424684967,1787954010363088393,5587509493150,5587509504873,72,0,0
tx,19,64,1,1,1787954010434274467,1787954010363088393,5587519082650,5587519095502,72,0,0
tx,19,74,1,1,1787954010444934374,1787954010363088393,5587529742558,5587529754521,72,0,0
tx,19,83,1,1,1787954010454548670,1787954010363088393,5587539356910,5587539372354,72,0,0
rx,20,20,1,1,1787954010458827430,1787954010458514041,5587543635502,0,0,0,0
rx,21,21,1,1,1787954010459901152,1787954010459623559,5587544709224,0,0,0,0
rx,22,22,1,1,1787954010460974782,1787954010460770504,5587545782854,0,0,0,0
rx,23,23,1,1,1787954010462050059,1787954010461872282,5587546858132,0,0,0,0
rx,24,24,1,1,1787954010463123893,1787954010462994596,5587547931947,0,0,0,0
rx,25,25,1,1,1787954010464204782,1787954010464110467,5587549012817,0,0,0,0
tx,25,92,1,1,1787954010464208356,1787954010464110467,5587549016539,5587549032761,72,0,0
rx,26,26,1,1,1787954010465334782,1787954010465234430,5587550142854,0,0,0,0
tx,26,102,1,1,1787954010474928356,1787954010465234430,5587559736539,5587559749576,72,0,0
tx,26,111,1,1,1787954010484531096,1787954010465234430,5587569339280,5587569353947,72,0,0
tx,26,120,1,1,1787954010494137707,1787954010465234430,5587578945891,5587578961280,72,0,0
tx,26,130,1,1,1787954010504800485,1787954010465234430,5587589608669,5587589622484,72,0,0
tx,26,139,1,1,1787954010514404133,1787954010465234430,5587599212317,5587599224187,72,0,0
tx,26,149,1,1,1787954010525059448,1787954010465234430,5587609867632,5587609879687,72,0,0
tx,26,159,1,1,1787954010535732170,1787954010465234430,5587620540410,5587620553854,72,0,0
tx,26,168,1,1,1787954010545346300,1787954010465234430,5587630154539,5587630169947,72,0,0
tx,26,178,1,1,1787954010556006485,1787954010465234430,5587640814669,5587640826632,72,0,0
rx,27,27,1,1,1787954010561361263,1787954010560891856,5587646169335,0,0,0,0
rx,28,28,1,1,1787954010562433559,1787954010562175467,5587647241613,0,0,0,0
rx,29,29,1,1,1787954010564572967,1787954010563681078,5587649381039,0,0,0,0
rx,30,30,1,1,1787954010565645485,1787954010565269596,5587650453558,0,0,0,0
rx,31,31,1,1,1787954010566719707,1787954010566497078,5587651527780,0,0,0,0
tx,31,188,1,1,1787954010566724967,1787954010566497078,5587651533150,5587651548484,72,0,0
rx,32,32,1,1,1787954010568915856,1787954010568073541,5587653723928,0,0,0,0
rx,33,33,1,1,1787954010569987522,1787954010569312170,5587654795595,0,0,0,0
tx,33,197,1,1,1787954010576390133,1787954010569312170,5587661198335,5587661212650,72,0,0
tx,33,5,1,1,1787954010586013300,1787954010569312170,5587670821484,5587670836113,72,0,0
tx,33,15,1,1,1787954010596669133,1787954010569312170,5587681477317,5587681489576,72,0,0
tx,33,24,1,1,1787954010606268170,1787954010569312170,5587691076354,5587691092224,72,0,0
tx,33,34,1,1,1787954010616939300,1787954010569312170,5587701747484,5587701759465,72,0,0
tx,33,43,1,1,1787954010626527504,1787954010569312170,5587711335687,5587711347576,72,0,0
tx,33,52,1,1,1787954010636127930,1787954010569312170,5587720936113,5587720949780,72,0,0
tx,33,62,1,1,1787954010646824244,1787954010569312170,5587731632428,5587731645021,72,0,0
tx,33,71,1,1,1787954010656432726,1787954010569312170,5587741240984,5587741258150,72,0,0
rx,34,34,1,1,1787954010663974059,1787954010663186559,5587748782132,0,0,0,0
rx,35,35,1,1,1787954010665047633,1787954010664265115,5587749855706,0,0,0,0
rx,36,36,1,1,1787954010666118874,1787954010665444670,5587750926928,0,0,0,0
tx,36,80,1,1,1787954010666122522,1787954010665444670,5587750930706,5587750948261,72,0,0
rx,37,37,1,1,1787954010667221504,1787954010666566096,5587752029576,0,0,0,0
rx,38,38,1,1,1787954010668293615,1787954010667679967,5587753101687,0,0,0,0
rx,39,39,1,1,1787954010669364930,1787954010668796522,5587754173002,0,0,0,0
tx,39,90,1,1,1787954010676819670,1787954010668796522,5587761627854,5587761642446,72,0,0
tx,39,99,1,1,1787954010686507430,1787954010668796522,5587771315613,5587771330669,72,0,0
tx,39,108,1,1,1787954010696194041,1787954010668796522,5587781002280,5587781021984,72,0,0
tx,39,118,1,1,1787954010706863874,1787954010668796522,5587791672058,5587791684391,72,0,0
tx,39,127,1,1,1787954010716533596,1787954010668796522,5587801341780,5587801353798,72,0,0
tx,39,136,1,1,1787954010726125504,1787954010668796522,5587810933687,5587810946428,72,0,0
tx,39,146,1,1,1787954010736803559,1787954010668796522,5587821611743,5587821624113,72,0,0
tx,39,155,1,1,1787954010746410818,1787954010668796522,5587831219002,5587831235095,72,0,0
tx,39,164,1,1,1787954010756008207,1787954010668796522,5587840816391,5587840828428,72,0,0
rx,40,40,1,1,1787954010766671596,1787954010766151300,5587851479669,0,0,0,0
tx,40,174,1,1,1787954010766675800,1787954010766151300,5587851483983,5587851498761,72,0,0
rx,41,41,1,1,1787954010768875967,1787954010768381652,5587853684039,0,0,0,0
rx,42,42,1,1,1787954010771014207,1787954010770020133,5587855822261,0,0,0,0
rx,43,43,1,1,1787954010772087504,1787954010771382467,5587856895558,0,0,0,0
rx,44,44,1,1,1787954010773158726,1787954010772665911,5587857966780,0,0,0,0
rx,45,45,1,1,1787954010774229448,1787954010773967152,5587859037521,0,0,0,0
rx,46,46,1,1,1787954010775367911,1787954010775265837,5587860175983,0,0,0,0
tx,46,183,1,1,1787954010776442670,1787954010775265837,5587861250854,5587861266483,72,0,0
tx,46,192,1,1,1787954010786078781,1787954010775265837,5587870886965,5587870900928,72,0,0
tx,46,1,1,1,1787954010796742226,1787954010775265837,5587881550409,5587881567335,72,0,0
tx,46,10,1,1,1787954010806341930,1787954010775265837,5587891150113,5587891162039,72,0,0
tx,46,20,1,1,1787954010817005911,1787954010775265837,5587901814095,5587901825854,72,0,0
tx,46,30,1,1,1787954010827658763,1787954010775265837,5587912466946,5587912478687,72,0,0
tx,46,39,1,1,1787954010837288855,1787954010775265837,5587922097039,5587922109020,72,0,0
tx,46,49,1,1,1787954010847960337,1787954010775265837,5587932768595,5587932783095,72,0,0
tx,46,57,1,1,1787954010857361355,1787954010775265837,5587942169595,5587942190039,72,0,0
rx,47,47,1,1,1787954010868057670,1787954010868022892,5587952865724,0,0,0,0
tx,47,67,1,1,1787954010868062281,1787954010868022892,5587952870632,5587952887909,72,0,0
rx,48,48,1,1,1787954010870291763,1787954010869213355,5587955099835,0,0,0,0
rx,49,49,1,1,1787954010871364855,1787954010870418355,5587956172928,0,0,0,0
rx,50,50,1,1,1787954010872439300,1787954010871574096,5587957247372,0,0,0,0
rx,51,51,1,1,1787954010873516263,1787954010872715281,5587958324335,0,0,0,0
rx,53,53,1,1,1787954010875658115,1787954010875009596,5587960466169,0,0,0,0
tx,53,77,1,1,1787954010878853374,1787954010875009596,5587963661557,5587963679780,72,0,0
tx,53,86,1,1,1787954010888500133,1787954010875009596,5587973308317,5587973324576,72,0,0
tx,53,95,1,1,1787954010898116874,1787954010875009596,5587982925057,5587982942039,72,0,0
tx,53,105,1,1,1787954010908794059,1787954010875009596,5587993602243,5587993614891,72,0,0
tx,53,114,1,1,1787954010918396874,1787954010875009596,5588003205057,5588003216872,72,0,0
tx,53,123,1,1,1787954010928054522,1787954010875009596,5588012862687,5588012874872,72,0,0
tx,53,133,1,1,1787954010938746615,1787954010875009596,5588023554798,5588023567761,72,0,0
tx,53,142,1,1,1787954010948345541,1787954010875009596,5588033153798,5588033171206,72,0,0
tx,53,152,1,1,1787954010959012633,1787954010875009596,5588043820835,5588043832891,72,0,0
tx,53,162,1,1,1787954010969675652,1787954010875009596,5588054483835,5588054495761,72,0,0
rx,54,54,1,1,1787954010970791133,1787954010970577170,5588055599206,0,0,0,0
rx,55,55,1,1,1787954010971863985,1787954010971683429,5588056672057,0,0,0,0
rx,56,56,1,1,1787954010974000763,1787954010973329263,5588058808835,0,0,0,0
rx,57,57,1,1,1787954010975072170,1787954010974445429,5588059880243,0,0,0,0
rx,58,58,1,1,1787954010976149633,1787954010975570337,5588060957706,0,0,0,0
rx,59,59,1,1,1787954010977225318,1787954010976690392,5588062033391,0,0,0,0
rx,60,60,1,1,1787954010978301189,1787954010977814596,5588063109261,0,0,0,0
tx,60,171,1,1,1787954010979370929,1787954010977814596,5588064179187,5588064195039,72,0,0
tx,60,180,1,1,1787954010989015818,1787954010977814596,5588073824076,5588073838613,72,0,0
