kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954010151397819,5587236305021,192.168.20.11,49216,192.168.20.255,12345,1,1,8,4
1787954010153099097,5587237954465,192.168.20.11,49216,192.168.20.255,12345,2,2,8,4
1787954010154336578,5587239180391,192.168.20.11,49216,192.168.20.255,12345,3,3,8,4
1787954010155590689,5587240438576,192.168.20.11,49216,192.168.20.255,12345,4,4,8,4
1787954010157054541,5587241900336,192.168.20.11,49216,192.168.20.255,12345,5,5,8,4
1787954010253874467,5587338765336,192.168.20.11,49216,192.168.20.255,12345,6,6,8,4
1787954010255400282,5587340246817,192.168.20.11,49216,192.168.20.255,12345,7,7,8,4
1787954010256794078,5587341636632,192.168.20.11,49216,192.168.20.255,12345,8,8,8,4
1787954010257966115,5587342805076,192.168.20.11,49216,192.168.20.255,12345,9,9,8,4
1787954010259435837,5587344278873,192.168.20.11,49216,192.168.20.255,12345,10,10,8,4
1787954010260596430,5587345442225,192.168.20.11,49216,192.168.20.255,12345,11,11,8,4
1787954010261772337,5587346614354,192.168.20.11,49216,192.168.20.255,12345,12,12,8,4
1787954010356008448,5587440905132,192.168.20.11,49216,192.168.20.255,12345,13,13,8,4
1787954010357134467,5587441984132,192.168.20.11,49216,192.168.20.255,12345,14,14,8,4
1787954010358404133,5587443253206,192.168.20.11,49216,192.168.20.255,12345,15,15,8,4
1787954010359633615,5587444473354,192.168.20.11,49216,192.168.20.255,12345,16,16,8,4
1787954010360795856,5587445634576,192.168.20.11,49216,192.168.20.255,12345,17,17,8,4
1787954010361939967,5587446777761,192.168.20.11,49216,192.168.20.255,12345,18,18,8,4
1787954010363088393,5587447926132,192.168.20.11,49216,192.168.20.255,12345,19,19,8,4
1787954010458514041,5587543404002,192.168.20.11,49216,192.168.20.255,12345,20,20,8,4
1787954010459623559,5587544467354,192.168.20.11,49216,192.168.20.255,12345,21,21,8,4
1787954010460770504,5587545618521,192.168.20.11,49216,192.168.20.255,12345,22,22,8,4
1787954010461872282,5587546717947,192.168.20.11,49216,192.168.20.255,12345,23,23,8,4
1787954010462994596,5587547835465,192.168.20.11,49216,192.168.20.255,12345,24,24,8,4
1787954010464110467,5587548952428,192.168.20.11,49216,192.168.20.255,12345,25,25,8,4
1787954010465234430,5587550076780,192.168.20.11,49216,192.168.20.255,12345,26,26,8,4
1787954010560891856,5587645782650,192.168.20.11,49216,192.168.20.255,12345,27,27,8,4
1787954010562175467,5587647017224,192.168.20.11,49216,192.168.20.255,12345,28,28,8,4
1787954010563681078,5587648522224,192.168.20.11,49216,192.168.20.255,12345,29,29,8,4
1787954010565269596,5587650111317,192.168.20.11,49216,192.168.20.255,12345,30,30,8,4
1787954010566497078,5587651344076,192.168.20.11,49216,192.168.20.255,12345,31,31,8,4
1787954010568073541,5587652917243,192.168.20.11,49216,192.168.20.255,12345,32,32,8,4
1787954010569312170,5587654151521,192.168.20.11,49216,192.168.20.255,12345,33,33,8,4
