pc_mono_ns,bytes
77076420087200,1374
77076530488900,1603
77076640541300,1603
77076749664700,1603
77076852842400,1374
77076962912100,1603
77077071680000,1603
77077179645400,1603
77077287852500,1374
77077396086900,1781
77077497138300,1425
77077604241000,1374
77077711493000,1603
77077818720200,1603
77077934173500,1603
77078038737800,1374
77078148125400,1603
77078252389900,1603
77078353945100,1531
77078454319700,1455
77078562286400,1378
77078675955700,1678
77078785830600,1514
77078895066400,1596
77079004167000,1596
77079104747800,1368
77079215145600,1596
77079325044000,1596
77079432684500,1596
77079545918500,1596
77079655746800,1561
77079764892300,1561
77079866922200,1338
77079975216500,1561
77080082879200,1338
77080194839700,1561
77080296868700,1561
77080406257600,1561
77080516930500,1561
77080625021900,1561
77080734826000,1338
77080840013200,1561
77080949775200,1561
77081050074100,1338
77081158934500,1561
77081268094100,1467
77081376134800,1655
77081478994300,1338
77081587645900,1561
77081697043800,1561
77081806127600,1338
77081915911900,1561
77082024327800,1561
77082130698000,1561
77082239046900,1338
77082348801800,1784
77082453116500,1338
77082562670500,1561
77082671388200,1561
77082780157400,1338
77082889148100,1561
77082998243100,1561
77083105848000,1561
77083213643900,1338
77083328830100,1586
77083433612300,1597
77083535525500,1500
77083643939300,1548
77083752367800,1351
77083866734400,1561
77083969939300,1561
77084084922400,1561
77084185336700,1338
77084293150400,1561
77084395080900,1561
77084502034500,1338
77084607251700,1561
77084708146700,1338
77084814373300,1561
77084926259300,1561
77085034760900,1338
77085136190500,1561
77085243498600,1338
77085352570000,1561
77085458063900,1561
77085565437200,1548
77085674080100,1561
77085783104000,1338
77085891718900,1561
77086000149100,1561
77086102047000,1338
77086210750500,1561
77086318424700,1561
77086422104700,1561
77086522756700,1338
77086631036200,1561
77086737923500,1338
77086847828300,1561
77086958581100,1561
77087059139600,1338
77087169436400,1561
77087277967800,1561
77087387238700,1561
77087488539500,1338
77087596113300,1561
77087710400300,1561
77087813045500,1377
77087918021700,1522
77088028452600,1561
77088132817900,1338
77088240736400,1561
77088357008200,2378
77088457566100,2934
77088565758300,3290
77088678242800,3407
77088782771600,3200
77088886541600,3157
77088996104700,3453
77089097545900,3207
77089207554000,3438
77089317445400,3392
77089419604700,3279
77089529722600,3664
77089637969600,3627
77089738866800,3379
77089852179200,3793
77089964520500,3882
77090071012800,3660
77090179633600,3755
77090289849600,3168
77090390721500,1561
77090499477200,1561
77090599929800,1338
77090706863100,1561
77090809265800,1338
77090917440600,1561
77091018406300,1338
77091118498200,1338
77091222838400,1561
77091335151100,1561
77091443723300,1561
77091545284700,1338
77091654573000,1591
77091763965800,1596
77091870902200,1448
77091981134900,1516
77092096723000,1763
77092207819000,1429
77092320837000,1596
77092424007600,1596
77092530318100,1596
77092631918800,1368
77092745240900,1596
77092857334200,1596
77092967207200,1596
77093068571600,1368
77093183861100,1780
77093292427500,1412
77093403952000,1596
77093515233200,1824
77093624814000,1368
77093736297000,1596
77093846869500,1596
77093959910500,1596
77094066043800,1596
