event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787953793776966337,1787953793776112503,5370861774409,0,0,0,0
tx,1,1,1,1,1787953793776972577,1787953793776112503,5370861780817,5370861809261,72,0,0
rx,2,2,1,1,1787953793778120281,1787953793777225318,5370862928335,0,0,0,0
rx,3,3,1,1,1787953793779216077,1787953793778339985,5370864024150,0,0,0,0
rx,4,4,1,1,1787953793780290633,1787953793779459022,5370865098705,0,0,0,0
tx,4,10,1,1,1787953793786692744,1787953793779459022,5370871500983,5370871515946,72,0,0
tx,4,19,1,1,1787953793796332837,1787953793779459022,5370881141020,5370881153668,72,0,0
tx,4,29,1,1,1787953793807008411,1787953793779459022,5370891816594,5370891829002,72,0,0
tx,4,39,1,1,1787953793817680948,1787953793779459022,5370902489205,5370902506594,72,0,0
tx,4,48,1,1,1787953793827279096,1787953793779459022,5370912087279,5370912100576,72,0,0
tx,4,58,1,1,1787953793837971892,1787953793779459022,5370922780076,5370922793020,72,0,0
tx,4,67,1,1,1787953793847556929,1787953793779459022,5370932365113,5370932376928,72,0,0
tx,4,76,1,1,1787953793857234670,1787953793779459022,5370942042928,5370942070354,72,0,0
tx,4,86,1,1,1787953793867935096,1787953793779459022,5370952743335,5370952764113,72,0,0
tx,4,95,1,1,1787953793877557355,1787953793779459022,5370962365539,5370962379705,72,0,0
rx,5,5,1,1,1787953793878729392,1787953793878500688,5370963537465,0,0,0,0
rx,6,6,1,1,1787953793879807300,1787953793879605448,5370964615372,0,0,0,0
rx,7,7,1,1,1787953793880881170,1787953793880716448,5370965689242,0,0,0,0
rx,8,8,1,1,1787953793881953300,1787953793881834781,5370966761372,0,0,0,0
rx,9,9,1,1,1787953793883042355,1787953793882954596,5370967850428,0,0,0,0
rx,10,10,1,1,1787953793884173077,1787953793884077077,5370968981150,0,0,0,0
rx,11,11,1,1,1787953793885247855,1787953793885216040,5370970055928,0,0,0,0
tx,11,104,1,1,1787953793887389725,1787953793885216040,5370972197983,5370972214150,72,0,0
tx,11,113,1,1,1787953793897045114,1787953793885216040,5370981853298,5370981866372,72,0,0
tx,11,123,1,1,1787953793907712411,1787953793885216040,5370992520594,5370992532483,72,0,0
tx,11,132,1,1,1787953793917325225,1787953793885216040,5371002133409,5371002149928,72,0,0
tx,11,142,1,1,1787953793928049096,1787953793885216040,5371012857279,5371012873113,72,0,0
tx,11,152,1,1,1787953793938723262,1787953793885216040,5371023531446,5371023544557,72,0,0
tx,11,161,1,1,1787953793948329522,1787953793885216040,5371033137705,5371033150335,72,0,0
tx,11,171,1,1,1787953793958965966,1787953793885216040,5371043774224,5371043789650,72,0,0
tx,11,180,1,1,1787953793968544503,1787953793885216040,5371053352761,5371053367631,72,0,0
tx,11,189,1,1,1787953793978151114,1787953793885216040,5371062959298,5371062971631,72,0,0
rx,12,12,1,1,1787953793981355614,1787953793980917374,5371066163687,0,0,0,0
rx,13,13,1,1,1787953793982431114,1787953793982025966,5371067239168,0,0,0,0
rx,14,14,1,1,1787953793983506929,1787953793983142540,5371068315002,0,0,0,0
rx,15,15,1,1,1787953793984581707,1787953793984259225,5371069389779,0,0,0,0
rx,16,16,1,1,1787953793985655633,1787953793985373059,5371070463687,0,0,0,0
rx,17,17,1,1,1787953793986727744,1787953793986489429,5371071535798,0,0,0,0
rx,18,18,1,1,1787953793987800077,1787953793987614207,5371072608150,0,0,0,0
tx,18,199,1,1,1787953793988868540,1787953793987614207,5371073676798,5371073693872,72,0,0
tx,18,7,1,1,1787953793998526133,1787953793987614207,5371083334316,5371083347835,72,0,0
tx,18,16,1,1,1787953794008139207,1787953793987614207,5371092947446,5371092964594,72,0,0
tx,18,26,1,1,1787953794018805948,1787953793987614207,5371103614131,5371103628261,72,0,0
tx,18,35,1,1,1787953794028412929,1787953793987614207,5371113221113,5371113236113,72,0,0
tx,18,44,1,1,1787953794038017781,1787953793987614207,5371122825965,5371122838705,72,0,0
tx,18,54,1,1,1787953794048693429,1787953793987614207,5371133501613,5371133513798,72,0,0
tx,18,63,1,1,1787953794058301874,1787953793987614207,5371143110057,5371143126890,72,0,0
tx,18,73,1,1,1787953794068971855,1787953793987614207,5371153780039,5371153792927,72,0,0
tx,18,82,1,1,1787953794078581170,1787953793987614207,5371163389353,5371163401446,72,0,0
rx,19,19,1,1,1787953794083932485,1787953794083327411,5371168740557,0,0,0,0
rx,20,20,1,1,1787953794085005596,1787953794084466855,5371169813650,0,0,0,0
rx,21,21,1,1,1787953794086077188,1787953794085638281,5371170885261,0,0,0,0
rx,22,22,1,1,1787953794087149299,1787953794086798336,5371171957372,0,0,0,0
rx,23,23,1,1,1787953794088224355,1787953794087949744,5371173032427,0,0,0,0
tx,23,91,1,1,1787953794088229836,1787953794087949744,5371173038020,5371173054390,72,0,0
rx,24,24,1,1,1787953794089358540,1787953794089103559,5371174166613,0,0,0,0
rx,25,25,1,1,1787953794090429818,1787953794090238688,5371175237890,0,0,0,0
tx,25,101,1,1,1787953794098963522,1787953794090238688,5371183771705,5371183785687,72,0,0
tx,25,110,1,1,1787953794108599466,1787953794090238688,5371193407650,5371193420057,72,0,0
tx,25,119,1,1,1787953794118209355,1787953794090238688,5371203017613,5371203034853,72,0,0
tx,25,129,1,1,1787953794128887948,1787953794090238688,5371213696131,5371213711520,72,0,0
tx,25,138,1,1,1787953794138494448,1787953794090238688,5371223302631,5371223314446,72,0,0
tx,25,147,1,1,1787953794148101522,1787953794090238688,5371232909705,5371232922520,72,0,0
tx,25,157,1,1,1787953794158772188,1787953794090238688,5371243580372,5371243592372,72,0,0
tx,25,166,1,1,1787953794168486744,1787953794090238688,5371253294927,5371253310853,72,0,0
tx,25,175,1,1,1787953794178101651,1787953794090238688,5371262909835,5371262921927,72,0,0
rx,26,26,1,1,1787953794186642040,1787953794185728725,5371271450113,0,0,0,0
rx,27,27,1,1,1787953794187715688,1787953794186850948,5371272523761,0,0,0,0
rx,28,28,1,1,1787953794188790299,1787953794187983318,5371273598372,0,0,0,0
tx,28,185,1,1,1787953794188794207,1787953794187983318,5371273602390,5371273619705,72,0,0
rx,29,29,1,1,1787953794189923022,1787953794189118873,5371274731094,0,0,0,0
rx,30,30,1,1,1787953794190997151,1787953794190255614,5371275805224,0,0,0,0
rx,31,31,1,1,1787953794192071577,1787953794191405855,5371276879631,0,0,0,0
rx,32,32,1,1,1787953794193146429,1787953794192535355,5371277954501,0,0,0,0
tx,32,194,1,1,1787953794198474577,1787953794192535355,5371283282835,5371283297705,72,0,0
tx,32,2,1,1,1787953794208107688,1787953794192535355,5371292915872,5371292928835,72,0,0
tx,32,12,1,1,1787953794218779725,1787953794192535355,5371303587983,5371303604705,72,0,0
tx,32,21,1,1,1787953794228393151,1787953794192535355,5371313201335,5371313213390,72,0,0
tx,32,31,1,1,1787953794239065003,1787953794192535355,5371323873187,5371323885816,72,0,0
tx,32,41,1,1,1787953794249736188,1787953794192535355,5371334544372,5371334556131,72,0,0
tx,32,50,1,1,1787953794259344485,1787953794192535355,5371344152742,5371344167687,72,0,0
tx,32,60,1,1,1787953794270005429,1787953794192535355,5371354813613,5371354826798,72,0,0
tx,32,69,1,1,1787953794279607114,1787953794192535355,5371364415298,5371364428446,72,0,0
rx,33,33,1,1,1787953794288155170,1787953794288132614,5371372963242,0,0,0,0
tx,33,78,1,1,1787953794289219503,1787953794288132614,5371374027687,5371374042372,72,0,0
rx,34,34,1,1,1787953794290348429,1787953794289282985,5371375156501,0,0,0,0
rx,35,35,1,1,1787953794291422355,1787953794290437225,5371376230427,0,0,0,0
rx,37,37,1,1,1787953794293560022,1787953794292709633,5371378368075,0,0,0,0
rx,38,38,1,1,1787953794294633744,1787953794293843429,5371379441816,0,0,0,0
tx,38,88,1,1,1787953794299967503,1787953794293843429,5371384775705,5371384790724,72,0,0
tx,38,97,1,1,1787953794309620281,1787953794293843429,5371394428483,5371394444557,72,0,0
tx,38,106,1,1,1787953794319213818,1787953794293843429,5371404022001,5371404035020,72,0,0
tx,38,116,1,1,1787953794329889818,1787953794293843429,5371414698001,5371414712816,72,0,0
tx,38,125,1,1,1787953794339492077,1787953794293843429,5371424300261,5371424312761,72,0,0
tx,38,134,1,1,1787953794349095836,1787953794293843429,5371433904020,5371433916075,72,0,0
tx,38,144,1,1,1787953794359734188,1787953794293843429,5371444542372,5371444553983,72,0,0
tx,38,153,1,1,1787953794369349836,1787953794293843429,5371454158020,5371454173205,72,0,0
tx,38,163,1,1,1787953794380019244,1787953794293843429,5371464827427,5371464839112,72,0,0
rx,39,39,1,1,1787953794390740133,1787953794390516466,5371475548205,0,0,0,0
tx,39,173,1,1,1787953794390745114,1787953794390516466,5371475553298,5371475570335,72,0,0
rx,40,40,1,1,1787953794391874336,1787953794391622447,5371476682409,0,0,0,0
rx,41,41,1,1,1787953794392947873,1787953794392740744,5371477755946,0,0,0,0
rx,42,42,1,1,1787953794394021244,1787953794393861003,5371478829316,0,0,0,0
rx,43,43,1,1,1787953794395095262,1787953794394971910,5371479903335,0,0,0,0
rx,44,44,1,1,1787953794396191614,1787953794396095633,5371480999687,0,0,0,0
rx,45,45,1,1,1787953794397263336,1787953794397216429,5371482071409,0,0,0,0
tx,45,182,1,1,1787953794400465170,1787953794397216429,5371485273353,5371485288205,72,0,0
tx,45,191,1,1,1787953794410106873,1787953794397216429,5371494915131,5371494931372,72,0,0
tx,45,0,1,1,1787953794420796207,1787953794397216429,5371505604464,5371505618557,72,0,0
tx,45,9,1,1,1787953794430398614,1787953794397216429,5371515206872,5371515222001,72,0,0
tx,45,19,1,1,1787953794441065910,1787953794397216429,5371525874094,5371525887057,72,0,0
tx,45,29,1,1,1787953794451737225,1787953794397216429,5371536545409,5371536557427,72,0,0
tx,45,38,1,1,1787953794461339633,1787953794397216429,5371546147816,5371546163742,72,0,0
tx,45,48,1,1,1787953794472003003,1787953794397216429,5371556811186,5371556824446,72,0,0
tx,45,57,1,1,1787953794481602262,1787953794397216429,5371566410446,5371566422224,72,0,0
tx,45,66,1,1,1787953794491208595,1787953794397216429,5371576016779,5371576028983,72,0,0
rx,46,46,1,1,1787953794493407095,1787953794493205910,5371578215168,0,0,0,0
rx,47,47,1,1,1787953794494479725,1787953794494306558,5371579287798,0,0,0,0
rx,48,48,1,1,1787953794495554021,1787953794495423225,5371580362075,0,0,0,0
rx,49,49,1,1,1787953794496628114,1787953794496539577,5371581436186,0,0,0,0
rx,50,50,1,1,1787953794498775077,1787953794497708188,5371583583149,0,0,0,0
rx,51,51,1,1,1787953794499852447,1787953794498829892,5371584660520,0,0,0,0
rx,52,52,1,1,1787953794500924466,1787953794499942281,5371585732538,0,0,0,0
tx,52,76,1,1,1787953794501993114,1787953794499942281,5371586801298,5371586817390,72,0,0
tx,52,85,1,1,1787953794511648318,1787953794499942281,5371596456557,5371596475946,72,0,0
tx,52,94,1,1,1787953794521258984,1787953794499942281,5371606067261,5371606081261,72,0,0
tx,52,104,1,1,1787953794531929410,1787953794499942281,5371616737594,5371616751964,72,0,0
tx,52,113,1,1,1787953794541525688,1787953794499942281,5371626333872,5371626346001,72,0,0
tx,52,122,1,1,1787953794551138299,1787953794499942281,5371635946538,5371635957964,72,0,0
tx,52,132,1,1,1787953794561802873,1787953794499942281,5371646611057,5371646626964,72,0,0
tx,52,141,1,1,1787953794571411040,1787953794499942281,5371656219223,5371656233260,72,0,0
tx,52,150,1,1,1787953794581013873,1787953794499942281,5371665822075,5371665834020,72,0,0
tx,52,160,1,1,1787953794591675984,1787953794499942281,5371676484168,5371676495835,72,0,0
rx,53,53,1,1,1787953794595961873,1787953794595314151,5371680769946,0,0,0,0
rx,54,54,1,1,1787953794597034670,1787953794596661429,5371681842742,0,0,0,0
rx,55,55,1,1,1787953794598106503,1787953794597803521,5371682914575,0,0,0,0
rx,56,56,1,1,1787953794599180077,1787953794598923503,5371683988131,0,0,0,0
rx,57,57,1,1,1787953794600253188,1787953794600044873,5371685061260,0,0,0,0
rx,58,58,1,1,1787953794601326521,1787953794601161484,5371686134594,0,0,0,0
tx,58,169,1,1,1787953794601330095,1787953794601161484,5371686138279,5371686155686,72,0,0
rx,59,59,1,1,1787953794602477910,1787953794602301929,5371687285983,0,0,0,0
tx,59,178,1,1,1787953794611016040,1787953794602301929,5371695824223,5371695841946,72,0,0
tx,59,188,1,1,1787953794621723040,1787953794602301929,5371706531223,5371706544575,72,0,0
tx,59,197,1,1,1787953794631326744,1787953794602301929,5371716134927,5371716151686,72,0,0
tx,59,6,1,1,1787953794641991318,1787953794602301929,5371726799501,5371726811483,72,0,0
tx,59,15,1,1,1787953794651591114,1787953794602301929,5371736399297,5371736410946,72,0,0
tx,59,24,1,1,1787953794661194114,1787953794602301929,5371746002353,5371746019538,72,0,0
tx,59,34,1,1,1787953794671866151,1787953794602301929,5371756674335,5371756687779,72,0,0
tx,59,43,1,1,1787953794681471947,1787953794602301929,5371766280131,5371766292372,72,0,0
tx,59,52,1,1,1787953794691066410,1787953794602301929,5371775874668,5371775886057,72,0,0
rx,60,60,1,1,1787953794698542799,1787953794697720799,5371783350872,0,0,0,0
rx,61,61,1,1,1787953794699620244,1787953794698827244,5371784428316,0,0,0,0
rx,62,62,1,1,1787953794700699262,1787953794699946466,5371785507334,0,0,0,0
rx,63,63,1,1,1787953794701773410,1787953794701090318,5371786581483,0,0,0,0
tx,63,62,1,1,1787953794701777058,1787953794701090318,5371786585242,5371786601686,72,0,0
rx,64,64,1,1,1787953794702906318,1787953794702206725,5371787714390,0,0,0,0
rx,65,65,1,1,1787953794703978206,1787953794703345373,5371788786279,0,0,0,0
rx,66,66,1,1,1787953794705051688,1787953794704444540,5371789859760,0,0,0,0
tx,66,71,1,1,1787953794711457651,1787953794704444540,5371796265909,5371796284001,72,0,0
tx,66,80,1,1,1787953794721100188,1787953794704444540,5371805908372,5371805921464,72,0,0
tx,66,90,1,1,1787953794731739299,1787953794704444540,5371816547483,5371816562446,72,0,0
tx,66,99,1,1,1787953794741344947,1787953794704444540,5371826153131,5371826164649,72,0,0
tx,66,109,1,1,1787953794752005577,1787953794704444540,5371836813760,5371836826131,72,0,0
tx,66,119,1,1,1787953794762679206,1787953794704444540,5371847487483,5371847502649,72,0,0
tx,66,128,1,1,1787953794772289058,1787953794704444540,5371857097242,5371857111223,72,0,0
tx,66,138,1,1,1787953794782953743,1787953794704444540,5371867761946,5371867774075,72,0,0
tx,66,147,1,1,1787953794792555132,1787953794704444540,5371877363316,5371877375760,72,0,0
rx,67,67,1,1,1787953794801111669,1787953794800164836,5371885919742,0,0,0,0
rx,68,68,1,1,1787953794802188799,1787953794801269447,5371886996871,0,0,0,0
tx,68,156,1,1,1787953794802192595,1787953794801269447,5371887000779,5371887019279,72,0,0
rx,69,69,1,1,1787953794803319336,1787953794802387669,5371888127408,0,0,0,0
rx,70,70,1,1,1787953794804401929,1787953794803538484,5371889210001,0,0,0,0
rx,71,71,1,1,1787953794805482392,1787953794804639892,5371890290464,0,0,0,0
