kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953793776112503,5370861011946,192.168.20.11,53528,192.168.20.255,12345,1,1,8,4
1787953793777225318,5370862078483,192.168.20.11,53528,192.168.20.255,12345,2,2,8,4
1787953793778339985,5370863184705,192.168.20.11,53528,192.168.20.255,12345,3,3,8,4
1787953793779459022,5370864301817,192.168.20.11,53528,192.168.20.255,12345,4,4,8,4
1787953793878500688,5370963397631,192.168.20.11,53528,192.168.20.255,12345,5,5,8,4
1787953793879605448,5370964454076,192.168.20.11,53528,192.168.20.255,12345,6,6,8,4
1787953793880716448,5370965559150,192.168.20.11,53528,192.168.20.255,12345,7,7,8,4
1787953793881834781,5370966674409,192.168.20.11,53528,192.168.20.255,12345,8,8,8,4
1787953793882954596,5370967793779,192.168.20.11,53528,192.168.20.255,12345,9,9,8,4
1787953793884077077,5370968926909,192.168.20.11,53528,192.168.20.255,12345,10,10,8,4
1787953793885216040,5370970086891,192.168.20.11,53528,192.168.20.255,12345,11,11,8,4
1787953793980917374,5371065807687,192.168.20.11,53528,192.168.20.255,12345,12,12,8,4
1787953793982025966,5371066870094,192.168.20.11,53528,192.168.20.255,12345,13,13,8,4
1787953793983142540,5371067990798,192.168.20.11,53528,192.168.20.255,12345,14,14,8,4
1787953793984259225,5371069101890,192.168.20.11,53528,192.168.20.255,12345,15,15,8,4
1787953793985373059,5371070216779,192.168.20.11,53528,192.168.20.255,12345,16,16,8,4
1787953793986489429,5371071330131,192.168.20.11,53528,192.168.20.255,12345,17,17,8,4
1787953793987614207,5371072454965,192.168.20.11,53528,192.168.20.255,12345,18,18,8,4
1787953794083327411,5371168216002,192.168.20.11,53528,192.168.20.255,12345,19,19,8,4
1787953794084466855,5371169309335,192.168.20.11,53528,192.168.20.255,12345,20,20,8,4
1787953794085638281,5371170476316,192.168.20.11,53528,192.168.20.255,12345,21,21,8,4
1787953794086798336,5371171641890,192.168.20.11,53528,192.168.20.255,12345,22,22,8,4
1787953794087949744,5371172797798,192.168.20.11,53528,192.168.20.255,12345,23,23,8,4
1787953794089103559,5371173948687,192.168.20.11,53528,192.168.20.255,12345,24,24,8,4
1787953794090238688,5371175077964,192.168.20.11,53528,192.168.20.255,12345,25,25,8,4
1787953794185728725,5371270619483,192.168.20.11,53528,192.168.20.255,12345,26,26,8,4
1787953794186850948,5371271694020,192.168.20.11,53528,192.168.20.255,12345,27,27,8,4
1787953794187983318,5371272828816,192.168.20.11,53528,192.168.20.255,12345,28,28,8,4
1787953794189118873,5371273963890,192.168.20.11,53528,192.168.20.255,12345,29,29,8,4
1787953794190255614,5371275095168,192.168.20.11,53528,192.168.20.255,12345,30,30,8,4
1787953794191405855,5371276252261,192.168.20.11,53528,192.168.20.255,12345,31,31,8,4
1787953794192535355,5371277380576,192.168.20.11,53528,192.168.20.255,12345,32,32,8,4
1787953794288132614,5371373029724,192.168.20.11,53528,192.168.20.255,12345,33,33,8,4
1787953794289282985,5371374146075,192.168.20.11,53528,192.168.20.255,12345,34,34,8,4
1787953794290437225,5371375281150,192.168.20.11,53528,192.168.20.255,12345,35,35,8,4
1787953794292709633,5371377548390,192.168.20.11,53528,192.168.20.255,12345,37,37,8,4
1787953794293843429,5371378681261,192.168.20.11,53528,192.168.20.255,12345,38,38,8,4
1787953794390516466,5371475413557,192.168.20.11,53528,192.168.20.255,12345,39,39,8,4
1787953794391622447,5371476473168,192.168.20.11,53528,192.168.20.255,12345,40,40,8,4
1787953794392740744,5371477584372,192.168.20.11,53528,192.168.20.255,12345,41,41,8,4
1787953794393861003,5371478704298,192.168.20.11,53528,192.168.20.255,12345,42,42,8,4
1787953794394971910,5371479812205,192.168.20.11,53528,192.168.20.255,12345,43,43,8,4
1787953794396095633,5371480939390,192.168.20.11,53528,192.168.20.255,12345,44,44,8,4
1787953794397216429,5371482085983,192.168.20.11,53528,192.168.20.255,12345,45,45,8,4
1787953794493205910,5371578091557,192.168.20.11,53528,192.168.20.255,12345,46,46,8,4
1787953794494306558,5371579147075,192.168.20.11,53528,192.168.20.255,12345,47,47,8,4
1787953794495423225,5371580265909,192.168.20.11,53528,192.168.20.255,12345,48,48,8,4
1787953794496539577,5371581379946,192.168.20.11,53528,192.168.20.255,12345,49,49,8,4
1787953794497708188,5371582553057,192.168.20.11,53528,192.168.20.255,12345,50,50,8,4
1787953794498829892,5371583672483,192.168.20.11,53528,192.168.20.255,12345,51,51,8,4
1787953794499942281,5371584780835,192.168.20.11,53528,192.168.20.255,12345,52,52,8,4
1787953794595314151,5371680205983,192.168.20.11,53528,192.168.20.255,12345,53,53,8,4
1787953794596661429,5371681503464,192.168.20.11,53528,192.168.20.255,12345,54,54,8,4
1787953794597803521,5371682641760,192.168.20.11,53528,192.168.20.255,12345,55,55,8,4
1787953794598923503,5371683766557,192.168.20.11,53528,192.168.20.255,12345,56,56,8,4
1787953794600044873,5371684886168,192.168.20.11,53528,192.168.20.255,12345,57,57,8,4
1787953794601161484,5371686001279,192.168.20.11,53528,192.168.20.255,12345,58,58,8,4
1787953794602301929,5371687149372,192.168.20.11,53528,192.168.20.255,12345,59,59,8,4
1787953794697720799,5371782608094,192.168.20.11,53528,192.168.20.255,12345,60,60,8,4
1787953794698827244,5371783670612,192.168.20.11,53528,192.168.20.255,12345,61,61,8,4
1787953794699946466,5371784798372,192.168.20.11,53528,192.168.20.255,12345,62,62,8,4
1787953794701090318,5371785933279,192.168.20.11,53528,192.168.20.255,12345,63,63,8,4
1787953794702206725,5371787052094,192.168.20.11,53528,192.168.20.255,12345,64,64,8,4
1787953794703345373,5371788187872,192.168.20.11,53528,192.168.20.255,12345,65,65,8,4
1787953794704444540,5371789282909,192.168.20.11,53528,192.168.20.255,12345,66,66,8,4
1787953794800164836,5371885054094,192.168.20.11,53528,192.168.20.255,12345,67,67,8,4
1787953794801269447,5371886117020,192.168.20.11,53528,192.168.20.255,12345,68,68,8,4
1787953794802387669,5371887234038,192.168.20.11,53528,192.168.20.255,12345,69,69,8,4
1787953794803538484,5371888381594,192.168.20.11,53528,192.168.20.255,12345,70,70,8,4
1787953794804639892,5371889498223,192.168.20.11,53528,192.168.20.255,12345,71,71,8,4
1787953794805758318,5371890604168,192.168.20.11,53528,192.168.20.255,12345,72,72,8,4
1787953794806878725,5371891723853,192.168.20.11,53528,192.168.20.255,12345,73,73,8,4
1787953794902777929,5371987675205,192.168.20.11,53528,192.168.20.255,12345,74,74,8,4
1787953794903882336,5371988728223,192.168.20.11,53528,192.168.20.255,12345,75,75,8,4
1787953794904997503,5371989834575,192.168.20.11,53528,192.168.20.255,12345,76,76,8,4
1787953794906116929,5371990952057,192.168.20.11,53528,192.168.20.255,12345,77,77,8,4
1787953794907252799,5371992090445,192.168.20.11,53528,192.168.20.255,12345,78,78,8,4
1787953794908407540,5371993253631,192.168.20.11,53528,192.168.20.255,12345,79,79,8,4
1787953795004984132,5372089873982,192.168.20.11,53528,192.168.20.255,12345,80,80,8,4
1787953795006079521,5372090943390,192.168.20.11,53528,192.168.20.255,12345,81,81,8,4
1787953795007225929,5372092066075,192.168.20.11,53528,192.168.20.255,12345,82,82,8,4
1787953795008327262,5372093163094,192.168.20.11,53528,192.168.20.255,12345,83,83,8,4
1787953795009449577,5372094293186,192.168.20.11,53528,192.168.20.255,12345,84,84,8,4
