pc_mono_ns,bytes
76860010452100,1368
76860110964900,1596
76860212973000,1368
76860322300100,1596
76860422474500,1368
76860536389600,1596
76860640810200,1596
76860741985300,1368
76860849931900,1596
76860950636300,1368
76861065272700,1647
76861174328900,1545
76861284253600,1596
76861389463300,1596
76861494170400,1368
76861594214500,1368
76861705656000,1824
76861816983200,1596
76861927376900,1513
76862035595300,1451
76862147493000,1596
76862257980000,1596
76862368579000,1596
76862471821000,1368
76862574050700,1596
76862683006000,1368
76862790611900,1824
76862900769400,1407
76863008915000,1557
76863109442100,1368
76863220058200,1581
76863330552100,1561
76863435679700,1561
76863539417200,1324
76863648156500,1561
76863756671300,1561
76863866021800,1561
76863969472700,1338
76864070910100,1561
76864179075800,1338
76864287663200,1561
76864395174400,1561
76864497750500,1338
76864599051800,1338
76864703704200,1561
76864817542500,1761
76864925599900,1361
76865026902700,1539
76865137234500,1360
76865251423700,1566
76865352794800,1556
76865453039900,1338
76865560694000,1561
76865662768900,1338
76865769287000,1561
76865872839900,1561
76865979742900,1338
76866093942300,1561
76866203389300,1561
76866312957800,1561
76866415602700,1338
76866518871900,1561
76866627931100,1338
76866735910400,1784
76866845199000,1338
76866954091600,1561
76867061368100,1561
76867172518700,1561
76867284431300,1561
76867392993600,1347
76867507174300,1775
76867615978300,1338
76867724898300,1784
76867833014400,1338
76867948016200,1561
76868055972000,1561
76868167164000,1561
76868272275000,1561
76868379843100,1338
76868482013500,1561
76868591750200,1330
76868692734200,1561
76868802953600,1561
76868913161500,1561
76869022526000,1561
76869123331400,1338
76869237880000,1561
76869351693100,1561
76869454178700,1416
76869563197300,1483
76869671465500,1561
76869781431500,1561
76869890187400,1561
76869996469000,1561
76870102827000,1338
76870213143000,1561
76870322089900,1561
76870423957900,1338
76870525511700,1524
76870635605000,1375
76870751625000,1784
76870859745100,1561
76870969768600,1561
76871072805900,1338
76871183474600,1561
76871297483500,1561
76871407376300,1561
76871515089100,1366
76871624013800,1533
76871727760600,1561
76871836723900,1561
76871937969400,1338
76871967845600,4096
76871995054400,4096
76872022603500,4096
76872050428700,4096
76872077643100,4096
76872104472000,4096
76872131508000,4096
76872158446000,4096
76872185719600,4096
76872213110300,4096
76872240628800,4096
76872268882500,4096
76872295313200,4096
76872322439500,4096
76872349295300,4096
76872448950900,2623
76872560645900,1561
76872669687500,1561
76872778606400,1561
76872891089300,1561
76872999434900,1561
76873102067200,1338
76873202895700,1338
76873304266600,1561
76873407357200,1338
76873517436300,1561
76873626402200,1561
76873732108000,1338
76873844883500,1784
76873945068800,1338
76874059410300,1561
76874163627400,1346
76874276912700,1663
76874386408500,1451
76874496944700,1561
76874605333500,1561
76874709847100,1338
76874815211400,1561
76874925177500,1561
76875028070800,1561
76875142234500,1561
76875244434500,1358
76875344830500,1368
76875446374500,1596
76875556317500,1368
76875664811900,1596
76875776043300,1824
76875876815700,1368
76875984413500,1596
76876088262900,1368
76876198586700,1596
76876308898500,1596
76876411109200,1368
76876513911700,1368
76876623435500,1596
76876730446400,1596
76876839504300,1596
76876947205300,1596
76877054457600,1525
76877161005900,1439
76877269725500,1596
76877376872200,1588
76877479715000,1376
76877584442600,1368
76877688452300,1596
