event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954029237559048,1787954029237448622,5606322367028,0,0,0,0
tx,1,1,1,1,1787954029237569919,1787954029237448622,5606322378176,5606322457065,72,0,0
tx,1,10,1,1,1787954029247486530,1787954029237448622,5606332294787,5606332327676,72,0,0
rx,2,2,1,1,1787954029252934919,1787954029252667215,5606337742898,0,0,0,0
tx,2,19,1,1,1787954029257266789,1787954029252667215,5606342075047,5606342103213,72,0,0
tx,2,28,1,1,1787954029267086196,1787954029252667215,5606351894435,5606351919528,72,0,0
rx,3,3,1,1,1787954029269281844,1787954029268186807,5606354089732,0,0,0,0
tx,3,38,1,1,1787954029277938956,1787954029268186807,5606362747213,5606362773269,72,0,0
rx,4,4,1,1,1787954029283424696,1787954029283277696,5606368232695,0,0,0,0
tx,4,47,1,1,1787954029287762789,1787954029283277696,5606372571047,5606372596843,72,0,0
tx,4,56,1,1,1787954029297567215,1787954029283277696,5606382375509,5606382404972,72,0,0
rx,5,5,1,1,1787954029298683733,1787954029298621233,5606383491713,0,0,0,0
tx,5,65,1,1,1787954029307346215,1787954029298621233,5606392154491,5606392180602,72,0,0
rx,6,6,1,1,1787954029313921993,1787954029313505326,5606398729972,0,0,0,0
tx,6,74,1,1,1787954029317179493,1787954029313505326,5606401987732,5606402013565,72,0,0
tx,6,83,1,1,1787954029327014993,1787954029313505326,5606411823232,5606411847306,72,0,0
rx,7,7,1,1,1787954029329204993,1787954029328139326,5606414012991,0,0,0,0
tx,7,93,1,1,1787954029337863530,1787954029328139326,5606422671824,5606422698121,72,0,0
rx,8,8,1,1,1787954029343359881,1787954029342958344,5606428167880,0,0,0,0
tx,8,102,1,1,1787954029347691437,1787954029342958344,5606432499695,5606432530176,72,0,0
tx,8,111,1,1,1787954029357529789,1787954029342958344,5606442338028,5606442368343,72,0,0
rx,9,9,1,1,1787954029358646733,1787954029357642752,5606443454732,0,0,0,0
tx,9,120,1,1,1787954029367306252,1787954029357642752,5606452114546,5606452140232,72,0,0
rx,10,10,1,1,1787954029373881363,1787954029373326307,5606458689343,0,0,0,0
tx,10,129,1,1,1787954029377130937,1787954029373326307,5606461939195,5606461966287,72,0,0
tx,10,139,1,1,1787954029388021789,1787954029373326307,5606472830046,5606472854898,72,0,0
rx,11,11,1,1,1787954029389137381,1787954029388275030,5606473945380,0,0,0,0
tx,11,149,1,1,1787954029398891826,1787954029388275030,5606483700250,5606483732769,72,0,0
rx,12,12,1,1,1787954029404398918,1787954029403590770,5606489206935,0,0,0,0
tx,12,158,1,1,1787954029408739030,1787954029403590770,5606493547287,5606493574639,72,0,0
rx,13,13,1,1,1787954029418554122,1787954029418359789,5606503362139,0,0,0,0
tx,13,167,1,1,1787954029418562141,1787954029418359789,5606503370398,5606503397009,72,0,0
tx,13,176,1,1,1787954029428417993,1787954029418359789,5606513226250,5606513252046,72,0,0
rx,14,14,1,1,1787954029433923548,1787954029432936548,5606518731528,0,0,0,0
tx,14,185,1,1,1787954029438263104,1787954029432936548,5606523071361,5606523097287,72,0,0
tx,14,194,1,1,1787954029448123641,1787954029432936548,5606532931898,5606532975917,72,0,0
rx,15,15,1,1,1787954029449258233,1787954029448189233,5606534066232,0,0,0,0
tx,15,3,1,1,1787954029458998974,1787954029448189233,5606543807232,5606543834009,72,0,0
rx,16,16,1,1,1787954029463425955,1787954029463204937,5606548233972,0,0,0,0
tx,16,12,1,1,1787954029468837604,1787954029463204937,5606553645861,5606553672139,72,0,0
tx,16,21,1,1,1787954029478651511,1787954029463204937,5606563459769,5606563484602,72,0,0
rx,17,17,1,1,1787954029479761992,1787954029478886678,5606564569898,0,0,0,0
tx,17,30,1,1,1787954029488422807,1787954029478886678,5606573231065,5606573257158,72,0,0
rx,18,18,1,1,1787954029493949344,1787954029492933622,5606578757343,0,0,0,0
tx,18,39,1,1,1787954029498290085,1787954029492933622,5606583098343,5606583131917,72,0,0
tx,18,48,1,1,1787954029508117807,1787954029492933622,5606592926065,5606592950935,72,0,0
rx,19,19,1,1,1787954029510349085,1787954029509613307,5606595157102,0,0,0,0
tx,19,58,1,1,1787954029519007455,1787954029509613307,5606603815713,5606603843602,72,0,0
rx,20,20,1,1,1787954029523414215,1787954029523119011,5606608222213,0,0,0,0
tx,20,67,1,1,1787954029528862789,1787954029523119011,5606613671046,5606613699028,72,0,0
rx,21,21,1,1,1787954029538679233,1787954029538482900,5606623487232,0,0,0,0
tx,21,76,1,1,1787954029538686752,1787954029538482900,5606623495009,5606623521195,72,0,0
tx,21,85,1,1,1787954029548509622,1787954029538482900,5606633317898,5606633349917,72,0,0
rx,22,22,1,1,1787954029553959141,1787954029553306881,5606638767139,0,0,0,0
tx,22,94,1,1,1787954029558295437,1787954029553306881,5606643103676,5606643130824,72,0,0
tx,22,103,1,1,1787954029568119141,1787954029553306881,5606652927380,5606652951583,72,0,0
rx,23,23,1,1,1787954029569228196,1787954029568940696,5606654036194,0,0,0,0
tx,23,113,1,1,1787954029578969270,1787954029568940696,5606663777509,5606663803676,72,0,0
rx,24,24,1,1,1787954029583441881,1787954029583360641,5606668249898,0,0,0,0
tx,24,122,1,1,1787954029588860696,1787954029583360641,5606673668954,5606673695917,72,0,0
tx,24,131,1,1,1787954029598679622,1787954029583360641,5606683487861,5606683518787,72,0,0
