kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954029237448622,5606322406065,192.168.20.11,62710,192.168.20.108,12345,1,1,8,4
1787954029252667215,5606337604343,192.168.20.11,62710,192.168.20.108,12345,2,2,8,4
1787954029268186807,5606353084787,192.168.20.11,62710,192.168.20.108,12345,3,3,8,4
1787954029283277696,5606368167269,192.168.20.11,62710,192.168.20.108,12345,4,4,8,4
1787954029298621233,5606383556639,192.168.20.11,62710,192.168.20.108,12345,5,5,8,4
1787954029313505326,5606398402861,192.168.20.11,62710,192.168.20.108,12345,6,6,8,4
1787954029328139326,5606413026584,192.168.20.11,62710,192.168.20.108,12345,7,7,8,4
1787954029342958344,5606427870991,192.168.20.11,62710,192.168.20.108,12345,8,8,8,4
1787954029357642752,5606442577324,192.168.20.11,62710,192.168.20.108,12345,9,9,8,4
1787954029373326307,5606458223806,192.168.20.11,62710,192.168.20.108,12345,10,10,8,4
1787954029388275030,5606473208158,192.168.20.11,62710,192.168.20.108,12345,11,11,8,4
1787954029403590770,5606488527509,192.168.20.11,62710,192.168.20.108,12345,12,12,8,4
1787954029418359789,5606503258139,192.168.20.11,62710,192.168.20.108,12345,13,13,8,4
1787954029432936548,5606517826269,192.168.20.11,62710,192.168.20.108,12345,14,14,8,4
1787954029448189233,5606533148972,192.168.20.11,62710,192.168.20.108,12345,15,15,8,4
1787954029463204937,5606548104139,192.168.20.11,62710,192.168.20.108,12345,16,16,8,4
1787954029478886678,5606563777120,192.168.20.11,62710,192.168.20.108,12345,17,17,8,4
1787954029492933622,5606577828176,192.168.20.11,62710,192.168.20.108,12345,18,18,8,4
1787954029509613307,5606594535213,192.168.20.11,62710,192.168.20.108,12345,19,19,8,4
1787954029523119011,5606608048491,192.168.20.11,62710,192.168.20.108,12345,20,20,8,4
1787954029538482900,5606623372380,192.168.20.11,62710,192.168.20.108,12345,21,21,8,4
1787954029553306881,5606638235695,192.168.20.11,62710,192.168.20.108,12345,22,22,8,4
1787954029568940696,5606653833657,192.168.20.11,62710,192.168.20.108,12345,23,23,8,4
1787954029583360641,5606668251898,192.168.20.11,62710,192.168.20.108,12345,24,24,8,4
1787954029598736918,5606683667176,192.168.20.11,62710,192.168.20.108,12345,25,25,8,4
1787954029613806881,5606698697380,192.168.20.11,62710,192.168.20.108,12345,26,26,8,4
1787954029628341289,5606713231046,192.168.20.11,62710,192.168.20.108,12345,27,27,8,4
1787954029643486696,5606728390102,192.168.20.11,62710,192.168.20.108,12345,28,28,8,4
1787954029658384659,5606743320287,192.168.20.11,62710,192.168.20.108,12345,29,29,8,4
1787954029672970992,5606757867380,192.168.20.11,62710,192.168.20.108,12345,30,30,8,4
1787954029688528048,5606773413009,192.168.20.11,62710,192.168.20.108,12345,31,31,8,4
1787954029703535678,5606788469102,192.168.20.11,62710,192.168.20.108,12345,32,32,8,4
1787954029718924215,5606803812843,192.168.20.11,62710,192.168.20.108,12345,33,33,8,4
1787954029733155048,5606818041917,192.168.20.11,62710,192.168.20.108,12345,34,34,8,4
1787954029748526215,5606833462305,192.168.20.11,62710,192.168.20.108,12345,35,35,8,4
1787954029763306381,5606848201787,192.168.20.11,62710,192.168.20.108,12345,36,36,8,4
1787954029778315603,5606863198046,192.168.20.11,62710,192.168.20.108,12345,37,37,8,4
1787954029793056566,5606877992583,192.168.20.11,62710,192.168.20.108,12345,38,38,8,4
1787954029808788159,5606893684065,192.168.20.11,62710,192.168.20.108,12345,39,39,8,4
1787954029823168659,5606908059972,192.168.20.11,62710,192.168.20.108,12345,40,40,8,4
1787954029838493918,5606923378991,192.168.20.11,62710,192.168.20.108,12345,41,41,8,4
1787954029853223807,5606938152583,192.168.20.11,62710,192.168.20.108,12345,42,42,8,4
1787954029868017363,5606952990602,192.168.20.11,62710,192.168.20.108,12345,43,43,8,4
1787954029883586029,5606968480491,192.168.20.11,62710,192.168.20.108,12345,44,44,8,4
1787954029898759974,5606983694231,192.168.20.11,62710,192.168.20.108,12345,45,45,8,4
1787954029915009844,5606999906361,192.168.20.11,62710,192.168.20.108,12345,46,46,8,4
1787954029929137529,5607014027583,192.168.20.11,62710,192.168.20.108,12345,47,47,8,4
1787954029943227122,5607028127324,192.168.20.11,62710,192.168.20.108,12345,48,48,8,4
1787954029958392955,5607043320861,192.168.20.11,62710,192.168.20.108,12345,49,49,8,4
1787954029973481011,5607058375991,192.168.20.11,62710,192.168.20.108,12345,50,50,8,4
1787954029987701770,5607072587879,192.168.20.11,62710,192.168.20.108,12345,51,51,8,4
1787954030003451825,5607088374324,192.168.20.11,62710,192.168.20.108,12345,52,52,8,4
1787954030020013788,5607104914953,192.168.20.11,62710,192.168.20.108,12345,53,53,8,4
1787954030033869992,5607118762787,192.168.20.11,62710,192.168.20.108,12345,54,54,8,4
1787954030048811233,5607133742435,192.168.20.11,62710,192.168.20.108,12345,55,55,8,4
1787954030062738307,5607147633065,192.168.20.11,62710,192.168.20.108,12345,56,56,8,4
1787954030078556751,5607163446194,192.168.20.11,62710,192.168.20.108,12345,57,57,8,4
1787954030093023529,5607177954102,192.168.20.11,62710,192.168.20.108,12345,58,58,8,4
1787954030108930844,5607193839176,192.168.20.11,62710,192.168.20.108,12345,59,59,8,4
1787954030122998881,5607207895898,192.168.20.11,62710,192.168.20.108,12345,60,60,8,4
1787954030138446770,5607223631453,192.168.20.11,62710,192.168.20.108,12345,61,61,8,4
1787954030153761677,5607238675176,192.168.20.11,62710,192.168.20.108,12345,62,62,8,4
1787954030168941511,5607253832083,192.168.20.11,62710,192.168.20.108,12345,63,63,8,4
1787954030184018659,5607268905324,192.168.20.11,62710,192.168.20.108,12345,64,64,8,4
1787954030198998214,5607283951268,192.168.20.11,62710,192.168.20.108,12345,65,65,8,4
1787954030213363603,5607298300750,192.168.20.11,62710,192.168.20.108,12345,66,66,8,4
1787954030229027325,5607313926139,192.168.20.11,62710,192.168.20.108,12345,67,67,8,4
1787954030325945381,5607410888435,192.168.20.11,62710,192.168.20.108,12345,68,68,8,4
1787954030329360973,5607414254157,192.168.20.11,62710,192.168.20.108,12345,69,69,8,4
