pc_mono_ns,bytes
77095577899100,1532
77095689946000,1596
77095803850500,1596
77095912018700,1383
77096022740500,1581
77096136186900,1596
77096247725000,1596
77096353341900,1596
77096460399400,1596
77096571140300,1596
77096680582100,1596
77096790525600,1554
77096897030500,1410
77097003113900,1596
77097118005700,1596
77097218737100,1368
77097320141200,1368
77097421242800,1596
77097521751200,1368
77097630213500,1596
77097738222400,1596
77097849033900,1596
77097960937700,1596
77098073059600,1596
77098174780900,1368
77098285668700,1596
77098388154600,1368
77098497840800,1824
77098609969200,1596
77098723173900,1566
77098832098800,1338
77098944812100,1561
77099053726200,1561
77099159208400,1561
77099262852700,1338
77099366505000,1552
77099469095600,1347
77099569771500,1561
77099678434700,1338
77099786422900,1561
77099889595800,1472
77099990558200,1427
77100097529100,1338
77100212258100,1784
77100318790500,1338
77100426898400,1561
77100536796100,1561
77100644299600,1561
77100759086700,1561
77100867742100,1561
77100968864700,1338
77101070471900,1338
77101171101000,1561
77101284014100,1561
77101389532100,1338
77101496671900,1561
77101596835500,1507
77101706432700,1392
77101806622200,1561
77101908465900,1338
77102021689200,1561
77102136260500,1561
77102246357300,1561
77102355882000,1561
77102469225800,1561
77102579567800,1561
77102686345200,1561
77102797609300,1561
77102903948200,1338
77103013386300,1561
77103127807500,1561
77103236846400,1561
77103349387400,1561
77103454543600,1338
77103561586900,1784
77103665827600,1338
77103774652800,1561
77103878916000,1338
77103980376200,1561
77104084876100,1338
77104187549600,1338
77104301372200,1652
77104404478000,1470
77104505739900,1561
77104615779500,1561
77104731184800,1561
77104837883300,1338
77104946239500,1561
77105055879900,1561
77105168103300,1561
77105283016300,1561
77105384452500,1338
77105495031300,1784
77105603948800,1338
77105712201000,1561
77105821458500,1561
77105930034700,1561
77106039711900,1339
77106148836600,1560
77106258585600,1561
77106363865700,1561
77106469513400,1338
77106578273300,1561
77106686902000,1561
77106790481000,1561
77106901400700,1369
77107008751700,1516
77107119131500,1561
77107228224400,1561
77107337783400,1561
77107440570700,1338
77107550254000,2631
77107659297200,3222
77107768345700,3320
77107880765400,3414
77107995350500,3502
77108100555900,3255
77108209866000,3460
77108321018200,3493
77108428433600,3366
77108530638800,3167
77108634894100,3392
77108744297400,3647
77108845858400,3414
77108946874000,3380
77109048117000,3408
77109159111100,3821
77109269790400,3826
77109380639600,3817
77109488478000,2607
77109589178100,1561
77109692519200,1338
77109802413900,1561
77109913533400,1561
77110022241200,1561
77110131944200,1561
77110235123000,1338
77110346921600,1561
77110453699300,1561
77110561136800,1561
77110669998200,1561
77110780785300,1353
77110885060500,1596
77110989504300,1368
77111091892000,1596
77111208481300,1596
77111312911000,1368
77111415727700,1596
77111518263800,1368
77111624569600,1596
77111725252000,1596
77111826457000,1368
77111935492100,1596
77112037559900,1368
77112147748300,1596
77112258787100,1596
77112369169000,1596
77112484468100,1596
77112586293600,1596
77112697009400,1368
77112797156500,1596
77112908847800,1596
77113023409900,1596
77113128290200,1368
77113242983100,1596
