event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787953836829904700,1787953836829574181,5413914712772,0,0,0,0
tx,1,1,1,1,1787953836829910163,1787953836829574181,5413914718698,5413914787420,72,0,0
tx,1,10,1,1,1787953836839638681,1787953836829574181,5413924446958,5413924460272,72,0,0
rx,2,2,1,1,1787953836845012126,1787953836844491811,5413929820180,0,0,0,0
tx,2,19,1,1,1787953836849282533,1787953836844491811,5413934090772,5413934108569,72,0,0
tx,2,29,1,1,1787953836860054867,1787953836844491811,5413944863087,5413944884754,72,0,0
rx,3,3,1,1,1787953836861149978,1787953836860069089,5413945958050,0,0,0,0
tx,3,39,1,1,1787953836870757533,1787953836860069089,5413955565717,5413955579402,72,0,0
rx,4,4,1,1,1787953836876212404,1787953836875687089,5413961020457,0,0,0,0
tx,4,48,1,1,1787953836880469978,1787953836875687089,5413965278235,5413965294069,72,0,0
tx,4,57,1,1,1787953836890165978,1787953836875687089,5413974974161,5413974987050,72,0,0
rx,5,5,1,1,1787953836891222996,1787953836891149755,5413976031069,0,0,0,0
tx,5,67,1,1,1787953836900860515,1787953836891149755,5413985668754,5413985688846,72,0,0
rx,6,6,1,1,1787953836906352533,1787953836905560959,5413991160606,0,0,0,0
tx,6,76,1,1,1787953836910613755,1787953836905560959,5413995421939,5413995436402,72,0,0
tx,6,85,1,1,1787953836920250552,1787953836905560959,5414005058754,5414005071309,72,0,0
rx,7,7,1,1,1787953836921334274,1787953836921166848,5414006142346,0,0,0,0
tx,7,95,1,1,1787953836931004052,1787953836921166848,5414015812235,5414015826087,72,0,0
rx,8,8,1,1,1787953836936372811,1787953836935328978,5414021180883,0,0,0,0
tx,8,104,1,1,1787953836940651626,1787953836935328978,5414025459883,5414025474439,72,0,0
tx,8,113,1,1,1787953836950287866,1787953836935328978,5414035096106,5414035113124,72,0,0
rx,9,9,1,1,1787953836951372811,1787953836950289144,5414036180883,0,0,0,0
tx,9,123,1,1,1787953836960983755,1787953836950289144,5414045791939,5414045808069,72,0,0
rx,10,10,1,1,1787953836966369663,1787953836965437922,5414051177735,0,0,0,0
tx,10,132,1,1,1787953836970692811,1787953836965437922,5414055500994,5414055515087,72,0,0
