kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953836829574181,5413914479458,192.168.20.11,59581,192.168.20.108,12345,1,1,8,4
1787953836844491811,5413929377532,192.168.20.11,59581,192.168.20.108,12345,2,2,8,4
1787953836860069089,5413944966272,192.168.20.11,59581,192.168.20.108,12345,3,3,8,4
1787953836875687089,5413960553624,192.168.20.11,59581,192.168.20.108,12345,4,4,8,4
1787953836891149755,5413976019865,192.168.20.11,59581,192.168.20.108,12345,5,5,8,4
1787953836905560959,5413990451828,192.168.20.11,59581,192.168.20.108,12345,6,6,8,4
1787953836921166848,5414006018532,192.168.20.11,59581,192.168.20.108,12345,7,7,8,4
1787953836935328978,5414020181439,192.168.20.11,59581,192.168.20.108,12345,8,8,8,4
1787953836950289144,5414035168457,192.168.20.11,59581,192.168.20.108,12345,9,9,8,4
1787953836965437922,5414050306809,192.168.20.11,59581,192.168.20.108,12345,10,10,8,4
1787953836980302144,5414065154346,192.168.20.11,59581,192.168.20.108,12345,11,11,8,4
1787953836995253348,5414080538198,192.168.20.11,59581,192.168.20.108,12345,12,12,8,4
1787953837010313218,5414095169309,192.168.20.11,59581,192.168.20.108,12345,13,13,8,4
1787953837025022496,5414109872772,192.168.20.11,59581,192.168.20.108,12345,14,14,8,4
1787953837039959070,5414124811735,192.168.20.11,59581,192.168.20.108,12345,15,15,8,4
1787953837055060385,5414139936217,192.168.20.11,59581,192.168.20.108,12345,16,16,8,4
1787953837070426052,5414155296568,192.168.20.11,59581,192.168.20.108,12345,17,17,8,4
1787953837085543829,5414170395550,192.168.20.11,59581,192.168.20.108,12345,18,18,8,4
1787953837100473144,5414185349439,192.168.20.11,59581,192.168.20.108,12345,19,19,8,4
1787953837115345607,5414200197754,192.168.20.11,59581,192.168.20.108,12345,20,20,8,4
1787953837130141255,5414214987976,192.168.20.11,59581,192.168.20.108,12345,21,21,8,4
1787953837145126589,5414229975383,192.168.20.11,59581,192.168.20.108,12345,22,22,8,4
1787953837160154515,5414245041865,192.168.20.11,59581,192.168.20.108,12345,23,23,8,4
1787953837175323866,5414260173772,192.168.20.11,59581,192.168.20.108,12345,24,24,8,4
1787953837190570459,5414275420013,192.168.20.11,59581,192.168.20.108,12345,25,25,8,4
1787953837204967403,5414289845420,192.168.20.11,59581,192.168.20.108,12345,26,26,8,4
1787953837220153255,5414305006605,192.168.20.11,59581,192.168.20.108,12345,27,27,8,4
1787953837235087940,5414319937198,192.168.20.11,59581,192.168.20.108,12345,28,28,8,4
1787953837250263755,5414335140902,192.168.20.11,59581,192.168.20.108,12345,29,29,8,4
1787953837264920163,5414349786420,192.168.20.11,59581,192.168.20.108,12345,30,30,8,4
1787953837280065459,5414364915939,192.168.20.11,59581,192.168.20.108,12345,31,31,8,4
1787953837295508903,5414380386957,192.168.20.11,59581,192.168.20.108,12345,32,32,8,4
1787953837310133514,5414394985013,192.168.20.11,59581,192.168.20.108,12345,33,33,8,4
1787953837325290811,5414410138735,192.168.20.11,59581,192.168.20.108,12345,34,34,8,4
1787953837340098607,5414424946568,192.168.20.11,59581,192.168.20.108,12345,35,35,8,4
1787953837355248885,5414440120420,192.168.20.11,59581,192.168.20.108,12345,36,36,8,4
1787953837370004255,5414454869735,192.168.20.11,59581,192.168.20.108,12345,37,37,8,4
1787953837385397088,5414470252383,192.168.20.11,59581,192.168.20.108,12345,38,38,8,4
1787953837400971848,5414485846216,192.168.20.11,59581,192.168.20.108,12345,39,39,8,4
1787953837415300014,5414500151772,192.168.20.11,59581,192.168.20.108,12345,40,40,8,4
1787953837430480255,5414515326772,192.168.20.11,59581,192.168.20.108,12345,41,41,8,4
1787953837444937866,5414529785976,192.168.20.11,59581,192.168.20.108,12345,42,42,8,4
1787953837460045644,5414544930624,192.168.20.11,59581,192.168.20.108,12345,43,43,8,4
1787953837475003829,5414559856013,192.168.20.11,59581,192.168.20.108,12345,44,44,8,4
1787953837490104329,5414574954402,192.168.20.11,59581,192.168.20.108,12345,45,45,8,4
1787953837505401977,5414590279198,192.168.20.11,59581,192.168.20.108,12345,46,46,8,4
1787953837519973959,5414604825290,192.168.20.11,59581,192.168.20.108,12345,47,47,8,4
1787953837535109329,5414619955790,192.168.20.11,59581,192.168.20.108,12345,48,48,8,4
1787953837549872644,5414634762216,192.168.20.11,59581,192.168.20.108,12345,49,49,8,4
1787953837565235922,5414650102253,192.168.20.11,59581,192.168.20.108,12345,50,50,8,4
1787953837580006107,5414664856439,192.168.20.11,59581,192.168.20.108,12345,51,51,8,4
1787953837595227125,5414680109050,192.168.20.11,59581,192.168.20.108,12345,52,52,8,4
1787953837610600311,5414695450587,192.168.20.11,59581,192.168.20.108,12345,53,53,8,4
1787953837625348125,5414710197309,192.168.20.11,59581,192.168.20.108,12345,54,54,8,4
1787953837640196644,5414725075827,192.168.20.11,59581,192.168.20.108,12345,55,55,8,4
1787953837655025440,5414739875105,192.168.20.11,59581,192.168.20.108,12345,56,56,8,4
1787953837670323514,5414755203753,192.168.20.11,59581,192.168.20.108,12345,57,57,8,4
1787953837685354736,5414770205179,192.168.20.11,59581,192.168.20.108,12345,58,58,8,4
1787953837700129236,5414785012827,192.168.20.11,59581,192.168.20.108,12345,59,59,8,4
