pc_mono_ns,bytes
76903122971900,1610
76903230772500,1380
76903332927200,1610
76903436317000,1598
76903548882200,1610
76903655584600,1380
76903764142500,1610
76903865539300,1380
76903975021100,1610
76904090616400,1610
76904200697400,1610
76904311452200,1610
76904416283900,1610
76904530917100,1610
76904642450000,1610
76904750011500,1610
76904850525500,1380
76904951927100,1380
76905052604700,1505
76905162811300,1485
76905277688000,1606
76905392350700,1822
76905493887600,1368
76905602837700,1596
76905716023800,1596
76905821371500,1596
76905933201200,1596
76906041479500,1368
76906147920100,1596
76906260526700,1573
76906371091300,1561
76906474723300,1561
76906582531700,1466
76906691991400,1433
76906799247600,1561
76906911633400,1561
76907020801300,1561
76907124842500,1338
76907236031900,1561
76907344709900,1561
76907460413500,1784
76907569973700,1338
76907684493000,1561
76907793790300,1561
76907895915700,1561
76908004263000,1338
76908104697600,1561
76908219939500,1561
76908329125100,1426
76908433226300,1473
76908540677200,1561
76908643014300,1407
76908755559600,1532
76908864916100,1521
76908975898900,1561
76909083581800,1561
76909190835600,1472
76909300340000,1427
76909410416100,1784
76909515896800,1338
76909627183600,1561
76909735021400,1561
76909846791000,1561
76909947558800,1338
76910056850300,1561
76910167601500,1561
76910282729700,1561
76910383579300,1561
76910487482300,1338
76910590663500,1338
76910695394400,1561
76910813265400,1561
76910929188700,1561
76911029478100,1561
76911138828100,1430
76911245880100,1469
76911346328300,1338
76911461862200,1784
76911571887800,1561
76911674103600,1338
76911787681700,1561
76911899037300,1561
76912007842800,1561
76912118880000,1561
76912230138300,1561
76912339006300,1549
76912442675200,1350
76912550728500,1561
76912665173700,1561
76912773932600,1561
76912876209400,1338
76912976384900,1561
76913086397800,1338
76913193292100,1561
76913302599400,1561
76913411778300,1561
76913515306800,1561
76913625398500,1338
76913735288000,1561
76913849269100,1561
76913958258600,1561
76914065454200,1561
76914172748500,1338
76914281331400,1561
76914393654800,1784
76914500352100,1338
76914600694100,1450
76914709841200,1449
76914811026300,1561
76914917215000,1338
76915028200400,1561
76915084257500,4096
76915111732700,4096
76915139111200,4096
76915166649800,4096
76915193830700,4096
76915220186700,4096
76915246949900,4096
76915274344800,4096
76915301587400,4096
76915329018100,4096
76915356989400,4096
76915384325800,4096
76915411164600,4096
76915437537800,4096
76915464187700,4096
76915569798800,3271
76915676672200,1561
76915778137400,1338
76915892748800,1561
76915992708200,1338
76916109021800,1784
76916218198400,1338
76916329853600,1561
76916434921200,1561
76916535184500,1561
76916643628900,1338
76916744347500,1561
76916855036500,1477
76916963965300,1422
76917076775900,1561
76917184756000,1561
76917296423700,1561
76917399123400,1561
76917513397600,1561
76917625948600,1561
76917725972900,1338
76917832189400,1561
76917946620300,1561
76918051070700,1338
76918160368600,1561
76918271879700,1561
76918380571900,1586
76918490304200,1596
76918601517000,1596
76918710525400,1596
76918821005500,1596
76918924463800,1368
76919034663100,1596
76919149464300,1596
76919258621100,1596
76919362105000,1368
76919471794200,1723
76919581870100,1469
76919694398200,1596
76919802581900,1596
76919914770700,1596
76920016449200,1368
76920127182700,1596
76920241937100,1596
76920351168800,1596
76920452251000,1596
76920566174300,1596
76920674510800,1596
76920783010200,1368
