pc_mono_ns,bytes
76765945536000,1840
76766057693300,1610
76766166982900,1380
76766278213500,1610
76766389118500,1610
76766490961400,1380
76766593055400,1610
76766702686100,1610
76766812073000,1380
76766922430700,1840
76767032820400,1610
76767144229600,1587
76767253239000,1403
76767363798800,1610
76767470639300,1610
76767585160800,1610
76767696269400,1610
76767808844600,1610
76767909910300,1610
76768022639600,1610
76768137088000,1598
76768238777000,1368
76768352819000,1579
76768465291400,1596
76768568783500,1499
76768679731000,1465
76768792042000,1596
76768906031200,1596
76769016978700,1824
76769128147500,1571
76769235890400,1338
76769346556600,1561
76769448702700,1561
76769557007700,1338
76769666043000,1561
76769773964500,1550
76769883978300,1561
76769993939900,1561
76770109333900,1561
76770209860800,1338
76770310584500,1561
76770410666400,1338
76770514070800,1338
76770623481100,1561
76770733508900,1561
76770844538500,1561
76770946365900,1561
76771054440800,1338
76771163125800,1561
76771274139400,1561
76771387593200,1561
76771489933700,1338
76771604772400,1784
76771715484800,1338
76771816700300,1561
76771925736900,1460
76772030563800,1434
76772144417000,1784
76772251905200,1338
76772360419400,1561
76772467701800,1561
76772569085900,1338
76772676568000,1561
76772780513600,1338
76772888334900,1561
76772995582700,1561
76773103449700,1561
76773212357100,1338
76773313791700,1561
76773415276900,1338
76773523600900,1561
76773629177000,1338
76773732861200,1561
76773840294000,1338
76773942224900,1561
76774043164300,1452
76774155752800,1541
76774259337700,1467
76774369461400,1561
76774483935100,1561
76774594727900,1561
76774696704000,1338
76774805699900,1561
76774914996800,1561
76775024966700,1561
76775138012800,1561
76775238879000,1338
76775347565300,1561
76775449824300,1338
76775560034000,1561
76775667260800,1561
76775767468800,1338
76775877303800,1561
76775987651200,1561
76776101132400,1561
76776210745200,1561
76776311481400,1338
76776411884200,1561
76776515382600,1338
76776619836600,1550
76776722891500,1349
76776832458600,1561
76776937726500,1338
76777047005000,1784
76777156371900,1338
76777266803000,1561
76777374378700,1561
76777475437200,1338
76777575664800,1338
76777686354200,1561
76777795546900,1561
76777893501300,4096
76777921213900,4096
76777948230500,4096
76777975061900,4096
76778001909500,4096
76778029326300,4096
76778056579200,4096
76778083807300,4096
76778110510000,4096
76778136869400,4096
76778251267500,3944
76778357746100,1358
76778471613600,1823
76778578059100,1369
76778688957500,1596
76778800981200,1596
76778912097300,1596
76779015688600,1596
76779120891200,1368
76779225897800,1596
76779333816800,1596
76779434102400,1368
76779545215300,1596
76779659774000,1596
76779769024600,1596
76779877355900,1368
76779984439400,1644
76780098084700,1776
76780204012400,1368
76780305721000,1368
76780412017900,1596
76780513363600,1368
76780624337300,1596
76780739224600,1596
76780847852000,1596
76780957333100,1596
76781057919100,1596
76781166099100,1368
76781267361700,1596
76781374597900,1368
76781481221100,1587
76781588197600,1596
76781692623500,1368
76781805847500,1596
76781908956400,1510
76782013215400,1542
76782117837800,1508
76782220137000,1368
76782334366700,1596
76782438836400,1596
76782539783200,1368
76782648300000,1596
76782759445100,1596
76782873641900,1596
76782982970900,1596
76783097961300,1596
76783199110400,1596
76783303585800,1368
76783405923700,1368
76783513881400,1596
76783623307800,1596
