event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787953972572168471,1787953972571364860,5549656976543,0,0,0,0
tx,1,1,1,1,1787953972572173397,1787953972571364860,5549656981580,5549657010154,72,0,0
rx,2,2,1,1,1787953972587180637,1787953972586280952,5549671988710,0,0,0,0
tx,2,2,1,1,1787953972587185119,1787953972586280952,5549671993395,5549672027154,72,0,0
rx,3,3,1,1,1787953972602273971,1787953972602123137,5549687082043,0,0,0,0
tx,3,3,1,1,1787953972602280286,1787953972602123137,5549687088469,5549687106414,72,0,0
rx,4,4,1,1,1787953972617249286,1787953972617063119,5549702057358,0,0,0,0
tx,4,4,1,1,1787953972617253434,1787953972617063119,5549702061691,5549702076710,72,0,0
rx,5,5,1,1,1787953972632193600,1787953972631450526,5549717001673,0,0,0,0
tx,5,5,1,1,1787953972632197730,1787953972631450526,5549717005969,5549717026340,72,0,0
rx,6,6,1,1,1787953972647175045,1787953972646681582,5549731983117,0,0,0,0
tx,6,6,1,1,1787953972647179323,1787953972646681582,5549731987580,5549732022062,72,0,0
rx,7,7,1,1,1787953972662163786,1787953972661615082,5549746971858,0,0,0,0
tx,7,7,1,1,1787953972662168434,1787953972661615082,5549746976673,5549746995099,72,0,0
rx,8,8,1,1,1787953972677142860,1787953972676580137,5549761950932,0,0,0,0
tx,8,8,1,1,1787953972677147397,1787953972676580137,5549761955580,5549761975784,72,0,0
rx,9,9,1,1,1787953972692123934,1787953972691823489,5549776932006,0,0,0,0
tx,9,9,1,1,1787953972692127656,1787953972691823489,5549776935914,5549776952728,72,0,0
rx,10,10,1,1,1787953972707094711,1787953972706748563,5549791902784,0,0,0,0
tx,10,10,1,1,1787953972707098674,1787953972706748563,5549791906877,5549791922451,72,0,0
rx,11,11,1,1,1787953972723140119,1787953972722080174,5549807948191,0,0,0,0
tx,11,11,1,1,1787953972723144860,1787953972722080174,5549807953099,5549807973117,72,0,0
rx,12,12,1,1,1787953972737063341,1787953972736788934,5549821871414,0,0,0,0
tx,12,12,1,1,1787953972737067545,1787953972736788934,5549821875784,5549821892895,72,0,0
rx,13,13,1,1,1787953972752027249,1787953972751549915,5549836835321,0,0,0,0
tx,13,13,1,1,1787953972752031378,1787953972751549915,5549836839617,5549836854599,72,0,0
rx,14,14,1,1,1787953972768055526,1787953972766986582,5549852863599,0,0,0,0
tx,14,14,1,1,1787953972768059934,1787953972766986582,5549852868173,5549852885136,72,0,0
rx,15,15,1,1,1787953972781964323,1787953972781558804,5549866772395,0,0,0,0
tx,15,15,1,1,1787953972781968489,1787953972781558804,5549866776728,5549866795895,72,0,0
rx,16,16,1,1,1787953972796940248,1787953972796559656,5549881748302,0,0,0,0
tx,16,16,1,1,1787953972796943989,1787953972796559656,5549881752173,5549881767302,72,0,0
rx,17,17,1,1,1787953972811927730,1787953972811634748,5549896735802,0,0,0,0
tx,17,17,1,1,1787953972811931711,1787953972811634748,5549896739951,5549896754802,72,0,0
rx,18,18,1,1,1787953972827939823,1787953972827417785,5549912747895,0,0,0,0
tx,18,18,1,1,1787953972827944378,1787953972827417785,5549912752562,5549912772173,72,0,0
rx,19,19,1,1,1787953972841846341,1787953972841545378,5549926654413,0,0,0,0
tx,19,19,1,1,1787953972841850156,1787953972841545378,5549926658413,5549926673728,72,0,0
rx,20,20,1,1,1787953972856828508,1787953972856769878,5549941636451,0,0,0,0
tx,20,20,1,1,1787953972856833008,1787953972856769878,5549941641284,5549941666784,72,0,0
rx,21,21,1,1,1787953972872922711,1787953972871975545,5549957730784,0,0,0,0
tx,21,21,1,1,1787953972872927248,1787953972871975545,5549957735469,5549957757636,72,0,0
rx,22,22,1,1,1787953972887921397,1787953972886957656,5549972729469,0,0,0,0
tx,22,22,1,1,1787953972887925878,1787953972886957656,5549972734117,5549972754506,72,0,0
rx,23,23,1,1,1787953972902876285,1787953972901963971,5549987684358,0,0,0,0
tx,23,23,1,1,1787953972902880415,1787953972901963971,5549987688784,5549987704562,72,0,0
rx,24,24,1,1,1787953972917845508,1787953972916839248,5550002653562,0,0,0,0
tx,24,24,1,1,1787953972917849304,1787953972916839248,5550002657506,5550002672173,72,0,0
rx,25,25,1,1,1787953972932809748,1787953972931833397,5550017617821,0,0,0,0
tx,25,25,1,1,1787953972932814304,1787953972931833397,5550017622488,5550017641599,72,0,0
rx,26,26,1,1,1787953972947756397,1787953972947027211,5550032564469,0,0,0,0
tx,26,26,1,1,1787953972947762211,1787953972947027211,5550032570450,5550032584913,72,0,0
rx,27,27,1,1,1787953972962727415,1787953972962083693,5550047535487,0,0,0,0
tx,27,27,1,1,1787953972962732026,1787953972962083693,5550047540265,5550047557062,72,0,0
rx,28,28,1,1,1787953972979835341,1787953972979422989,5550064643413,0,0,0,0
tx,28,28,1,1,1787953972979841841,1787953972979422989,5550064650080,5550064668876,72,0,0
rx,29,29,1,1,1787953972992680434,1787953972991710137,5550077488506,0,0,0,0
tx,29,29,1,1,1787953972992684434,1787953972991710137,5550077492673,5550077508062,72,0,0
rx,30,30,1,1,1787953973007650137,1787953973006919100,5550092458210,0,0,0,0
tx,30,30,1,1,1787953973007653841,1787953973006919100,5550092462099,5550092476784,72,0,0
rx,31,31,1,1,1787953973022602674,1787953973021977211,5550107410747,0,0,0,0
tx,31,31,1,1,1787953973022607415,1787953973021977211,5550107415636,5550107435932,72,0,0
rx,32,32,1,1,1787953973037560730,1787953973037195637,5550122368802,0,0,0,0
tx,32,32,1,1,1787953973037564471,1787953973037195637,5550122372654,5550122388321,72,0,0
rx,33,33,1,1,1787953973052545008,1787953973051564193,5550137353080,0,0,0,0
tx,33,33,1,1,1787953973052550415,1787953973051564193,5550137358599,5550137373765,72,0,0
rx,34,34,1,1,1787953973067526896,1787953973067045730,5550152334969,0,0,0,0
tx,34,34,1,1,1787953973067530915,1787953973067045730,5550152339173,5550152355543,72,0,0
rx,35,35,1,1,1787953973082504600,1787953973081852415,5550167312673,0,0,0,0
tx,35,35,1,1,1787953973082508730,1787953973081852415,5550167316913,5550167336784,72,0,0
rx,36,36,1,1,1787953973097486267,1787953973096543471,5550182294339,0,0,0,0
tx,36,36,1,1,1787953973097490211,1787953973096543471,5550182298469,5550182313691,72,0,0
rx,37,37,1,1,1787953973112456267,1787953973111466619,5550197264339,0,0,0,0
tx,37,37,1,1,1787953973112460063,1787953973111466619,5550197268247,5550197284024,72,0,0
rx,38,38,1,1,1787953973127426563,1787953973126493267,5550212234636,0,0,0,0
tx,38,38,1,1,1787953973127431026,1787953973126493267,5550212239265,5550212259136,72,0,0
rx,39,39,1,1,1787953973142424322,1787953973142197637,5550227232395,0,0,0,0
tx,39,39,1,1,1787953973142428915,1787953973142197637,5550227237098,5550227252450,72,0,0
rx,40,40,1,1,1787953973157356452,1787953973156518082,5550242164524,0,0,0,0
tx,40,40,1,1,1787953973157361989,1787953973156518082,5550242170173,5550242185506,72,0,0
rx,41,41,1,1,1787953973172279878,1787953973171550785,5550257087950,0,0,0,0
tx,41,41,1,1,1787953973172284693,1787953973171550785,5550257092876,5550257110432,72,0,0
rx,42,42,1,1,1787953973187261100,1787953973187043026,5550272069173,0,0,0,0
tx,42,42,1,1,1787953973187265452,1787953973187043026,5550272073710,5550272093747,72,0,0
rx,43,43,1,1,1787953973202210285,1787953973201997156,5550287018358,0,0,0,0
tx,43,43,1,1,1787953973202214211,1787953973201997156,5550287022395,5550287037135,72,0,0
rx,44,44,1,1,1787953973217159637,1787953973216705693,5550301967710,0,0,0,0
tx,44,44,1,1,1787953973217163174,1787953973216705693,5550301971432,5550301986617,72,0,0
rx,45,45,1,1,1787953973232129804,1787953973231666045,5550316937876,0,0,0,0
tx,45,45,1,1,1787953973232134230,1787953973231666045,5550316942469,5550316961858,72,0,0
rx,46,46,1,1,1787953973248171878,1787953973247211100,5550332979950,0,0,0,0
tx,46,46,1,1,1787953973248175822,1787953973247211100,5550332984024,5550332999228,72,0,0
rx,47,47,1,1,1787953973262071563,1787953973261655396,5550346879635,0,0,0,0
tx,47,47,1,1,1787953973262078007,1787953973261655396,5550346886191,5550346902358,72,0,0
rx,48,48,1,1,1787953973277054970,1787953973276605341,5550361863043,0,0,0,0
tx,48,48,1,1,1787953973277059415,1787953973276605341,5550361867598,5550361886376,72,0,0
rx,49,49,1,1,1787953973292022859,1787953973291683396,5550376830932,0,0,0,0
tx,49,49,1,1,1787953973292026656,1787953973291683396,5550376834839,5550376850543,72,0,0
rx,50,50,1,1,1787953973308058230,1787953973307006415,5550392866302,0,0,0,0
tx,50,50,1,1,1787953973308061952,1787953973307006415,5550392870135,5550392885710,72,0,0
rx,51,51,1,1,1787953973321949470,1787953973321658082,5550406757543,0,0,0,0
tx,51,51,1,1,1787953973321953804,1787953973321658082,5550406762024,5550406781821,72,0,0
rx,52,52,1,1,1787953973337962970,1787953973337306470,5550422771043,0,0,0,0
tx,52,52,1,1,1787953973337966785,1787953973337306470,5550422774969,5550422790635,72,0,0
rx,53,53,1,1,1787953973352912007,1787953973351954433,5550437720080,0,0,0,0
tx,53,53,1,1,1787953973352915896,1787953973351954433,5550437724080,5550437739191,72,0,0
rx,54,54,1,1,1787953973367887267,1787953973367070044,5550452695339,0,0,0,0
tx,54,54,1,1,1787953973367891581,1787953973367070044,5550452699858,5550452721135,72,0,0
rx,55,55,1,1,1787953973382867304,1787953973381807804,5550467675358,0,0,0,0
tx,55,55,1,1,1787953973382873452,1787953973381807804,5550467681635,5550467698061,72,0,0
rx,56,56,1,1,1787953973397835970,1787953973397004767,5550482644043,0,0,0,0
tx,56,56,1,1,1787953973397839674,1787953973397004767,5550482647858,5550482663006,72,0,0
rx,57,57,1,1,1787953973411751674,1787953973411609081,5550496559746,0,0,0,0
tx,57,57,1,1,1787953973411755378,1787953973411609081,5550496563561,5550496577524,72,0,0
rx,58,58,1,1,1787953973427748044,1787953973426786637,5550512556117,0,0,0,0
tx,58,58,1,1,1787953973427752415,1787953973426786637,5550512560672,5550512581358,72,0,0
rx,59,59,1,1,1787953973442728285,1787953973441823693,5550527536358,0,0,0,0
tx,59,59,1,1,1787953973442732118,1787953973441823693,5550527540302,5550527555802,72,0,0
rx,60,60,1,1,1787953973457695970,1787953973457050378,5550542504043,0,0,0,0
tx,60,60,1,1,1787953973457699655,1787953973457050378,5550542507839,5550542522561,72,0,0
rx,61,61,1,1,1787953973472638970,1787953973471670396,5550557447043,0,0,0,0
tx,61,61,1,1,1787953973472643433,1787953973471670396,5550557451617,5550557472950,72,0,0
rx,62,62,1,1,1787953973487586693,1787953973487077100,5550572394765,0,0,0,0
tx,62,62,1,1,1787953973487592378,1787953973487077100,5550572400617,5550572416580,72,0,0
rx,63,63,1,1,1787953973502553137,1787953973501610581,5550587361191,0,0,0,0
tx,63,63,1,1,1787953973502557118,1787953973501610581,5550587365376,5550587381302,72,0,0
rx,64,64,1,1,1787953973517477859,1787953973516977044,5550602285932,0,0,0,0
tx,64,64,1,1,1787953973517481600,1787953973516977044,5550602289783,5550602304469,72,0,0
rx,65,65,1,1,1787953973532433248,1787953973532179044,5550617241320,0,0,0,0
tx,65,65,1,1,1787953973532437452,1787953973532179044,5550617245635,5550617265654,72,0,0
rx,66,66,1,1,1787953973547380137,1787953973546857544,5550632188191,0,0,0,0
tx,66,66,1,1,1787953973547383989,1787953973546857544,5550632192228,5550632206802,72,0,0
rx,67,67,1,1,1787953973562445118,1787953973562309767,5550647253191,0,0,0,0
tx,67,67,1,1,1787953973562448952,1787953973562309767,5550647257265,5550647274802,72,0,0
rx,68,68,1,1,1787953973577427489,1787953973576558174,5550662235561,0,0,0,0
tx,68,68,1,1,1787953973577432211,1787953973576558174,5550662240395,5550662260913,72,0,0
rx,69,69,1,1,1787953973592420137,1787953973591673878,5550677228209,0,0,0,0
tx,69,69,1,1,1787953973592425952,1787953973591673878,5550677234191,5550677250654,72,0,0
rx,70,70,1,1,1787953973607386822,1787953973607201359,5550692194895,0,0,0,0
tx,70,70,1,1,1787953973607390878,1787953973607201359,5550692199117,5550692214709,72,0,0
rx,71,71,1,1,1787953973622360174,1787953973622058044,5550707168246,0,0,0,0
