kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953972571364860,5549656262710,192.168.20.11,64031,192.168.20.108,12345,1,1,8,3
1787953972586280952,5549671163895,192.168.20.11,64031,192.168.20.108,12345,2,2,8,3
1787953972602123137,5549686995173,192.168.20.11,64031,192.168.20.108,12345,3,3,8,3
1787953972617063119,5549701925636,192.168.20.11,64031,192.168.20.108,12345,4,4,8,3
1787953972631450526,5549716329488,192.168.20.11,64031,192.168.20.108,12345,5,5,8,3
1787953972646681582,5549731535543,192.168.20.11,64031,192.168.20.108,12345,6,6,8,3
1787953972661615082,5549746478117,192.168.20.11,64031,192.168.20.108,12345,7,7,8,3
1787953972676580137,5549761458136,192.168.20.11,64031,192.168.20.108,12345,8,8,8,3
1787953972691823489,5549776689858,192.168.20.11,64031,192.168.20.108,12345,9,9,8,3
1787953972706748563,5549791603191,192.168.20.11,64031,192.168.20.108,12345,10,10,8,3
1787953972722080174,5549806929839,192.168.20.11,64031,192.168.20.108,12345,11,11,8,3
1787953972736788934,5549821663932,192.168.20.11,64031,192.168.20.108,12345,12,12,8,3
1787953972751549915,5549836405191,192.168.20.11,64031,192.168.20.108,12345,13,13,8,3
1787953972766986582,5549851849154,192.168.20.11,64031,192.168.20.108,12345,14,14,8,3
1787953972781558804,5549866429691,192.168.20.11,64031,192.168.20.108,12345,15,15,8,3
1787953972796559656,5549881410691,192.168.20.11,64031,192.168.20.108,12345,16,16,8,3
1787953972811634748,5549896486599,192.168.20.11,64031,192.168.20.108,12345,17,17,8,3
1787953972827417785,5549912292821,192.168.20.11,64031,192.168.20.108,12345,18,18,8,3
1787953972841545378,5549926410136,192.168.20.11,64031,192.168.20.108,12345,19,19,8,3
1787953972856769878,5549941784895,192.168.20.11,64031,192.168.20.108,12345,20,20,8,3
1787953972871975545,5549956863136,192.168.20.11,64031,192.168.20.108,12345,21,21,8,3
1787953972886957656,5549971837969,192.168.20.11,64031,192.168.20.108,12345,22,22,8,3
1787953972901963971,5549986817969,192.168.20.11,64031,192.168.20.108,12345,23,23,8,3
1787953972916839248,5550001691747,192.168.20.11,64031,192.168.20.108,12345,24,24,8,3
1787953972931833397,5550016707376,192.168.20.11,64031,192.168.20.108,12345,25,25,8,3
1787953972947027211,5550031881765,192.168.20.11,64031,192.168.20.108,12345,26,26,8,3
1787953972962083693,5550046946913,192.168.20.11,64031,192.168.20.108,12345,27,27,8,3
1787953972979422989,5550064302265,192.168.20.11,64031,192.168.20.108,12345,28,28,8,3
1787953972991710137,5550076564839,192.168.20.11,64031,192.168.20.108,12345,29,29,8,3
1787953973006919100,5550091774302,192.168.20.11,64031,192.168.20.108,12345,30,30,8,3
1787953973021977211,5550106851117,192.168.20.11,64031,192.168.20.108,12345,31,31,8,3
1787953973037195637,5550122058636,192.168.20.11,64031,192.168.20.108,12345,32,32,8,3
1787953973051564193,5550136420339,192.168.20.11,64031,192.168.20.108,12345,33,33,8,3
1787953973067045730,5550151914247,192.168.20.11,64031,192.168.20.108,12345,34,34,8,3
1787953973081852415,5550166724154,192.168.20.11,64031,192.168.20.108,12345,35,35,8,3
1787953973096543471,5550181419580,192.168.20.11,64031,192.168.20.108,12345,36,36,8,3
1787953973111466619,5550196326728,192.168.20.11,64031,192.168.20.108,12345,37,37,8,3
1787953973126493267,5550211371006,192.168.20.11,64031,192.168.20.108,12345,38,38,8,3
1787953973142197637,5550227058432,192.168.20.11,64031,192.168.20.108,12345,39,39,8,3
1787953973156518082,5550241372765,192.168.20.11,64031,192.168.20.108,12345,40,40,8,3
1787953973171550785,5550256422450,192.168.20.11,64031,192.168.20.108,12345,41,41,8,3
1787953973187043026,5550271915858,192.168.20.11,64031,192.168.20.108,12345,42,42,8,3
1787953973201997156,5550286855450,192.168.20.11,64031,192.168.20.108,12345,43,43,8,3
1787953973216705693,5550301558228,192.168.20.11,64031,192.168.20.108,12345,44,44,8,3
1787953973231666045,5550316539117,192.168.20.11,64031,192.168.20.108,12345,45,45,8,3
1787953973247211100,5550332065098,192.168.20.11,64031,192.168.20.108,12345,46,46,8,3
1787953973261655396,5550346515858,192.168.20.11,64031,192.168.20.108,12345,47,47,8,3
1787953973276605341,5550361486191,192.168.20.11,64031,192.168.20.108,12345,48,48,8,3
1787953973291683396,5550376544543,192.168.20.11,64031,192.168.20.108,12345,49,49,8,3
1787953973307006415,5550391857839,192.168.20.11,64031,192.168.20.108,12345,50,50,8,3
1787953973321658082,5550406533524,192.168.20.11,64031,192.168.20.108,12345,51,51,8,3
1787953973337306470,5550422162450,192.168.20.11,64031,192.168.20.108,12345,52,52,8,3
1787953973351954433,5550436804802,192.168.20.11,64031,192.168.20.108,12345,53,53,8,3
1787953973367070044,5550451950524,192.168.20.11,64031,192.168.20.108,12345,54,54,8,3
1787953973381807804,5550466666024,192.168.20.11,64031,192.168.20.108,12345,55,55,8,3
1787953973397004767,5550481863728,192.168.20.11,64031,192.168.20.108,12345,56,56,8,3
1787953973411609081,5550496460728,192.168.20.11,64031,192.168.20.108,12345,57,57,8,3
1787953973426786637,5550511660228,192.168.20.11,64031,192.168.20.108,12345,58,58,8,3
1787953973441823693,5550526681469,192.168.20.11,64031,192.168.20.108,12345,59,59,8,3
1787953973457050378,5550541902080,192.168.20.11,64031,192.168.20.108,12345,60,60,8,3
1787953973471670396,5550556549802,192.168.20.11,64031,192.168.20.108,12345,61,61,8,3
1787953973487077100,5550571936061,192.168.20.11,64031,192.168.20.108,12345,62,62,8,3
1787953973501610581,5550586463709,192.168.20.11,64031,192.168.20.108,12345,63,63,8,3
1787953973516977044,5550601830950,192.168.20.11,64031,192.168.20.108,12345,64,64,8,3
1787953973532179044,5550617061487,192.168.20.11,64031,192.168.20.108,12345,65,65,8,3
1787953973546857544,5550631714061,192.168.20.11,64031,192.168.20.108,12345,66,66,8,3
1787953973562309767,5550647177969,192.168.20.11,64031,192.168.20.108,12345,67,67,8,3
1787953973576558174,5550661460524,192.168.20.11,64031,192.168.20.108,12345,68,68,8,3
1787953973591673878,5550676533969,192.168.20.11,64031,192.168.20.108,12345,69,69,8,3
1787953973607201359,5550692064413,192.168.20.11,64031,192.168.20.108,12345,70,70,8,3
1787953973622058044,5550706934191,192.168.20.11,64031,192.168.20.108,12345,71,71,8,3
1787953973636955248,5550721812209,192.168.20.11,64031,192.168.20.108,12345,72,72,8,3
1787953973652062692,5550736916209,192.168.20.11,64031,192.168.20.108,12345,73,73,8,3
1787953973666861896,5550751744228,192.168.20.11,64031,192.168.20.108,12345,74,74,8,3
1787953973681501026,5550766361820,192.168.20.11,64031,192.168.20.108,12345,75,75,8,3
1787953973697005729,5550781865561,192.168.20.11,64031,192.168.20.108,12345,76,76,8,3
