pc_mono_ns,bytes
77038860376700,1368
77038968815100,1596
77039079208200,1596
77039188918000,1559
77039304148600,1633
77039408457700,1368
77039518729700,1596
77039630295600,1596
77039739980900,1596
77039848600600,1596
77039958117300,1596
77040068132600,1596
77040170343300,1368
77040276664600,1596
77040379263200,1368
77040483705700,1368
77040595527800,1596
77040698874400,1596
77040805303900,1901
77040913850300,1596
77041014086900,1368
77041127785000,1596
77041236217400,1596
77041351968300,1596
77041457412700,1368
77041569223100,1596
77041680143700,1824
77041781963900,1368
77041884613900,1368
77041991923100,1591
77042100236800,1561
77042209276100,1561
77042319056400,1338
77042420617100,1561
77042533943300,1561
77042644412300,1561
77042751904800,1561
77042861541800,1561
77042968494800,1338
77043082101100,1561
77043192052600,1561
77043291928300,1338
77043397048700,1561
77043506333100,1561
77043607809700,1338
77043720563200,1571
77043828822300,1551
77043931319600,1561
77044036211700,1338
77044136105900,1338
77044244821900,1561
77044354671900,1561
77044455695800,1338
77044571835600,1552
77044685167100,1784
77044793376300,1561
77044897572500,1338
77045008109300,1561
77045121575100,1561
77045231556800,1561
77045341153200,1561
77045450326000,1338
77045554125600,1561
77045666085200,1561
77045767242500,1561
77045869556000,1338
77045978030800,1561
77046087001400,1338
77046196260600,1561
77046307585600,1561
77046413889200,1561
77046515886500,1338
77046616754200,1338
77046716759200,1561
77046826692600,1561
77046943641700,1561
77047050280700,1561
77047150315800,1338
77047255892400,1561
77047365178700,1338
77047479427400,1561
77047588125700,1561
77047698361100,1716
77047809359300,1406
77047913999100,1561
77048024950900,1561
77048136012200,1561
77048246171700,1561
77048356453300,1338
77048463451100,1561
77048572979800,1561
77048680864500,1561
77048791932200,1561
77048903512600,1561
77049010703500,1527
77049120076900,1372
77049229088200,1561
77049338992200,1561
77049443650800,1338
77049552951300,1561
77049661367900,1561
77049769256900,1561
77049880158300,1561
77049990135900,1561
77050102366600,1561
77050212394300,1561
77050323325700,1560
77050424052300,1339
77050534689400,1561
77050642860800,1338
77050753182000,1784
77050862063400,1459
77050970705100,1440
77051076690900,1561
77051186134000,1561
77051287617200,1363
77051397027200,1596
77051499761000,1368
77051611181500,1596
77051721203100,1596
77051829406600,1596
77051941297800,1596
77052042337100,1368
77052145265400,1596
77052247529800,1368
77052357892200,1596
77052470473900,1596
77052580617500,1596
77052691656900,1596
77052806110300,1596
77052908709100,1596
77053009708900,1368
77053110154300,1357
77053223435100,1596
77053327744400,1596
77053428205500,1368
77053531166500,1368
77053645401200,1596
77053754910400,1824
77053862072200,1368
77053971899000,1596
77054072842300,1368
77054181275900,1596
77054289825200,1596
77054398969000,1596
77054505270400,1368
77054616183400,1596
77054725193500,1596
77054835302200,1596
77054944518900,1596
77055045130200,1368
77055156994200,1596
77055262911000,1596
77055372967600,1596
77055480889900,1368
77055585497900,1596
77055695265500,1596
77055804962300,1596
77055914482500,1596
77056023857700,1596
77056125256900,1368
77056232585800,1596
77056343937100,1368
77056456744900,1621
77056565484900,1571
