event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787953771022106276,1787953771021458184,5348106914237,0,0,0,0
tx,1,1,1,1,1787953771022110776,1787953771021458184,5348106918960,5348106947737,72,0,0
rx,2,2,1,1,1787953771037141998,1787953771036633998,5348121950052,0,0,0,0
tx,2,2,1,1,1787953771037145572,1787953771036633998,5348121953812,5348121970052,72,0,0
rx,3,3,1,1,1787953771053159424,1787953771052142924,5348137967386,0,0,0,0
tx,3,3,1,1,1787953771053163758,1787953771052142924,5348137972108,5348137989089,72,0,0
rx,4,4,1,1,1787953771068112035,1787953771067050295,5348152920108,0,0,0,0
tx,4,4,1,1,1787953771068117258,1787953771067050295,5348152925497,5348152939923,72,0,0
rx,5,5,1,1,1787953771083064776,1787953771082531091,5348167872849,0,0,0,0
tx,5,5,1,1,1787953771083068461,1787953771082531091,5348167876645,5348167890941,72,0,0
rx,6,6,1,1,1787953771098015239,1787953771097162091,5348182823312,0,0,0,0
tx,6,6,1,1,1787953771098019295,1787953771097162091,5348182827515,5348182845960,72,0,0
rx,7,7,1,1,1787953771112970498,1787953771112334332,5348197778460,0,0,0,0
tx,7,7,1,1,1787953771112973980,1787953771112334332,5348197782163,5348197794997,72,0,0
rx,8,8,1,1,1787953771127909424,1787953771126912017,5348212717478,0,0,0,0
tx,8,8,1,1,1787953771127912850,1787953771126912017,5348212721034,5348212733700,72,0,0
rx,9,9,1,1,1787953771142853498,1787953771142332702,5348227661571,0,0,0,0
tx,9,9,1,1,1787953771142856961,1787953771142332702,5348227665145,5348227678700,72,0,0
rx,10,10,1,1,1787953771157799887,1787953771157103035,5348242607960,0,0,0,0
tx,10,10,1,1,1787953771157804369,1787953771157103035,5348242612552,5348242630163,72,0,0
rx,11,11,1,1,1787953771172756369,1787953771172180109,5348257564441,0,0,0,0
tx,11,11,1,1,1787953771172761850,1787953771172180109,5348257570052,5348257582774,72,0,0
rx,12,12,1,1,1787953771188766054,1787953771187774850,5348273574126,0,0,0,0
tx,12,12,1,1,1787953771188771072,1787953771187774850,5348273579274,5348273592923,72,0,0
rx,13,13,1,1,1787953771202665998,1787953771201930350,5348287473978,0,0,0,0
tx,13,13,1,1,1787953771202669961,1787953771201930350,5348287478182,5348287495793,72,0,0
