kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953266509535132,4843594407334,192.168.20.11,56488,192.168.20.255,12445,1,1,8,3
1787953266510636688,4843595478853,192.168.20.11,56488,192.168.20.255,12445,2,2,8,3
1787953266511749447,4843596589353,192.168.20.11,56488,192.168.20.255,12445,3,3,8,3
1787953266512870244,4843597708964,192.168.20.11,56488,192.168.20.255,12445,4,4,8,3
1787953266611948225,4843696828668,192.168.20.11,56488,192.168.20.255,12445,5,5,8,3
1787953266613237392,4843698080575,192.168.20.11,56488,192.168.20.255,12445,6,6,8,3
1787953266614349614,4843699187131,192.168.20.11,56488,192.168.20.255,12445,7,7,8,3
1787953266615465706,4843700302909,192.168.20.11,56488,192.168.20.255,12445,8,8,8,3
1787953266616582206,4843701418427,192.168.20.11,56488,192.168.20.255,12445,9,9,8,3
1787953266617701762,4843702538557,192.168.20.11,56488,192.168.20.255,12445,10,10,8,3
1787953266618819318,4843703655057,192.168.20.11,56488,192.168.20.255,12445,11,11,8,3
1787953266714334910,4843799211279,192.168.20.11,56488,192.168.20.255,12445,12,12,8,3
1787953266715438355,4843800278205,192.168.20.11,56488,192.168.20.255,12445,13,13,8,3
1787953266716565873,4843801402871,192.168.20.11,56488,192.168.20.255,12445,14,14,8,3
1787953266717680429,4843802521575,192.168.20.11,56488,192.168.20.255,12445,15,15,8,3
1787953266718797984,4843803635575,192.168.20.11,56488,192.168.20.255,12445,16,16,8,3
1787953266719912873,4843804750760,192.168.20.11,56488,192.168.20.255,12445,17,17,8,3
1787953266721026410,4843805862890,192.168.20.11,56488,192.168.20.255,12445,18,18,8,3
1787953266816748021,4843901641186,192.168.20.11,56488,192.168.20.255,12445,19,19,8,3
1787953266817847206,4843902686464,192.168.20.11,56488,192.168.20.255,12445,20,20,8,3
1787953266818967614,4843903804834,192.168.20.11,56488,192.168.20.255,12445,21,21,8,3
1787953266820092484,4843904931927,192.168.20.11,56488,192.168.20.255,12445,22,22,8,3
1787953266821213151,4843906051353,192.168.20.11,56488,192.168.20.255,12445,23,23,8,3
1787953266822333929,4843907172557,192.168.20.11,56488,192.168.20.255,12445,24,24,8,3
1787953266823456577,4843908294149,192.168.20.11,56488,192.168.20.255,12445,25,25,8,3
1787953266919307503,4844004196353,192.168.20.11,56488,192.168.20.255,12445,26,26,8,3
1787953266922059966,4844006901519,192.168.20.11,56488,192.168.20.255,12445,28,28,8,3
1787953266923293058,4844008133131,192.168.20.11,56488,192.168.20.255,12445,29,29,8,3
1787953266924504595,4844009341168,192.168.20.11,56488,192.168.20.255,12445,30,30,8,3
1787953266925745169,4844010582279,192.168.20.11,56488,192.168.20.255,12445,31,31,8,3
1787953266926960447,4844011799297,192.168.20.11,56488,192.168.20.255,12445,32,32,8,3
1787953267021655299,4844106535797,192.168.20.11,56488,192.168.20.255,12445,33,33,8,3
1787953267022882632,4844107722519,192.168.20.11,56488,192.168.20.255,12445,34,34,8,3
1787953267024103188,4844108956742,192.168.20.11,56488,192.168.20.255,12445,35,35,8,3
1787953267025321132,4844110159501,192.168.20.11,56488,192.168.20.255,12445,36,36,8,3
1787953267026543762,4844111380556,192.168.20.11,56488,192.168.20.255,12445,37,37,8,3
1787953267028072502,4844112910316,192.168.20.11,56488,192.168.20.255,12445,38,38,8,3
1787953267029296225,4844114132927,192.168.20.11,56488,192.168.20.255,12445,39,39,8,3
1787953267123962780,4844208868316,192.168.20.11,56488,192.168.20.255,12445,40,40,8,3
1787953267125081114,4844209943353,192.168.20.11,56488,192.168.20.255,12445,41,41,8,3
1787953267126223891,4844211081742,192.168.20.11,56488,192.168.20.255,12445,42,42,8,3
1787953267127348021,4844212207482,192.168.20.11,56488,192.168.20.255,12445,43,43,8,3
1787953267128467836,4844213346371,192.168.20.11,56488,192.168.20.255,12445,44,44,8,3
1787953267129586743,4844214448260,192.168.20.11,56488,192.168.20.255,12445,45,45,8,3
1787953267226342391,4844311229316,192.168.20.11,56488,192.168.20.255,12445,46,46,8,3
1787953267227496391,4844312354704,192.168.20.11,56488,192.168.20.255,12445,47,47,8,3
1787953267228620595,4844313494390,192.168.20.11,56488,192.168.20.255,12445,48,48,8,3
1787953267229736688,4844314597075,192.168.20.11,56488,192.168.20.255,12445,49,49,8,3
1787953267230853002,4844315710204,192.168.20.11,56488,192.168.20.255,12445,50,50,8,3
1787953267231983169,4844316842686,192.168.20.11,56488,192.168.20.255,12445,51,51,8,3
1787953267233094743,4844317970834,192.168.20.11,56488,192.168.20.255,12445,52,52,8,3
1787953267328794410,4844413686538,192.168.20.11,56488,192.168.20.255,12445,53,53,8,3
1787953267329895373,4844414772630,192.168.20.11,56488,192.168.20.255,12445,54,54,8,3
1787953267331010817,4844415868853,192.168.20.11,56488,192.168.20.255,12445,55,55,8,3
1787953267332124002,4844416981797,192.168.20.11,56488,192.168.20.255,12445,56,56,8,3
1787953267333246410,4844418102093,192.168.20.11,56488,192.168.20.255,12445,57,57,8,3
1787953267334365169,4844419220241,192.168.20.11,56488,192.168.20.255,12445,58,58,8,3
1787953267335484632,4844420340667,192.168.20.11,56488,192.168.20.255,12445,59,59,8,3
1787953267431216373,4844516108001,192.168.20.11,56488,192.168.20.255,12445,60,60,8,3
1787953267432380891,4844517239093,192.168.20.11,56488,192.168.20.255,12445,61,61,8,3
1787953267433593428,4844518465186,192.168.20.11,56488,192.168.20.255,12445,62,62,8,3
1787953267434933391,4844519790538,192.168.20.11,56488,192.168.20.255,12445,63,63,8,3
1787953267436108187,4844520963964,192.168.20.11,56488,192.168.20.255,12445,64,64,8,3
1787953267437278873,4844522133612,192.168.20.11,56488,192.168.20.255,12445,65,65,8,3
1787953267533622761,4844618518760,192.168.20.11,56488,192.168.20.255,12445,67,67,8,3
1787953267534732373,4844619590482,192.168.20.11,56488,192.168.20.255,12445,68,68,8,3
1787953267535850243,4844620708501,192.168.20.11,56488,192.168.20.255,12445,69,69,8,3
1787953267536970280,4844621825612,192.168.20.11,56488,192.168.20.255,12445,70,70,8,3
1787953267538091539,4844622947686,192.168.20.11,56488,192.168.20.255,12445,71,71,8,3
1787953267539207465,4844624067686,192.168.20.11,56488,192.168.20.255,12445,72,72,8,3
1787953267540329484,4844625185056,192.168.20.11,56488,192.168.20.255,12445,73,73,8,3
1787953267636030687,4844720942112,192.168.20.11,56488,192.168.20.255,12445,74,74,8,3
1787953267637223224,4844722085112,192.168.20.11,56488,192.168.20.255,12445,75,75,8,3
1787953267638612076,4844723468963,192.168.20.11,56488,192.168.20.255,12445,76,76,8,3
1787953267639810650,4844724668149,192.168.20.11,56488,192.168.20.255,12445,77,77,8,3
1787953267641309817,4844726165445,192.168.20.11,56488,192.168.20.255,12445,78,78,8,3
1787953267642522687,4844727388167,192.168.20.11,56488,192.168.20.255,12445,79,79,8,3
1787953267643711687,4844728576797,192.168.20.11,56488,192.168.20.255,12445,80,80,8,3
1787953267738609150,4844823512500,192.168.20.11,56488,192.168.20.255,12445,81,81,8,3
1787953267739906039,4844824774612,192.168.20.11,56488,192.168.20.255,12445,82,82,8,3
1787953267741114743,4844825975389,192.168.20.11,56488,192.168.20.255,12445,83,83,8,3
1787953267742309335,4844827166630,192.168.20.11,56488,192.168.20.255,12445,84,84,8,3
1787953267743798521,4844828662149,192.168.20.11,56488,192.168.20.255,12445,85,85,8,3
1787953267744990835,4844829846704,192.168.20.11,56488,192.168.20.255,12445,86,86,8,3
1787953267840750483,4844925648297,192.168.20.11,56488,192.168.20.255,12445,87,87,8,3
1787953267841862298,4844926722519,192.168.20.11,56488,192.168.20.255,12445,88,88,8,3
1787953267842980613,4844927837204,192.168.20.11,56488,192.168.20.255,12445,89,89,8,3
1787953267844118983,4844928996519,192.168.20.11,56488,192.168.20.255,12445,90,90,8,3
1787953267845225780,4844930090371,192.168.20.11,56488,192.168.20.255,12445,91,91,8,3
1787953267846341076,4844931199537,192.168.20.11,56488,192.168.20.255,12445,92,92,8,3
1787953267847457576,4844932314204,192.168.20.11,56488,192.168.20.255,12445,93,93,8,3
1787953267943203039,4845028122482,192.168.20.11,56488,192.168.20.255,12445,94,94,8,3
1787953267944318280,4845029187611,192.168.20.11,56488,192.168.20.255,12445,95,95,8,3
1787953267945413909,4845030271297,192.168.20.11,56488,192.168.20.255,12445,96,96,8,3
1787953267946536539,4845031393426,192.168.20.11,56488,192.168.20.255,12445,97,97,8,3
1787953267947652780,4845032508908,192.168.20.11,56488,192.168.20.255,12445,98,98,8,3
1787953267949310632,4845034177908,192.168.20.11,56488,192.168.20.255,12445,99,99,8,3
1787953267950437372,4845035297204,192.168.20.11,56488,192.168.20.255,12445,100,100,8,3
1787953268045645039,4845130588648,192.168.20.11,56488,192.168.20.255,12445,101,101,8,3
1787953268046726261,4845131589871,192.168.20.11,56488,192.168.20.255,12445,102,102,8,3
1787953268047835243,4845132693000,192.168.20.11,56488,192.168.20.255,12445,103,103,8,3
1787953268048955076,4845133810111,192.168.20.11,56488,192.168.20.255,12445,104,104,8,3
1787953268050075613,4845134930000,192.168.20.11,56488,192.168.20.255,12445,105,105,8,3
1787953268051206632,4845136064278,192.168.20.11,56488,192.168.20.255,12445,106,106,8,3
1787953268052315076,4845137169685,192.168.20.11,56488,192.168.20.255,12445,107,107,8,3
1787953268147965928,4845232871889,192.168.20.11,56488,192.168.20.255,12445,108,108,8,3
1787953268149086428,4845233953315,192.168.20.11,56488,192.168.20.255,12445,109,109,8,3
1787953268151333909,4845236201148,192.168.20.11,56488,192.168.20.255,12445,111,111,8,3
1787953268152451391,4845237310926,192.168.20.11,56488,192.168.20.255,12445,112,112,8,3
1787953268153567168,4845238423389,192.168.20.11,56488,192.168.20.255,12445,113,113,8,3
1787953268154688206,4845239544130,192.168.20.11,56488,192.168.20.255,12445,114,114,8,3
1787953268250365502,4845335285778,192.168.20.11,56488,192.168.20.255,12445,115,115,8,3
1787953268251471724,4845336335000,192.168.20.11,56488,192.168.20.255,12445,116,116,8,3
1787953268252589187,4845337447704,192.168.20.11,56488,192.168.20.255,12445,117,117,8,3
1787953268253711057,4845338578908,192.168.20.11,56488,192.168.20.255,12445,118,118,8,3
1787953268254862280,4845339743963,192.168.20.11,56488,192.168.20.255,12445,119,119,8,3
1787953268255948687,4845340809852,192.168.20.11,56488,192.168.20.255,12445,120,120,8,3
1787953268257066039,4845341922130,192.168.20.11,56488,192.168.20.255,12445,121,121,8,3
1787953268352815261,4845437730407,192.168.20.11,56488,192.168.20.255,12445,122,122,8,3
1787953268353925409,4845438789093,192.168.20.11,56488,192.168.20.255,12445,123,123,8,3
1787953268355041446,4845439901537,192.168.20.11,56488,192.168.20.255,12445,124,124,8,3
1787953268356160835,4845441021630,192.168.20.11,56488,192.168.20.255,12445,125,125,8,3
1787953268357279261,4845442138333,192.168.20.11,56488,192.168.20.255,12445,126,126,8,3
1787953268358403261,4845443276093,192.168.20.11,56488,192.168.20.255,12445,127,127,8,3
1787953268455247687,4845540132778,192.168.20.11,56488,192.168.20.255,12445,128,128,8,3
1787953268456387613,4845541258093,192.168.20.11,56488,192.168.20.255,12445,129,129,8,3
1787953268457552502,4845542418056,192.168.20.11,56488,192.168.20.255,12445,130,130,8,3
1787953268458979891,4845543840741,192.168.20.11,56488,192.168.20.255,12445,131,131,8,3
1787953268460138872,4845545001426,192.168.20.11,56488,192.168.20.255,12445,132,132,8,3
1787953268461305372,4845546176148,192.168.20.11,56488,192.168.20.255,12445,133,133,8,3
1787953268462468631,4845547328037,192.168.20.11,56488,192.168.20.255,12445,134,134,8,3
1787953268557709076,4845642622815,192.168.20.11,56488,192.168.20.255,12445,135,135,8,3
1787953268558968687,4845643823537,192.168.20.11,56488,192.168.20.255,12445,136,136,8,3
1787953268560240409,4845645109500,192.168.20.11,56488,192.168.20.255,12445,137,137,8,3
1787953268561525742,4845646393426,192.168.20.11,56488,192.168.20.255,12445,138,138,8,3
1787953268564041835,4845648905185,192.168.20.11,56488,192.168.20.255,12445,140,140,8,3
1787953268565651520,4845650511889,192.168.20.11,56488,192.168.20.255,12445,141,141,8,3
1787953268660013150,4845744901889,192.168.20.11,56488,192.168.20.255,12445,142,142,8,3
1787953268762377038,4845847288981,192.168.20.11,56488,192.168.20.255,12445,143,143,8,3
1787953268763491427,4845848358185,192.168.20.11,56488,192.168.20.255,12445,144,144,8,3
1787953268764605446,4845849466389,192.168.20.11,56488,192.168.20.255,12445,145,145,8,3
1787953268765721983,4845850582629,192.168.20.11,56488,192.168.20.255,12445,146,146,8,3
1787953268766841446,4845851703370,192.168.20.11,56488,192.168.20.255,12445,147,147,8,3
1787953268767960927,4845852821222,192.168.20.11,56488,192.168.20.255,12445,148,148,8,3
1787953268769083816,4845853950759,192.168.20.11,56488,192.168.20.255,12445,149,149,8,3
1787953268770206168,4845855116315,192.168.20.11,56488,192.168.20.255,12445,150,150,8,3
1787953268771360779,4845856248500,192.168.20.11,56488,192.168.20.255,12445,151,151,8,3
1787953268772440964,4845857303296,192.168.20.11,56488,192.168.20.255,12445,152,152,8,3
1787953268773555650,4845858415704,192.168.20.11,56488,192.168.20.255,12445,153,153,8,3
1787953268774676650,4845859536463,192.168.20.11,56488,192.168.20.255,12445,154,154,8,3
1787953268775797076,4845860657555,192.168.20.11,56488,192.168.20.255,12445,155,155,8,3
1787953268864792446,4845949715500,192.168.20.11,56488,192.168.20.255,12445,156,156,8,3
1787953268865908279,4845950782481,192.168.20.11,56488,192.168.20.255,12445,157,157,8,3
1787953268867018612,4845951885889,192.168.20.11,56488,192.168.20.255,12445,158,158,8,3
1787953268868134520,4845953001296,192.168.20.11,56488,192.168.20.255,12445,159,159,8,3
1787953268869258261,4845954119648,192.168.20.11,56488,192.168.20.255,12445,160,160,8,3
1787953268870375909,4845955234926,192.168.20.11,56488,192.168.20.255,12445,161,161,8,3
1787953268871496668,4845956356592,192.168.20.11,56488,192.168.20.255,12445,162,162,8,3
1787953268967181983,4846052087759,192.168.20.11,56488,192.168.20.255,12445,163,163,8,3
1787953268968318335,4846053183018,192.168.20.11,56488,192.168.20.255,12445,164,164,8,3
1787953268969434520,4846054295963,192.168.20.11,56488,192.168.20.255,12445,165,165,8,3
1787953268970556538,4846055447203,192.168.20.11,56488,192.168.20.255,12445,166,166,8,3
1787953268971683057,4846056575407,192.168.20.11,56488,192.168.20.255,12445,167,167,8,3
1787953268972803724,4846057679870,192.168.20.11,56488,192.168.20.255,12445,168,168,8,3
1787953269069727835,4846154645259,192.168.20.11,56488,192.168.20.255,12445,169,169,8,3
1787953269070993186,4846155860444,192.168.20.11,56488,192.168.20.255,12445,170,170,8,3
1787953269072211112,4846157075944,192.168.20.11,56488,192.168.20.255,12445,171,171,8,3
1787953269073464057,4846158323944,192.168.20.11,56488,192.168.20.255,12445,172,172,8,3
1787953269074679723,4846159538574,192.168.20.11,56488,192.168.20.255,12445,173,173,8,3
1787953269076202761,4846161073389,192.168.20.11,56488,192.168.20.255,12445,174,174,8,3
1787953269077750186,4846162614444,192.168.20.11,56488,192.168.20.255,12445,175,175,8,3
1787953269172086946,4846256992592,192.168.20.11,56488,192.168.20.255,12445,176,176,8,3
1787953269173232686,4846258124537,192.168.20.11,56488,192.168.20.255,12445,177,177,8,3
1787953269174378927,4846259251259,192.168.20.11,56488,192.168.20.255,12445,178,178,8,3
1787953269175508964,4846260372463,192.168.20.11,56488,192.168.20.255,12445,179,179,8,3
1787953269176653705,4846261512926,192.168.20.11,56488,192.168.20.255,12445,180,180,8,3
1787953269177801649,4846262661222,192.168.20.11,56488,192.168.20.255,12445,181,181,8,3
1787953269178946594,4846263805648,192.168.20.11,56488,192.168.20.255,12445,182,182,8,3
1787953269274392760,4846359303203,192.168.20.11,56488,192.168.20.255,12445,183,183,8,3
1787953269275490964,4846360357351,192.168.20.11,56488,192.168.20.255,12445,184,184,8,3
1787953269276609983,4846361478444,192.168.20.11,56488,192.168.20.255,12445,185,185,8,3
1787953269277726946,4846362594407,192.168.20.11,56488,192.168.20.255,12445,186,186,8,3
1787953269278849353,4846363710277,192.168.20.11,56488,192.168.20.255,12445,187,187,8,3
1787953269279959909,4846364819648,192.168.20.11,56488,192.168.20.255,12445,188,188,8,3
1787953269281080909,4846365940740,192.168.20.11,56488,192.168.20.255,12445,189,189,8,3
1787953269376780797,4846461686148,192.168.20.11,56488,192.168.20.255,12445,190,190,8,3
1787953269377891538,4846462755759,192.168.20.11,56488,192.168.20.255,12445,191,191,8,3
1787953269379009260,4846463870111,192.168.20.11,56488,192.168.20.255,12445,192,192,8,3
1787953269380129297,4846464990685,192.168.20.11,56488,192.168.20.255,12445,193,193,8,3
1787953269381248408,4846466113814,192.168.20.11,56488,192.168.20.255,12445,194,194,8,3
1787953269382368371,4846467235036,192.168.20.11,56488,192.168.20.255,12445,195,195,8,3
1787953269383491538,4846468355851,192.168.20.11,56488,192.168.20.255,12445,196,196,8,3
1787953269479215371,4846564117185,192.168.20.11,56488,192.168.20.255,12445,197,197,8,3
1787953269480333464,4846565213222,192.168.20.11,56488,192.168.20.255,12445,198,198,8,3
1787953269481458149,4846566319055,192.168.20.11,56488,192.168.20.255,12445,199,199,8,3
1787953269482585594,4846567444962,192.168.20.11,56488,192.168.20.255,12445,200,200,8,3
1787953269483716112,4846568576981,192.168.20.11,56488,192.168.20.255,12445,201,0,8,3
1787953269484843890,4846569702722,192.168.20.11,56488,192.168.20.255,12445,202,1,8,3
1787953269581582853,4846666494722,192.168.20.11,56488,192.168.20.255,12445,203,2,8,3
1787953269582715057,4846667587907,192.168.20.11,56488,192.168.20.255,12445,204,3,8,3
1787953269583834742,4846668704314,192.168.20.11,56488,192.168.20.255,12445,205,4,8,3
1787953269585156538,4846670025073,192.168.20.11,56488,192.168.20.255,12445,206,5,8,3
1787953269586272390,4846671135981,192.168.20.11,56488,192.168.20.255,12445,207,6,8,3
1787953269587390760,4846672251407,192.168.20.11,56488,192.168.20.255,12445,208,7,8,3
1787953269588506964,4846673367925,192.168.20.11,56488,192.168.20.255,12445,209,8,8,3
1787953269683983205,4846768894314,192.168.20.11,56488,192.168.20.255,12445,210,9,8,3
1787953269685118334,4846769983184,192.168.20.11,56488,192.168.20.255,12445,211,10,8,3
1787953269686233816,4846771094240,192.168.20.11,56488,192.168.20.255,12445,212,11,8,3
1787953269687375612,4846772247721,192.168.20.11,56488,192.168.20.255,12445,213,12,8,3
1787953269688475186,4846773367499,192.168.20.11,56488,192.168.20.255,12445,214,13,8,3
1787953269689596464,4846774435110,192.168.20.11,56488,192.168.20.255,12445,215,14,8,3
1787953269690710316,4846775589166,192.168.20.11,56488,192.168.20.255,12445,216,15,8,3
1787953269786388205,4846871298981,192.168.20.11,56488,192.168.20.255,12445,217,16,8,3
1787953269787494945,4846872360333,192.168.20.11,56488,192.168.20.255,12445,218,17,8,3
1787953269788614705,4846873480147,192.168.20.11,56488,192.168.20.255,12445,219,18,8,3
1787953269789732390,4846874593055,192.168.20.11,56488,192.168.20.255,12445,220,19,8,3
1787953269790851297,4846875730907,192.168.20.11,56488,192.168.20.255,12445,221,20,8,3
1787953269791993205,4846876866758,192.168.20.11,56488,192.168.20.255,12445,222,21,8,3
1787953269793095760,4846877967536,192.168.20.11,56488,192.168.20.255,12445,223,22,8,3
1787953269888812464,4846973783592,192.168.20.11,56488,192.168.20.255,12445,224,23,8,3
1787953269889918260,4846974787166,192.168.20.11,56488,192.168.20.255,12445,225,24,8,3
1787953269891033871,4846975898832,192.168.20.11,56488,192.168.20.255,12445,226,25,8,3
1787953269892150093,4846977013573,192.168.20.11,56488,192.168.20.255,12445,227,26,8,3
1787953269893270612,4846978151073,192.168.20.11,56488,192.168.20.255,12445,228,27,8,3
1787953269894403575,4846979272999,192.168.20.11,56488,192.168.20.255,12445,229,28,8,3
1787953269895509464,4846980396481,192.168.20.11,56488,192.168.20.255,12445,230,29,8,3
1787953269991211612,4847076179758,192.168.20.11,56488,192.168.20.255,12445,231,30,8,3
1787953269992853723,4847077747406,192.168.20.11,56488,192.168.20.255,12445,232,31,8,3
1787953269993967149,4847078835740,192.168.20.11,56488,192.168.20.255,12445,233,32,8,3
1787953269995088686,4847079951351,192.168.20.11,56488,192.168.20.255,12445,234,33,8,3
1787953269996206612,4847081074666,192.168.20.11,56488,192.168.20.255,12445,235,34,8,3
1787953269997318241,4847082179944,192.168.20.11,56488,192.168.20.255,12445,236,35,8,3
1787953269998436853,4847083296240,192.168.20.11,56488,192.168.20.255,12445,237,36,8,3
