pc_mono_ns,bytes
76333851072600,1392
76333966414300,1624
76334070445700,1392
76334177323200,1856
76334278537200,1392
76334385684700,1610
76334500815200,1638
76334611235000,1604
76334719558800,1412
76334824739800,1624
76334938117300,1624
76335040909400,1392
76335141297100,1392
76335241404100,1610
76335348656100,1624
76335449723300,1392
76335560854200,1624
76335664131900,1392
76335773952400,1624
76335883420100,1624
76335986734500,1400
76336087479800,1616
76336189860000,1624
76336294613900,1392
76336396709700,1392
76336499031000,1624
76336615623300,1624
76336715780300,1392
76336823183000,1624
76336923255900,1392
76337025866300,1526
76337132895100,1490
76337233803000,1624
76337342168100,1624
76337446592800,1392
76337557231200,1624
76337667279900,1624
76337779564400,1624
76337896025400,1624
76337996330700,1392
76338102380200,1624
76338203754900,1624
76338304997300,1392
76338408780100,1392
76338510200700,1624
76338624134400,1624
76338734434500,1624
76338849287100,1624
76338960005600,1611
76339076681700,1624
76339191653700,1818
76339297808500,1430
76339404840700,1624
76339511262800,1392
76339620361000,1624
76339732108500,1624
76339843192200,1624
76339955265000,1624
76340071935800,1624
76340187398500,1624
76340292962600,1624
76340401044900,1624
76340508378800,1624
76340621339700,1624
76340725343400,1392
76340838098800,1624
76340946103700,1624
76341057071800,1624
76341157482500,1392
76341257775000,1624
76341372448500,1624
76341482360600,1624
76341591421700,1624
76341698639100,1392
76341806148400,1624
76341914319500,1624
76342026541900,1624
76342135850900,1392
76342247784300,1856
76342357791700,1624
76342458656700,1392
76342568500700,1624
76342670425100,1392
76342771410000,1392
76342873993000,1624
76342976867600,1392
76343090568400,1624
76343190891400,1392
76343304087900,1856
76343409585900,1424
76343517307200,1592
76343627028100,1624
76343733020900,1624
76343837819000,1392
76343950873700,1624
76344063830600,1624
76344172338000,1624
76344280399800,1624
76344390493600,1624
76344496237800,1413
76344607364900,1603
76344707761800,1624
76344813827300,1392
76344914516200,1392
76345022044400,1624
76345125534600,1624
76345233850400,1624
76345343303100,1624
76345444376100,1392
76345553716500,1624
76345665585800,1624
76345773295900,1392
76345888643200,1624
76345998523300,1624
76346104731400,1624
76346214406200,1624
76346323900600,1624
76346431528000,1624
76346535240800,1392
76346648618800,1624
76346757174300,1624
76346872081100,1624
76346981174000,1624
76347083625100,1392
76347190384400,1624
76347298146000,1624
76347404988800,1624
76347511549100,1392
76347612149800,1457
76347712915200,1559
76347821370500,1443
76347923200300,1573
76348030473900,1392
76348137671000,1624
76348250228800,1856
76348359504300,1392
76348465826000,1624
76348569119200,1392
76348677936300,1624
76348788620000,1624
76348898069700,1624
76349001572300,1392
76349107170700,1624
76349216097600,1624
76349323235200,1624
76349428147200,1392
76349540204000,1624
76349649351700,1624
76349764262400,1624
76349865642000,1392
76349973294400,1624
76350087509100,1624
76350196370500,1624
76350310310800,1856
76350424011900,1624
76350535416000,1624
76350645314400,1392
76350755653100,1624
76350863453000,1624
76350966699900,1392
76351068366900,1624
76351176207000,1392
76351285681000,1856
76351392621900,1392
76351492899600,1516
76351605782500,1681
76351716304800,1443
76351825664700,1624
76351935038700,1624
76352047618100,1624
76352156480200,1624
76352260708500,1392
76352371033400,1846
76352474622200,1402
76352589212600,1624
76352696667100,1624
76352803571700,1392
76352914231800,1624
76353017204800,1624
76353132018200,1624
76353240423000,1599
76353350286800,1649
