kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953094474853679,4671559810104,192.168.20.11,51506,192.168.20.255,12445,1,1,8,3
1787953094475982216,4671560889844,192.168.20.11,51506,192.168.20.255,12445,2,2,8,3
1787953094477078865,4671561940159,192.168.20.11,51506,192.168.20.255,12445,3,3,8,3
1787953094478198031,4671563056326,192.168.20.11,51506,192.168.20.255,12445,4,4,8,3
1787953094479331772,4671564190067,192.168.20.11,51506,192.168.20.255,12445,5,5,8,3
1787953094480435679,4671565292104,192.168.20.11,51506,192.168.20.255,12445,6,6,8,3
1787953094577166698,4671662089881,192.168.20.11,51506,192.168.20.255,12445,7,7,8,3
1787953094578277790,4671663140104,192.168.20.11,51506,192.168.20.255,12445,8,8,8,3
1787953094579396827,4671664255807,192.168.20.11,51506,192.168.20.255,12445,9,9,8,3
1787953094580518976,4671665376493,192.168.20.11,51506,192.168.20.255,12445,10,10,8,3
1787953094581633661,4671666493085,192.168.20.11,51506,192.168.20.255,12445,11,11,8,3
1787953094582754216,4671667610307,192.168.20.11,51506,192.168.20.255,12445,12,12,8,3
1787953094583869976,4671668727159,192.168.20.11,51506,192.168.20.255,12445,13,13,8,3
1787953094679726587,4671764648733,192.168.20.11,51506,192.168.20.255,12445,14,14,8,3
1787953094680886013,4671765748289,192.168.20.11,51506,192.168.20.255,12445,15,15,8,3
1787953094681992272,4671766849085,192.168.20.11,51506,192.168.20.255,12445,16,16,8,3
1787953094683620179,4671768477696,192.168.20.11,51506,192.168.20.255,12445,17,17,8,3
1787953094684744957,4671769604159,192.168.20.11,51506,192.168.20.255,12445,18,18,8,3
1787953094685857716,4671770717159,192.168.20.11,51506,192.168.20.255,12445,19,19,8,3
1787953094782006809,4671866949752,192.168.20.11,51506,192.168.20.255,12445,20,20,8,3
1787953094783136624,4671867999955,192.168.20.11,51506,192.168.20.255,12445,21,21,8,3
1787953094784247327,4671869105863,192.168.20.11,51506,192.168.20.255,12445,22,22,8,3
1787953094785379124,4671870235270,192.168.20.11,51506,192.168.20.255,12445,23,23,8,3
1787953094786497068,4671871352937,192.168.20.11,51506,192.168.20.255,12445,24,24,8,3
1787953094787639013,4671872494733,192.168.20.11,51506,192.168.20.255,12445,25,25,8,3
1787953094788808087,4671873664529,192.168.20.11,51506,192.168.20.255,12445,26,26,8,3
1787953094884661475,4671969588955,192.168.20.11,51506,192.168.20.255,12445,27,27,8,3
1787953094886084124,4671970949715,192.168.20.11,51506,192.168.20.255,12445,28,28,8,3
1787953094887414179,4671972276011,192.168.20.11,51506,192.168.20.255,12445,29,29,8,3
1787953094888804568,4671973662455,192.168.20.11,51506,192.168.20.255,12445,30,30,8,3
1787953094890057938,4671974914140,192.168.20.11,51506,192.168.20.255,12445,31,31,8,3
1787953094891611309,4671976469178,192.168.20.11,51506,192.168.20.255,12445,32,32,8,3
