pc_mono_ns,bytes
76161804877300,1392
76161916401700,1624
76162025769000,1624
76162140051000,1625
76162251042400,1623
76162360749900,1624
76162464739800,1624
76162566117600,1392
76162675076200,1624
76162783950200,1392
76162894068100,1624
76163002592500,1624
76163111573700,1624
76163221391300,1624
76163331192700,1624
76163444280500,1624
76163556457500,1624
76163662592200,1612
76163770185900,1404
76163876879800,1624
76163986694400,1624
76164088698000,1502
76164198872900,1514
76164308611500,1624
76164420232400,1624
76164529963100,1624
76164637371800,1624
76164750230700,1624
76164860970900,1392
76164969170200,1624
76165085209000,1624
76165193559400,1856
76165303676800,1392
76165411836900,1624
76165515469200,1624
76165624364500,1392
76165732361700,1624
76165844198400,1624
76165952417000,1624
76166056904100,1392
76166171287800,1856
76166281354700,1624
76166392257300,1624
76166503086600,1392
76166612308800,1624
76166720973300,1624
76166832756300,1624
76166941404000,1624
76167053102400,1624
76167159814300,1624
76167272926500,1624
76167383217500,1624
76167486000900,1392
76167590362500,1432
76167699690400,1584
76167809407400,1624
76167919500000,1624
76168028250600,1612
76168143010700,1624
76168251090000,1624
76168352755700,1392
76168463496500,1624
76168574995800,1624
76168685942300,1624
76168799629600,1624
76168901313400,1392
76169011343100,1624
76169116981900,1624
76169225077200,1624
76169335383100,1624
76169444330200,1624
76169557944100,1624
76169667614100,1430
76169777310400,1586
76169886844600,1624
76169995576000,1624
76170108251100,1624
76170218885200,1624
76170330193900,1624
76170440508000,1624
76170545282500,1479
76170660229400,1769
76170770183900,1392
76170879381500,1624
76170990112400,1624
76171095461300,1624
76171208316700,1624
76171321906700,1610
76171432581700,1624
76171541736900,1624
76171649951900,1624
76171761061800,1506
76171870842800,1510
76171981490700,1624
76172081827200,1392
76172190658700,1856
76172299135800,1392
76172408326400,1624
76172521364100,1624
76172628764700,1624
76172739993800,1624
76172849336400,1624
76172964471800,1624
76173069863300,1392
76173175498500,1624
76173280201800,1624
76173394191000,1624
76173508959100,1624
76173618261100,1624
76173721762600,1392
76173829900700,1624
76173940690100,1624
76174043021100,1392
76174153530700,1856
76174261178500,1392
76174370800200,1624
76174471272800,1392
76174578747000,1624
76174694498300,1624
76174799751700,1624
76174913047300,1624
76175028008800,1624
76175139093800,1624
76175246899300,1624
76175349444600,1392
76175453039800,1624
76175557265500,1392
76175666900000,1624
76175777468000,1624
76175886407300,1624
76175988637800,1392
76176093940200,1624
76176202655400,1624
76176313992500,1624
76176424405900,1624
76176532830400,1392
76176645595700,1624
76176745415900,1624
76176853435400,1392
76176969069500,1624
76177071937100,1624
76177177806200,1624
76177289570900,1624
76177400075200,1624
76177511298000,1624
76177622608900,1624
76177731993700,1392
76177832396900,1624
76177942999400,1392
76178044096900,1624
76178152275200,1392
76178254000600,1624
76178356650400,1624
76178465937900,1392
76178569587500,1624
76178682273900,1624
76178787495400,1381
76178902280700,1784
76179003341900,1464
76179105107100,1392
76179213936800,1624
76179314496800,1624
76179423669900,1392
