kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953198823458302,4775908471653,192.168.20.11,56072,192.168.20.108,12445,1,1,8,3
1787953198838563395,4775923495653,192.168.20.11,56072,192.168.20.108,12445,2,2,8,3
1787953198853760043,4775938690616,192.168.20.11,56072,192.168.20.108,12445,3,3,8,3
1787953198868891247,4775953844319,192.168.20.11,56072,192.168.20.108,12445,4,4,8,3
1787953198883780413,4775968685116,192.168.20.11,56072,192.168.20.108,12445,5,5,8,3
1787953198898901321,4775983837708,192.168.20.11,56072,192.168.20.108,12445,6,6,8,3
1787953198913856358,4775998729078,192.168.20.11,56072,192.168.20.108,12445,7,7,8,3
1787953198928955562,4776013841264,192.168.20.11,56072,192.168.20.108,12445,8,8,8,3
1787953198943549617,4776028461245,192.168.20.11,56072,192.168.20.108,12445,9,9,8,3
1787953198958881117,4776043755264,192.168.20.11,56072,192.168.20.108,12445,10,10,8,3
1787953198973817728,4776058687967,192.168.20.11,56072,192.168.20.108,12445,11,11,8,3
1787953198988907265,4776073779227,192.168.20.11,56072,192.168.20.108,12445,12,12,8,3
1787953199003852247,4776088760134,192.168.20.11,56072,192.168.20.108,12445,13,13,8,3
1787953199018785173,4776103656541,192.168.20.11,56072,192.168.20.108,12445,14,14,8,3
1787953199034035728,4776118903467,192.168.20.11,56072,192.168.20.108,12445,15,15,8,3
1787953199048872987,4776133798430,192.168.20.11,56072,192.168.20.108,12445,16,16,8,3
1787953199063637117,4776148512190,192.168.20.11,56072,192.168.20.108,12445,17,17,8,3
1787953199078638913,4776163506578,192.168.20.11,56072,192.168.20.108,12445,18,18,8,3
1787953199093555321,4776178451504,192.168.20.11,56072,192.168.20.108,12445,19,19,8,3
1787953199108944173,4776193823523,192.168.20.11,56072,192.168.20.108,12445,20,20,8,3
1787953199123527654,4776208393930,192.168.20.11,56072,192.168.20.108,12445,21,21,8,3
1787953199139441599,4776224325689,192.168.20.11,56072,192.168.20.108,12445,22,22,8,3
1787953199153851598,4776238752634,192.168.20.11,56072,192.168.20.108,12445,23,23,8,3
1787953199168556802,4776253426764,192.168.20.11,56072,192.168.20.108,12445,24,24,8,3
1787953199183619950,4776268490245,192.168.20.11,56072,192.168.20.108,12445,25,25,8,3
1787953199198582524,4776283501671,192.168.20.11,56072,192.168.20.108,12445,26,26,8,3
1787953199213664487,4776298535708,192.168.20.11,56072,192.168.20.108,12445,27,27,8,3
1787953199228418043,4776313282375,192.168.20.11,56072,192.168.20.108,12445,28,28,8,3
1787953199244007302,4776328917634,192.168.20.11,56072,192.168.20.108,12445,29,29,8,3
1787953199258471913,4776343344041,192.168.20.11,56072,192.168.20.108,12445,30,30,8,3
1787953199273746524,4776358614004,192.168.20.11,56072,192.168.20.108,12445,31,31,8,3
1787953199288834728,4776373699486,192.168.20.11,56072,192.168.20.108,12445,32,32,8,3
1787953199303824524,4776388719393,192.168.20.11,56072,192.168.20.108,12445,33,33,8,3
1787953199318921654,4776403792338,192.168.20.11,56072,192.168.20.108,12445,34,34,8,3
1787953199335057154,4776419924912,192.168.20.11,56072,192.168.20.108,12445,35,35,8,3
1787953199348728950,4776433629578,192.168.20.11,56072,192.168.20.108,12445,36,36,8,3
1787953199363894858,4776448770949,192.168.20.11,56072,192.168.20.108,12445,37,37,8,3
1787953199378549135,4776463418226,192.168.20.11,56072,192.168.20.108,12445,38,38,8,3
1787953199393882932,4776478774300,192.168.20.11,56072,192.168.20.108,12445,39,39,8,3
1787953199408810135,4776493682060,192.168.20.11,56072,192.168.20.108,12445,40,40,8,3
1787953199423911746,4776508779245,192.168.20.11,56072,192.168.20.108,12445,41,41,8,3
1787953199438881265,4776523761337,192.168.20.11,56072,192.168.20.108,12445,42,42,8,3
1787953199454087413,4776538988986,192.168.20.11,56072,192.168.20.108,12445,43,43,8,3
1787953199468503802,4776553384782,192.168.20.11,56072,192.168.20.108,12445,44,44,8,3
1787953199483647987,4776568526245,192.168.20.11,56072,192.168.20.108,12445,45,45,8,3
1787953199499008024,4776583898986,192.168.20.11,56072,192.168.20.108,12445,46,46,8,3
1787953199513790765,4776598662726,192.168.20.11,56072,192.168.20.108,12445,47,47,8,3
1787953199529040487,4776613907837,192.168.20.11,56072,192.168.20.108,12445,48,48,8,3
1787953199543984543,4776628885060,192.168.20.11,56072,192.168.20.108,12445,49,49,8,3
1787953199558843432,4776643716967,192.168.20.11,56072,192.168.20.108,12445,50,50,8,3
1787953199574243283,4776659121726,192.168.20.11,56072,192.168.20.108,12445,51,51,8,3
1787953199589038932,4776673907985,192.168.20.11,56072,192.168.20.108,12445,52,52,8,3
1787953199604430580,4776689324430,192.168.20.11,56072,192.168.20.108,12445,53,53,8,3
1787953199618844950,4776703714634,192.168.20.11,56072,192.168.20.108,12445,54,54,8,3
1787953199633728876,4776718598523,192.168.20.11,56072,192.168.20.108,12445,55,55,8,3
1787953199649082154,4776733984152,192.168.20.11,56072,192.168.20.108,12445,56,56,8,3
1787953199664345006,4776749228152,192.168.20.11,56072,192.168.20.108,12445,57,57,8,3
1787953199678923524,4776763790430,192.168.20.11,56072,192.168.20.108,12445,58,58,8,3
1787953199693746765,4776778643708,192.168.20.11,56072,192.168.20.108,12445,59,59,8,3
1787953199708568987,4776793440393,192.168.20.11,56072,192.168.20.108,12445,60,60,8,3
1787953199723516969,4776808385004,192.168.20.11,56072,192.168.20.108,12445,61,61,8,3
1787953199738940098,4776823830448,192.168.20.11,56072,192.168.20.108,12445,62,62,8,3
1787953199753697265,4776838580911,192.168.20.11,56072,192.168.20.108,12445,63,63,8,3
1787953199769016969,4776853893356,192.168.20.11,56072,192.168.20.108,12445,64,64,8,3
1787953199783764913,4776868628541,192.168.20.11,56072,192.168.20.108,12445,65,65,8,3
1787953199798782320,4776883670874,192.168.20.11,56072,192.168.20.108,12445,66,66,8,3
1787953199813656561,4776898526022,192.168.20.11,56072,192.168.20.108,12445,67,67,8,3
1787953199828431394,4776913329708,192.168.20.11,56072,192.168.20.108,12445,68,68,8,3
1787953199843491931,4776928417467,192.168.20.11,56072,192.168.20.108,12445,69,69,8,3
1787953199858458598,4776943382930,192.168.20.11,56072,192.168.20.108,12445,70,70,8,3
1787953199873849783,4776958734171,192.168.20.11,56072,192.168.20.108,12445,71,71,8,3
1787953199888472968,4776973358300,192.168.20.11,56072,192.168.20.108,12445,72,72,8,3
1787953199903503487,4776988405411,192.168.20.11,56072,192.168.20.108,12445,73,73,8,3
1787953199918504839,4777003375967,192.168.20.11,56072,192.168.20.108,12445,74,74,8,3
1787953199933765172,4777018643930,192.168.20.11,56072,192.168.20.108,12445,75,75,8,3
1787953199948998487,4777033906504,192.168.20.11,56072,192.168.20.108,12445,76,76,8,3
1787953199963894654,4777048767652,192.168.20.11,56072,192.168.20.108,12445,77,77,8,3
1787953199979088450,4777063967541,192.168.20.11,56072,192.168.20.108,12445,78,78,8,3
1787953199993684376,4777078580967,192.168.20.11,56072,192.168.20.108,12445,79,79,8,3
1787953200008737931,4777093613411,192.168.20.11,56072,192.168.20.108,12445,80,80,8,3
1787953200024328413,4777109195948,192.168.20.11,56072,192.168.20.108,12445,81,81,8,3
1787953200038911265,4777123815467,192.168.20.11,56072,192.168.20.108,12445,82,82,8,3
1787953200053596505,4777138484337,192.168.20.11,56072,192.168.20.108,12445,83,83,8,3
1787953200068915783,4777153781448,192.168.20.11,56072,192.168.20.108,12445,84,84,8,3
1787953200084160783,4777169077744,192.168.20.11,56072,192.168.20.108,12445,85,85,8,3
1787953200098709616,4777183624022,192.168.20.11,56072,192.168.20.108,12445,86,86,8,3
1787953200113777376,4777198646485,192.168.20.11,56072,192.168.20.108,12445,87,87,8,3
1787953200128609505,4777213475596,192.168.20.11,56072,192.168.20.108,12445,88,88,8,3
1787953200143787802,4777228701189,192.168.20.11,56072,192.168.20.108,12445,89,89,8,3
1787953200158393783,4777243277393,192.168.20.11,56072,192.168.20.108,12445,90,90,8,3
1787953200173412357,4777258282930,192.168.20.11,56072,192.168.20.108,12445,91,91,8,3
1787953200189117246,4777274013689,192.168.20.11,56072,192.168.20.108,12445,92,92,8,3
1787953200203635302,4777288515059,192.168.20.11,56072,192.168.20.108,12445,93,93,8,3
1787953200218580376,4777303445911,192.168.20.11,56072,192.168.20.108,12445,94,94,8,3
1787953200233757042,4777318623411,192.168.20.11,56072,192.168.20.108,12445,95,95,8,3
1787953200248791709,4777333693041,192.168.20.11,56072,192.168.20.108,12445,96,96,8,3
1787953200263588320,4777348461189,192.168.20.11,56072,192.168.20.108,12445,97,97,8,3
1787953200278548598,4777363417874,192.168.20.11,56072,192.168.20.108,12445,98,98,8,3
1787953200294035283,4777378926226,192.168.20.11,56072,192.168.20.108,12445,99,99,8,3
1787953200308428524,4777393311355,192.168.20.11,56072,192.168.20.108,12445,100,100,8,3
1787953200323759339,4777408649263,192.168.20.11,56072,192.168.20.108,12445,101,101,8,3
1787953200338396246,4777423288670,192.168.20.11,56072,192.168.20.108,12445,102,102,8,3
1787953200353591801,4777438485800,192.168.20.11,56072,192.168.20.108,12445,103,103,8,3
1787953200368392301,4777453264485,192.168.20.11,56072,192.168.20.108,12445,104,104,8,3
1787953200383468357,4777468364892,192.168.20.11,56072,192.168.20.108,12445,105,105,8,3
1787953200399065190,4777483933781,192.168.20.11,56072,192.168.20.108,12445,106,106,8,3
1787953200413341098,4777498207892,192.168.20.11,56072,192.168.20.108,12445,107,107,8,3
1787953200428463283,4777513338874,192.168.20.11,56072,192.168.20.108,12445,108,108,8,3
1787953200443416264,4777528323818,192.168.20.11,56072,192.168.20.108,12445,109,109,8,3
1787953200459058209,4777543936411,192.168.20.11,56072,192.168.20.108,12445,110,110,8,3
1787953200473810857,4777558676781,192.168.20.11,56072,192.168.20.108,12445,111,111,8,3
1787953200489021042,4777573918485,192.168.20.11,56072,192.168.20.108,12445,112,112,8,3
1787953200503821505,4777588692652,192.168.20.11,56072,192.168.20.108,12445,113,113,8,3
1787953200518725098,4777603591948,192.168.20.11,56072,192.168.20.108,12445,114,114,8,3
1787953200534452338,4777619338207,192.168.20.11,56072,192.168.20.108,12445,115,115,8,3
1787953200548430061,4777633316040,192.168.20.11,56072,192.168.20.108,12445,116,116,8,3
1787953200563568542,4777648448670,192.168.20.11,56072,192.168.20.108,12445,117,117,8,3
1787953200578789672,4777663655689,192.168.20.11,56072,192.168.20.108,12445,118,118,8,3
1787953200593517209,4777678414837,192.168.20.11,56072,192.168.20.108,12445,119,119,8,3
1787953200608860561,4777693729429,192.168.20.11,56072,192.168.20.108,12445,120,120,8,3
1787953200623569616,4777708438003,192.168.20.11,56072,192.168.20.108,12445,121,121,8,3
1787953200638627838,4777723514689,192.168.20.11,56072,192.168.20.108,12445,122,122,8,3
1787953200653437042,4777738327763,192.168.20.11,56072,192.168.20.108,12445,123,123,8,3
1787953200668722320,4777753594559,192.168.20.11,56072,192.168.20.108,12445,124,124,8,3
1787953200683406949,4777768278614,192.168.20.11,56072,192.168.20.108,12445,125,125,8,3
1787953200698840209,4777783730318,192.168.20.11,56072,192.168.20.108,12445,126,126,8,3
1787953200713623875,4777798487837,192.168.20.11,56072,192.168.20.108,12445,127,127,8,3
