pc_mono_ns,bytes
76266244615300,1603
76266345923600,1413
76266447307800,1392
76266553816000,1624
76266656398800,1392
76266771054500,1856
76266884373800,1624
76266996498500,1624
76267105999600,1615
76267213555600,1401
76267318120000,1624
76267419630900,1392
76267520781100,1392
76267628340800,1624
76267739259600,1624
76267848523000,1624
76267959351100,1624
76268069952000,1617
76268182177000,1624
76268288441900,1392
76268389446600,1624
76268491065900,1392
76268591114700,1392
76268699380500,1624
76268802028000,1624
76268910091500,1624
76269010490600,1392
76269114182400,1392
76269223024900,1624
76269333606600,1624
76269441996700,1624
76269544532900,1392
76269653353000,1624
76269760956100,1624
76269864711000,1392
76269969848800,1624
76270070645100,1392
76270172496200,1452
76270276717300,1564
76270382974700,1624
76270491173800,1392
76270599089300,1624
76270704534400,1587
76270818345600,1661
76270928002700,1624
76271037342800,1624
76271153473400,1624
76271263093000,1624
76271372764800,1602
76271476837300,1414
76271588652900,1624
76271695416900,1624
76271806803500,1624
76271914889900,1624
76272023791000,1392
76272132673700,1624
76272235631900,1624
76272344891800,1392
76272449656900,1624
76272552627100,1392
76272652659900,1545
76272758516900,1471
76272867203100,1624
76272980868100,1624
76273082741000,1624
76273185412600,1392
76273293946700,1624
76273403534200,1624
76273512243500,1392
76273620007900,1624
76273720522200,1392
76273829160000,1856
76273931909200,1392
76274031978200,1392
76274139392000,1624
76274245779700,1392
76274347670900,1624
76274449516700,1392
76274549729000,1392
76274650086000,1624
76274763894600,1624
76274878614600,1624
76274986321100,1624
76275090764500,1392
76275204451400,1727
76275313334000,1521
76275419433000,1624
76275529783800,1624
76275639460200,1553
76275748179600,1463
76275860965100,1856
76275972500600,1624
76276078895600,1392
76276190618500,1624
76276300123100,1624
76276401091900,1392
76276503802000,1624
76276607558200,1392
76276723392600,1624
76276831732300,1856
76276943907400,1592
76277053435600,1424
76277164548800,1624
76277275904100,1624
76277387322100,1624
76277499001400,1624
76277608344700,1624
76277716593400,1572
76277825445000,1676
76277935645400,1624
76278040257100,1392
76278152490100,1624
76278263109200,1624
76278364911900,1392
76278475122400,1624
76278583768100,1624
76278692855100,1624
76278806007700,1624
76278915936100,1624
76279029029300,1624
76279142191000,1624
76279256676900,1624
76279372530200,1624
76279477310000,1624
76279587890700,1624
76279695989700,1392
76279807052600,1624
76279918875500,1856
76280026031100,1392
76280131728900,1624
76280237164100,1624
76280347083900,1392
76280449915500,1624
76280556699000,1392
76280669324600,1624
76280778300200,1624
76280889809100,1856
76281000890800,1506
76281101009400,1510
76281212338700,1624
76281321776900,1392
76281428841800,1624
76281533052300,1612
76281643378400,1404
76281751622800,1624
76281860941500,1624
76281971711700,1624
76282073870800,1624
76282183347500,1392
76282295567900,1612
76282406526000,1624
76282513599800,1624
76282621546200,1624
76282730420900,1392
76282836318000,1710
76282945556400,1538
76283053128300,1624
76283162357000,1624
76283275748200,1624
76283380976700,1392
76283494401100,1624
76283598601400,1624
76283700235800,1392
76283802086800,1392
76283908051500,1856
76284017634900,1392
76284127171300,1624
76284233723600,1624
76284334811800,1392
76284434792400,1392
76284534972200,1455
76284637133700,1561
76284744155400,1439
76284845241700,1577
76284945713800,1487
76285050460900,1529
76285161037100,1624
76285267289900,1392
76285373633700,1624
76285483494100,1624
76285596473600,1624
76285711379600,1624
76285825367800,1624
76285925431900,1624
76286036469000,1624
76286140941400,1392
76286242445500,1585
76286343964200,1431
76286451363100,1523
76286562063900,1493
76286662943700,1624
76286773873200,1595
76286874037300,1421
76286988909500,1624
76287093554800,1624
76287205665500,1624
76287311166300,1392
76287414044300,1624
76287527989200,1624
76287640796300,1624
76287742969400,1392
76287852962700,1624
76287963571400,1624
76288069342800,1624
76288176301400,1624
76288285034700,1392
76288398646500,1608
76288505744700,1624
76288617505200,1624
76288728746700,1624
76288830034600,1392
76288939484800,1837
76289040940500,1411
76289155691100,1624
76289270139500,1624
76289373429800,1435
76289478325900,1581
76289590688600,1624
76289700766900,1624
76289817965600,1624
76289920175500,1624
76290034279400,1624
76290148293600,1624
76290252215000,1624
76290367135500,1624
76290467922800,1392
76290579858300,1624
76290681031200,1392
76290790832400,1624
76290901572600,1624
76291005159900,1624
76291105573200,1392
76291205872100,1392
76291306582100,1624
76291411640900,1392
76291515203300,1473
76291629620500,1775
76291744978100,1624
76291856234900,1624
76291956537300,1392
76292062338900,1624
76292172727300,1624
76292277556700,1392
76292385781800,1624
76292499528800,1624
76292613395000,1624
76292713755600,1392
76292830809700,1856
76292931371500,1392
76293031442000,1624
76293142281800,1624
76293248599600,1392
76293362263600,1624
76293463578600,1520
76293575030300,1482
76293685318700,1624
76293790902200,1624
76293905887400,1658
76294012725900,1590
76294118627800,1624
76294219927500,1392
76294328842400,1624
76294436460400,1392
76294548846800,1624
76294661758700,1624
76294763371300,1624
76294865173200,1392
76294971111300,1624
76295071772700,1392
76295173249800,1624
76295281142400,1392
76295391372400,1624
76295492236000,1515
76295600335400,1501
76295701500200,1503
76295809296400,1513
76295924513000,1856
76296032918600,1624
76296133835100,1392
76296235563800,1392
76296337087500,1392
76296451960200,1856
76296564637500,1624
76296672984200,1392
76296773495600,1624
76296883027200,1392
76296999472100,1856
76297101722800,1392
76297207058800,1624
76297315775800,1624
76297424667000,1569
76297528465600,1447
76297644173800,1624
76297758434900,1624
76297870363000,1624
76297971445500,1624
76298071524400,1392
76298185378700,1624
76298300242400,1624
76298400555300,1624
76298515346500,1624
76298615516000,1392
76298721903800,1624
76298832965000,1452
76298946355800,1796
76299058071700,1624
76299172961000,1624
76299281446100,1624
76299387232700,1392
76299487955400,1624
76299602770800,1624
76299703843400,1392
76299804325000,1392
76299911260400,1624
76300023231300,1624
76300135535000,1624
76300238032000,1624
76300338547200,1392
76300444260700,1624
76300557249200,1624
76300665998200,1392
76300782197000,1856
76300883049800,1392
76300989943100,1624
76301091770600,1392
76301203264900,1624
76301308680900,1624
76301408785300,1392
76301519533300,1624
76301632583600,1624
76301735093100,1392
76301844135700,1624
76301946928200,1392
76302049170100,1624
76302159953600,1624
76302265288800,1624
76302370103700,1392
76302477654200,1624
76302577972600,1392
76302684586000,1624
76302801091700,1624
76302908696800,1624
76303021645700,1624
76303123626300,1392
76303225341500,1624
76303325809100,1392
76303426210400,1392
76303535571000,1624
76303645813700,1624
76303751765700,1392
76303866504600,1856
76303980495600,1624
