kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953113112351668,4690197360204,192.168.20.11,50312,192.168.20.108,12445,1,1,8,3
1787953113126697983,4690211606685,192.168.20.11,50312,192.168.20.108,12445,2,2,8,3
1787953113142107428,4690227000870,192.168.20.11,50312,192.168.20.108,12445,3,3,8,3
1787953113157175187,4690242100667,192.168.20.11,50312,192.168.20.108,12445,4,4,8,3
1787953113172074279,4690256969889,192.168.20.11,50312,192.168.20.108,12445,5,5,8,3
1787953113187086816,4690271998926,192.168.20.11,50312,192.168.20.108,12445,6,6,8,3
1787953113202406520,4690287306815,192.168.20.11,50312,192.168.20.108,12445,7,7,8,3
1787953113217664094,4690302539630,192.168.20.11,50312,192.168.20.108,12445,8,8,8,3
1787953113232258539,4690317124778,192.168.20.11,50312,192.168.20.108,12445,9,9,8,3
1787953113247294057,4690332171185,192.168.20.11,50312,192.168.20.108,12445,10,10,8,3
1787953113262001057,4690346899926,192.168.20.11,50312,192.168.20.108,12445,11,11,8,3
1787953113277069390,4690361939722,192.168.20.11,50312,192.168.20.108,12445,12,12,8,3
1787953113292233668,4690377119963,192.168.20.11,50312,192.168.20.108,12445,13,13,8,3
1787953113307339724,4690392235055,192.168.20.11,50312,192.168.20.108,12445,14,14,8,3
1787953113322135187,4690407005481,192.168.20.11,50312,192.168.20.108,12445,15,15,8,3
1787953113337192613,4690422066259,192.168.20.11,50312,192.168.20.108,12445,16,16,8,3
1787953113352110131,4690437011926,192.168.20.11,50312,192.168.20.108,12445,17,17,8,3
1787953113367220409,4690452092778,192.168.20.11,50312,192.168.20.108,12445,18,18,8,3
1787953113382221890,4690467089907,192.168.20.11,50312,192.168.20.108,12445,19,19,8,3
1787953113397164446,4690482071852,192.168.20.11,50312,192.168.20.108,12445,20,20,8,3
1787953113412122298,4690496995629,192.168.20.11,50312,192.168.20.108,12445,21,21,8,3
1787953113427444650,4690512315722,192.168.20.11,50312,192.168.20.108,12445,22,22,8,3
1787953113442080538,4690526946222,192.168.20.11,50312,192.168.20.108,12445,23,23,8,3
1787953113457162779,4690542071111,192.168.20.11,50312,192.168.20.108,12445,24,24,8,3
1787953113471979187,4690556856852,192.168.20.11,50312,192.168.20.108,12445,25,25,8,3
1787953113486941242,4690571825203,192.168.20.11,50312,192.168.20.108,12445,26,26,8,3
1787953113501965335,4690586864315,192.168.20.11,50312,192.168.20.108,12445,27,27,8,3
1787953113516968427,4690601842018,192.168.20.11,50312,192.168.20.108,12445,28,28,8,3
1787953113532273261,4690617139592,192.168.20.11,50312,192.168.20.108,12445,29,29,8,3
1787953113547167094,4690632052296,192.168.20.11,50312,192.168.20.108,12445,30,30,8,3
1787953113562402242,4690647300129,192.168.20.11,50312,192.168.20.108,12445,31,31,8,3
1787953113576871872,4690661744592,192.168.20.11,50312,192.168.20.108,12445,32,32,8,3
1787953113591852075,4690676741648,192.168.20.11,50312,192.168.20.108,12445,33,33,8,3
1787953113607111224,4690692023518,192.168.20.11,50312,192.168.20.108,12445,34,34,8,3
1787953113622157316,4690707028815,192.168.20.11,50312,192.168.20.108,12445,35,35,8,3
1787953113637684020,4690722550444,192.168.20.11,50312,192.168.20.108,12445,36,36,8,3
1787953113652330983,4690737243129,192.168.20.11,50312,192.168.20.108,12445,37,37,8,3
1787953113667201816,4690752071296,192.168.20.11,50312,192.168.20.108,12445,38,38,8,3
1787953113682348001,4690767212574,192.168.20.11,50312,192.168.20.108,12445,39,39,8,3
1787953113697435798,4690782342166,192.168.20.11,50312,192.168.20.108,12445,40,40,8,3
1787953113712452649,4690797327111,192.168.20.11,50312,192.168.20.108,12445,41,41,8,3
1787953113727883020,4690812751407,192.168.20.11,50312,192.168.20.108,12445,42,42,8,3
1787953113742247686,4690827138833,192.168.20.11,50312,192.168.20.108,12445,43,43,8,3
1787953113757106223,4690841985222,192.168.20.11,50312,192.168.20.108,12445,44,44,8,3
1787953113771824427,4690856690055,192.168.20.11,50312,192.168.20.108,12445,45,45,8,3
1787953113787886483,4690872764203,192.168.20.11,50312,192.168.20.108,12445,46,46,8,3
1787953113802516427,4690887416037,192.168.20.11,50312,192.168.20.108,12445,47,47,8,3
1787953113817552149,4690902423370,192.168.20.11,50312,192.168.20.108,12445,48,48,8,3
1787953113832076353,4690916942592,192.168.20.11,50312,192.168.20.108,12445,49,49,8,3
1787953113847371964,4690932266648,192.168.20.11,50312,192.168.20.108,12445,50,50,8,3
1787953113862757723,4690947684000,192.168.20.11,50312,192.168.20.108,12445,51,51,8,3
1787953113876802890,4690961682740,192.168.20.11,50312,192.168.20.108,12445,52,52,8,3
1787953113892217390,4690977104000,192.168.20.11,50312,192.168.20.108,12445,53,53,8,3
1787953113907002705,4690991898240,192.168.20.11,50312,192.168.20.108,12445,54,54,8,3
1787953113922279297,4691007219444,192.168.20.11,50312,192.168.20.108,12445,55,55,8,3
1787953113937303575,4691022182481,192.168.20.11,50312,192.168.20.108,12445,56,56,8,3
1787953113952964242,4691037863425,192.168.20.11,50312,192.168.20.108,12445,57,57,8,3
1787953113967146909,4691052055851,192.168.20.11,50312,192.168.20.108,12445,58,58,8,3
1787953113982201149,4691067080574,192.168.20.11,50312,192.168.20.108,12445,59,59,8,3
1787953113996998834,4691081907907,192.168.20.11,50312,192.168.20.108,12445,60,60,8,3
1787953114012986594,4691097862759,192.168.20.11,50312,192.168.20.108,12445,61,61,8,3
1787953114026858686,4691111728703,192.168.20.11,50312,192.168.20.108,12445,62,62,8,3
1787953114041919520,4691126784814,192.168.20.11,50312,192.168.20.108,12445,63,63,8,3
1787953114057308390,4691142205222,192.168.20.11,50312,192.168.20.108,12445,64,64,8,3
1787953114072330964,4691157206518,192.168.20.11,50312,192.168.20.108,12445,65,65,8,3
1787953114086914594,4691171800314,192.168.20.11,50312,192.168.20.108,12445,66,66,8,3
1787953114102037427,4691186938111,192.168.20.11,50312,192.168.20.108,12445,67,67,8,3
1787953114117112390,4691202018240,192.168.20.11,50312,192.168.20.108,12445,68,68,8,3
1787953114132159020,4691217026796,192.168.20.11,50312,192.168.20.108,12445,69,69,8,3
1787953114147289834,4691232194185,192.168.20.11,50312,192.168.20.108,12445,70,70,8,3
