pc_mono_ns,bytes
76180518023100,1392
76180632399000,1624
76180735057700,1392
76180836689100,1624
76180937815600,1392
76181040076500,1392
76181150662100,1624
76181252498100,1624
76181352835800,1392
76181464555900,1624
76181579852500,1624
76181694485000,1624
76181806063000,1624
76181908194600,1624
76182014601000,1392
76182128390800,1611
76182237623800,1856
76182344488500,1392
76182450985600,1624
76182557790300,1624
76182667448100,1392
76182779237900,1624
76182888314300,1624
76182995760300,1624
76183110383300,1624
76183221478100,1624
76183329580200,1624
76183431322900,1392
76183532985300,1624
76183642445400,1392
76183750876900,1624
76183865666000,1624
76183975194900,1624
76184077354100,1392
76184183288200,1624
76184285709400,1624
76184401110700,1624
76184502373800,1392
76184613527500,1624
76184724643900,1624
76184833881000,1624
76184936862500,1392
76185041138700,1624
76185148643100,1392
76185249380900,1624
76185352226800,1624
76185466752200,1624
76185570822000,1392
76185683630300,1624
76185792861600,1624
76185896924600,1392
76186011215600,1834
76186122841900,1414
76186237549400,1856
76186348688400,1624
76186453580000,1511
76186565958200,1529
76186674772100,1600
76186775356200,1429
76186881274900,1587
76186992678000,1624
76187104040300,1624
76187207536900,1392
76187308430600,1624
76187408529200,1392
76187519877200,1624
76187623935200,1624
76187734756700,1624
76187842629800,1392
76187951274300,1624
76188052326900,1392
76188162926300,1624
76188270954300,1624
76188385655600,1624
76188499425600,1856
76188612909500,1624
76188722416500,1392
76188831361700,1624
76188940688700,1624
76189051049800,1624
76189155410500,1392
76189265727000,1856
76189370092200,1392
76189477038900,1624
76189585700400,1583
76189691444500,1433
76189805966700,1624
76189911195500,1624
76190024777300,1624
76190132240000,1395
76190240465100,1621
76190350220400,1730
76190455850800,1518
76190565236300,1624
76190673279500,1624
76190779220300,1392
76190882851800,1624
76190993348000,1392
76191104686300,1624
76191214113500,1624
76191329226900,1856
76191434465900,1392
76191544324800,1624
76191654300200,1624
76191769112000,1624
76191870131100,1392
76191980049500,1624
76192087638100,1624
76192197674800,1624
76192301548300,1624
76192414394000,1624
76192519226000,1392
76192632588400,1624
76192732620700,1410
76192833968400,1606
76192934537300,1392
76193038252000,1380
76193151537500,1694
76193263221600,1554
76193366601400,1624
76193467702800,1624
76193568581100,1392
76193668834200,1392
76193769956900,1392
76193870373200,1624
76193977890900,1392
76194079148000,1624
76194180505100,1392
76194292013200,1624
76194399706200,1624
76194502239300,1392
76194613711000,1624
76194714603600,1624
76194822911000,1392
76194924733300,1624
76195030585800,1392
76195142759500,1624
76195251771300,1624
76195362650800,1624
76195466810800,1624
76195576225200,1624
76195678490800,1392
76195786277400,1624
76195896128800,1389
76196005563300,1624
76196118967000,1624
76196234156900,1624
76196343823000,1856
76196456440200,1624
76196565087200,1458
76196674893300,1558
76196786601700,1624
76196894915900,1624
76197006415300,1624
76197116592000,1624
76197226048900,1583
76197335884400,1665
76197445234900,1624
76197546270800,1392
76197652661600,1619
76197762613700,1397
76197871184100,1624
76197987055700,1624
76198087623300,1624
76198187891000,1392
