kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953332781434574,4909866378684,192.168.20.11,56489,192.168.20.108,12445,1,1,8,3
1787953332795324648,4909880207128,192.168.20.11,56489,192.168.20.108,12445,2,2,8,3
1787953332811073908,4909895955702,192.168.20.11,56489,192.168.20.108,12445,3,3,8,3
1787953332826049278,4909910919758,192.168.20.11,56489,192.168.20.108,12445,4,4,8,3
1787953332841036945,4909925947332,192.168.20.11,56489,192.168.20.108,12445,5,5,8,3
1787953332856249945,4909941914795,192.168.20.11,56489,192.168.20.108,12445,6,6,8,3
1787953332870862797,4909955758369,192.168.20.11,56489,192.168.20.108,12445,7,7,8,3
1787953332886320593,4909971210850,192.168.20.11,56489,192.168.20.108,12445,8,8,8,3
1787953332901476500,4909986339073,192.168.20.11,56489,192.168.20.108,12445,9,9,8,3
1787953332915756630,4910000609480,192.168.20.11,56489,192.168.20.108,12445,10,10,8,3
1787953332931395259,4910016246295,192.168.20.11,56489,192.168.20.108,12445,11,11,8,3
1787953332947137204,4910032059369,192.168.20.11,56489,192.168.20.108,12445,12,12,8,3
1787953332961442945,4910046300091,192.168.20.11,56489,192.168.20.108,12445,13,13,8,3
1787953332975752371,4910060613813,192.168.20.11,56489,192.168.20.108,12445,14,14,8,3
1787953332991343222,4910076229258,192.168.20.11,56489,192.168.20.108,12445,15,15,8,3
1787953333006121445,4910090981406,192.168.20.11,56489,192.168.20.108,12445,16,16,8,3
1787953333021401463,4910106255239,192.168.20.11,56489,192.168.20.108,12445,17,17,8,3
1787953333036215000,4910121098795,192.168.20.11,56489,192.168.20.108,12445,18,18,8,3
1787953333050816259,4910135686424,192.168.20.11,56489,192.168.20.108,12445,19,19,8,3
1787953333065800611,4910150656721,192.168.20.11,56489,192.168.20.108,12445,20,20,8,3
1787953333081016130,4910165904776,192.168.20.11,56489,192.168.20.108,12445,21,21,8,3
1787953333096293037,4910181152239,192.168.20.11,56489,192.168.20.108,12445,22,22,8,3
1787953333111960796,4910196815795,192.168.20.11,56489,192.168.20.108,12445,23,23,8,3
1787953333125948148,4910210801647,192.168.20.11,56489,192.168.20.108,12445,24,24,8,3
1787953333140931926,4910225834813,192.168.20.11,56489,192.168.20.108,12445,25,25,8,3
1787953333156595945,4910241459073,192.168.20.11,56489,192.168.20.108,12445,26,26,8,3
1787953333171439093,4910256294721,192.168.20.11,56489,192.168.20.108,12445,27,27,8,3
1787953333186163815,4910271047295,192.168.20.11,56489,192.168.20.108,12445,28,28,8,3
1787953333201280963,4910286139665,192.168.20.11,56489,192.168.20.108,12445,29,29,8,3
1787953333216061500,4910300914369,192.168.20.11,56489,192.168.20.108,12445,30,30,8,3
1787953333231181593,4910316073017,192.168.20.11,56489,192.168.20.108,12445,31,31,8,3
1787953333245963352,4910330846258,192.168.20.11,56489,192.168.20.108,12445,32,32,8,3
1787953333260846630,4910345705165,192.168.20.11,56489,192.168.20.108,12445,33,33,8,3
1787953333275736685,4910360589572,192.168.20.11,56489,192.168.20.108,12445,34,34,8,3
1787953333291366056,4910376247480,192.168.20.11,56489,192.168.20.108,12445,35,35,8,3
1787953333306750185,4910391610147,192.168.20.11,56489,192.168.20.108,12445,36,36,8,3
1787953333320986981,4910405876980,192.168.20.11,56489,192.168.20.108,12445,37,37,8,3
1787953333336240815,4910421145461,192.168.20.11,56489,192.168.20.108,12445,38,38,8,3
1787953333350970000,4910435862295,192.168.20.11,56489,192.168.20.108,12445,39,39,8,3
1787953333366283648,4910451162998,192.168.20.11,56489,192.168.20.108,12445,40,40,8,3
1787953333381329315,4910466237591,192.168.20.11,56489,192.168.20.108,12445,41,41,8,3
1787953333396122407,4910481002313,192.168.20.11,56489,192.168.20.108,12445,42,42,8,3
1787953333411751704,4910496629443,192.168.20.11,56489,192.168.20.108,12445,43,43,8,3
1787953333425880167,4910510754313,192.168.20.11,56489,192.168.20.108,12445,44,44,8,3
