Capturing on 'イーサネット 2'
File: C:\Users\hiroyuki\Documents\Orion_CM4\runtime\timing-20260920\network-unicast-r1\pc.pcapng

Packets: 1 
Packets: 19 
Packets: 36 
Packets: 53 
Packets: 71 
Packets: 87 
Packets: 104 
Packets: 121 
Packets: 138 
Packets: 155 
Packets: 172 
Packets: 190 
Packets: 207 
Packets: 224 
Packets: 241 
Packets: 259 
Packets: 276 
Packets: 293 
Packets: 310 
Packets: 327 
Packets: 344 
Packets: 361 
Packets: 378 
Packets: 395 
Packets: 413 
Packets: 429 
Packets: 446 
Packets: 463 
Packets: 480 
Packets: 497 
Packets: 514 
Packets: 530 
Packets: 547 
Packets: 565 
Packets: 582 
Packets: 599 
Packets: 616 
Packets: 633 
Packets: 651 
Packets: 668 
Packets: 685 
Packets: 702 
Packets: 719 
Packets: 736 
Packets: 753 
Packets: 771 
Packets: 788 
Packets: 805 
Packets: 823 
Packets: 840 
Packets: 858 
Packets: 875 
Packets: 892 
Packets: 909 
Packets: 926 
Packets: 943 
Packets: 960 
Packets: 978 
Packets: 995 
Packets: 1012 
Packets: 1030 
Packets: 1047 
Packets: 1064 
Packets: 1081 
Packets: 1098 
Packets: 1115 
Packets: 1132 
Packets: 1149 
Packets: 1166 
Packets: 1184 
Packets: 1201 
Packets: 1218 
Packets: 1236 
Packets: 1253 
Packets: 1270 
Packets: 1287 
Packets: 1304 
Packets: 1321 
Packets: 1339 
Packets: 1356 
Packets: 1373 
Packets: 1390 
Packets: 1407 
Packets: 1423 
Packets: 1440 
Packets: 1457 
Packets: 1474 
Packets: 1491 
Packets: 1508 
Packets: 1525 
Packets: 1543 
Packets: 1560 
Packets: 1577 
Packets: 1594 
Packets: 1611 
Packets: 1629 
Packets: 1645 
Packets: 1663 
Packets: 1680 
Packets: 1698 
Packets: 1715 
Packets: 1732 
Packets: 1749 
Packets: 1766 
Packets: 1783 
Packets: 1800 
Packets: 1817 
Packets: 1835 
Packets: 1852 
Packets: 1870 
Packets: 1887 
Packets: 1904 
Packets: 1921 
Packets: 1938 
Packets: 1955 
Packets: 1973 
Packets: 1990 
Packets: 2000 
Packets captured: 2000
Packets received/dropped on interface 'イーサネット 2': 2000/0 (pcap:0/dumpcap:0/flushed:0/ps_ifdrop:0) (100.0%)
