pc_mono_ns,bytes
76400186919600,1631
76400290477100,1398
76400403199500,1631
76400513262200,1631
76400627243800,1864
76400737101900,1398
76400846834700,1631
76400962596100,1631
76401063036000,1631
76401176709700,1631
76401284184700,1398
76401395757400,1631
76401498879500,1631
76401610408300,1631
76401719963300,1631
76401821863800,1398
76401933352000,1631
76402034355000,1398
76402145927300,1631
76402254749700,1631
76402355790100,1398
76402457957300,1631
76402565350100,1398
76402678703000,1864
76402790718200,1631
76402898426000,1631
76403008272800,1398
76403112328600,1631
76403218019600,1402
76403325308200,1627
76403431306100,1631
76403534214400,1398
76403635671500,1631
76403740439700,1398
76403844046900,1631
76403946367000,1398
76404060055800,1631
76404174945400,1631
76404275524000,1631
76404378173800,1398
76404485541200,1631
76404599988100,1631
76404711189300,1631
76404814777000,1631
76404919197000,1398
76405031817200,1631
76405145591100,1631
76405254890100,1631
76405367958900,1631
76405479842000,1631
76405589465100,1631
76405699571700,1631
76405808808900,1631
76405908970200,1398
76406017597500,1631
76406124715200,1483
76406237880900,1717
76406343654900,1460
76406452480200,1631
76406552886600,1398
76406664734300,1864
76406775316400,1398
76406880674200,1631
76406981636100,1398
76407095783300,1631
76407196539400,1631
76407306003800,1398
76407407171300,1631
76407515346400,1398
76407619876400,1631
76407727690100,1631
76407838165800,1631
76407945796800,1631
76408052422700,1398
76408157331100,1631
76408258406300,1398
76408370586900,1631
76408478158900,1631
76408584619300,1398
76408685598800,1631
76408791473600,1631
76408902105200,1478
76409011293000,1551
76409115288600,1631
76409224313200,1524
76409328354200,1505
76409432810300,1398
76409544616100,1631
76409658888100,1864
76409768847400,1631
76409879995000,1631
76409991518600,1631
76410100576200,1398
76410211733900,1631
76410320530200,1631
76410429562500,1631
76410534194500,1398
76410644798800,1864
76410755753300,1631
76410861084200,1398
76410964845900,1631
76411065928600,1398
76411168377600,1398
76411273198500,1631
76411375592300,1398
76411488957400,1631
76411592906900,1631
76411696357300,1600
76411807666900,1413
76411908473200,1631
76412009269500,1398
76412118819400,1631
76412227803600,1609
76412339362100,1420
76412447040100,1631
76412548425300,1398
76412658843000,1864
76412767867900,1631
76412876333600,1398
76412980918400,1631
76413082477400,1398
76413195820400,1631
76413307404700,1631
76413408482900,1398
76413515418400,1631
76413626856700,1631
76413738363900,1631
76413848331000,1631
76413952494200,1631
76414054210200,1398
76414160385900,1631
76414275464200,1631
76414386375900,1631
76414488684400,1398
76414591082300,1398
76414701115700,1864
76414805497500,1398
76414913530000,1631
76415026956300,1624
76415133519700,1398
76415237850700,1631
76415342845800,1504
76415443953200,1525
76415555507900,1631
76415656073900,1398
76415766858700,1631
76415869245000,1631
76415978249800,1398
76416086494300,1631
76416196509000,1631
76416304586300,1631
76416406974200,1398
76416510983500,1631
76416613787700,1398
76416718505000,1631
76416820207100,1398
76416934819700,1631
76417036229700,1631
76417146421800,1512
76417254856400,1517
76417367500600,1631
76417475899900,1631
76417584991100,1631
76417685574000,1529
76417798862700,1717
76417903369900,1414
76418017663200,1631
76418119534500,1398
76418227022600,1631
76418335688300,1631
76418439152500,1398
76418549349000,1631
76418660048700,1631
76418764886300,1631
76418873147000,1631
76418973859600,1398
76419074680000,1398
76419176448600,1631
76419288403900,1631
76419394277800,1398
76419504434800,1631
76419606907500,1398
76419714038400,1631
76419819487500,1631
76419924142400,1585
76420036996400,1641
76420140095800,1434
76420246337900,1630
76420355932600,1399
76420466066700,1631
76420575246900,1631
76420682898000,1631
76420785490900,1594
76420888276300,1435
76420995214200,1631
76421101055100,1398
76421211968000,1631
76421321973600,1631
76421427381600,1398
76421535423100,1631
76421642597200,1631
76421743753800,1603
76421853550500,1426
76421963059800,1631
76422071514100,1631
76422180751700,1631
76422282067800,1398
76422395775700,1631
76422506765200,1631
76422620481800,1631
76422725335900,1631
76422830790900,1631
76422939884100,1398
76423051632500,1631
76423153194900,1631
76423257542800,1398
76423370234100,1631
76423484771700,1631
76423584998700,1398
76423690943200,1631
76423796977900,1631
76423905691600,1631
76424013990700,1631
76424117457700,1398
76424226829200,1631
76424329232500,1398
76424429283700,1398
76424540481200,1631
76424650141800,1631
76424759196300,1631
76424861835000,1631
76424970246600,1398
76425076637400,1631
76425177752100,1398
76425285659500,1631
76425386018100,1398
76425486464500,1409
76425595531100,1620
76425704991900,1631
76425814661600,1631
76425923040300,1631
76426031664900,1631
76426137618900,1398
76426239310700,1631
76426348001900,1482
76426449846900,1547
76426565094900,1631
76426673953600,1631
76426775603500,1631
76426882618200,1398
76426992707900,1631
76427099819400,1631
76427201554200,1398
76427309676400,1631
76427411816900,1398
76427514810000,1398
76427625049700,1631
76427731196200,1631
76427836529800,1631
76427944173200,1631
76428057633800,1631
76428170983200,1631
76428279035600,1398
76428392853000,1698
76428498314200,1564
76428608726500,1631
76428718890100,1631
76428827120300,1631
76428936148200,1631
76429050856300,1631
76429150970600,1398
76429256961600,1631
76429368098500,1631
76429477909800,1398
76429587681600,1631
76429695835100,1631
76429805453200,1631
76429916059200,1631
76430025205900,1631
76430138743600,1631
76430240923000,1398
76430349481900,1631
76430449507300,1398
76430549839100,1398
76430660701800,1631
76430770891100,1864
76430873638800,1398
76430981949300,1631
76431086111800,1398
76431194403400,1631
76431296024000,1398
76431406040900,1631
76431518774000,1631
76431627888200,1631
76431730128700,1398
76431840460600,1864
76431941853200,1398
76432043312300,1398
76432155453800,1631
76432264350800,1631
76432378951800,1631
76432492507300,1631
76432592618500,1398
76432702622600,1631
76432802819200,1631
76432911921800,1631
76433029306100,1631
76433136291100,1631
76433237095600,1398
76433342663900,1398
76433449372000,1631
76433558641800,1631
76433664415600,1398
76433779545500,1851
76433893943600,1644
76434006543800,1631
76434109534500,1627
76434218854300,1402
76434331970300,1631
76434435060400,1631
76434543133600,1398
76434644155600,1631
76434747167500,1398
76434859265100,1864
76434970147000,1446
76435071663700,1583
76435182452600,1631
76435292691200,1567
76435403350800,1462
76435513095900,1631
76435621575600,1631
76435725575900,1398
76435833494800,1864
76435944777200,1552
76436059094800,1710
76436170792100,1631
76436284447000,1631
76436398092700,1631
76436512809100,1619
76436619518400,1398
76436732458700,1631
76436842582800,1864
76436953742500,1631
76437054143400,1398
76437155146300,1398
76437255854000,1398
76437363777100,1631
76437468020000,1631
76437580421800,1631
76437680578600,1398
76437784883800,1398
76437884831800,1631
