event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954291653999929,1787954291653933873,5868738808001,0,0,0,0
tx,1,1,1,1,1787954291654005540,1787954291653933873,5868738813723,5868738858464,72,0,0
rx,2,2,1,1,1787954291655172633,1787954291655024466,5868739980705,0,0,0,0
tx,2,2,1,1,1787954291655178392,1787954291655024466,5868739986575,5868740016983,72,0,0
rx,3,3,1,1,1787954291656301818,1787954291656174040,5868741109890,0,0,0,0
tx,3,3,1,1,1787954291656305429,1787954291656174040,5868741113612,5868741127112,72,0,0
rx,4,4,1,1,1787954291657404540,1787954291657288151,5868742212612,0,0,0,0
tx,4,4,1,1,1787954291657408058,1787954291657288151,5868742216242,5868742228372,72,0,0
rx,5,5,1,1,1787954291658502632,1787954291658402836,5868743310705,0,0,0,0
tx,5,5,1,1,1787954291658506058,1787954291658402836,5868743314242,5868743325501,72,0,0
rx,6,6,1,1,1787954291659600077,1787954291659524021,5868744408149,0,0,0,0
tx,6,6,1,1,1787954291659603429,1787954291659524021,5868744411612,5868744423631,72,0,0
rx,7,7,1,1,1787954291756634632,1787954291756306447,5868841442705,0,0,0,0
tx,7,7,1,1,1787954291756639114,1787954291756306447,5868841447372,5868841470409,72,0,0
rx,8,8,1,1,1787954291757767762,1787954291757415892,5868842575835,0,0,0,0
tx,8,8,1,1,1787954291757771540,1787954291757415892,5868842579723,5868842593316,72,0,0
rx,9,9,1,1,1787954291758870521,1787954291758559503,5868843678594,0,0,0,0
tx,9,9,1,1,1787954291758873984,1787954291758559503,5868843682168,5868843693927,72,0,0
rx,10,10,1,1,1787954291759969669,1787954291759661410,5868844777742,0,0,0,0
tx,10,10,1,1,1787954291759976058,1787954291759661410,5868844784242,5868844797353,72,0,0
rx,11,11,1,1,1787954291761074577,1787954291760779151,5868845882649,0,0,0,0
tx,11,11,1,1,1787954291761077855,1787954291760779151,5868845886038,5868845897316,72,0,0
rx,12,12,1,1,1787954291762173892,1787954291761921540,5868846981964,0,0,0,0
tx,12,12,1,1,1787954291762177521,1787954291761921540,5868846985705,5868846998779,72,0,0
rx,13,13,1,1,1787954291763274373,1787954291763026021,5868848082446,0,0,0,0
