kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954291653933873,5868738824057,192.168.20.11,65033,192.168.20.255,12345,1,1,8,3
1787954291655024466,5868739878946,192.168.20.11,65033,192.168.20.255,12345,2,2,8,3
1787954291656174040,5868741022890,192.168.20.11,65033,192.168.20.255,12345,3,3,8,3
1787954291657288151,5868742131353,192.168.20.11,65033,192.168.20.255,12345,4,4,8,3
1787954291658402836,5868743241242,192.168.20.11,65033,192.168.20.255,12345,5,5,8,3
1787954291659524021,5868744368279,192.168.20.11,65033,192.168.20.255,12345,6,6,8,3
1787954291756306447,5868841195946,192.168.20.11,65033,192.168.20.255,12345,7,7,8,3
1787954291757415892,5868842264538,192.168.20.11,65033,192.168.20.255,12345,8,8,8,3
1787954291758559503,5868843405149,192.168.20.11,65033,192.168.20.255,12345,9,9,8,3
1787954291759661410,5868844506446,192.168.20.11,65033,192.168.20.255,12345,10,10,8,3
1787954291760779151,5868845618335,192.168.20.11,65033,192.168.20.255,12345,11,11,8,3
1787954291761921540,5868846763223,192.168.20.11,65033,192.168.20.255,12345,12,12,8,3
1787954291763026021,5868847865001,192.168.20.11,65033,192.168.20.255,12345,13,13,8,3
1787954291858741021,5868943643575,192.168.20.11,65033,192.168.20.255,12345,14,14,8,3
1787954291859819836,5868944667223,192.168.20.11,65033,192.168.20.255,12345,15,15,8,3
1787954291860980836,5868945823760,192.168.20.11,65033,192.168.20.255,12345,16,16,8,3
1787954291862097651,5868946938168,192.168.20.11,65033,192.168.20.255,12345,17,17,8,3
1787954291863238003,5868948086260,192.168.20.11,65033,192.168.20.255,12345,18,18,8,3
1787954291864348466,5868949192686,192.168.20.11,65033,192.168.20.255,12345,19,19,8,3
1787954291865461095,5868950297853,192.168.20.11,65033,192.168.20.255,12345,20,20,8,3
1787954291961137799,5869046026131,192.168.20.11,65033,192.168.20.255,12345,21,21,8,3
1787954291962271003,5869047114279,192.168.20.11,65033,192.168.20.255,12345,22,22,8,3
1787954291963465503,5869048307612,192.168.20.11,65033,192.168.20.255,12345,23,23,8,3
1787954291964588540,5869049431390,192.168.20.11,65033,192.168.20.255,12345,24,24,8,3
1787954291965704132,5869050544908,192.168.20.11,65033,192.168.20.255,12345,25,25,8,3
1787954291966823540,5869051662853,192.168.20.11,65033,192.168.20.255,12345,26,26,8,3
1787954291967946373,5869052785890,192.168.20.11,65033,192.168.20.255,12345,27,27,8,3
1787954292063517651,5869148397094,192.168.20.11,65033,192.168.20.255,12345,28,28,8,3
1787954292064631669,5869149478020,192.168.20.11,65033,192.168.20.255,12345,29,29,8,3
1787954292065789521,5869150635797,192.168.20.11,65033,192.168.20.255,12345,30,30,8,3
1787954292066889373,5869151727760,192.168.20.11,65033,192.168.20.255,12345,31,31,8,3
1787954292067992077,5869152831631,192.168.20.11,65033,192.168.20.255,12345,32,32,8,3
1787954292069114429,5869153951297,192.168.20.11,65033,192.168.20.255,12345,33,33,8,3
1787954292070232095,5869155069927,192.168.20.11,65033,192.168.20.255,12345,34,34,8,3
1787954292165926262,5869250802834,192.168.20.11,65033,192.168.20.255,12345,35,35,8,3
1787954292167034984,5869251877279,192.168.20.11,65033,192.168.20.255,12345,36,36,8,3
1787954292168176299,5869253019001,192.168.20.11,65033,192.168.20.255,12345,37,37,8,3
1787954292169297540,5869254139223,192.168.20.11,65033,192.168.20.255,12345,38,38,8,3
1787954292170414428,5869255255501,192.168.20.11,65033,192.168.20.255,12345,39,39,8,3
1787954292171533354,5869256373871,192.168.20.11,65033,192.168.20.255,12345,40,40,8,3
1787954292172653095,5869257491982,192.168.20.11,65033,192.168.20.255,12345,41,41,8,3
1787954292268317003,5869353191168,192.168.20.11,65033,192.168.20.255,12345,42,42,8,3
1787954292269421077,5869354259964,192.168.20.11,65033,192.168.20.255,12345,43,43,8,3
1787954292270534854,5869355371668,192.168.20.11,65033,192.168.20.255,12345,44,44,8,3
1787954292271659503,5869356497093,192.168.20.11,65033,192.168.20.255,12345,45,45,8,3
1787954292272775799,5869357613316,192.168.20.11,65033,192.168.20.255,12345,46,46,8,3
1787954292273917280,5869358759260,192.168.20.11,65033,192.168.20.255,12345,47,47,8,3
1787954292370725336,5869455597982,192.168.20.11,65033,192.168.20.255,12345,48,48,8,3
1787954292371851039,5869456709316,192.168.20.11,65033,192.168.20.255,12345,49,49,8,3
1787954292372963410,5869457800705,192.168.20.11,65033,192.168.20.255,12345,50,50,8,3
1787954292374082114,5869458919112,192.168.20.11,65033,192.168.20.255,12345,51,51,8,3
1787954292375209447,5869460050408,192.168.20.11,65033,192.168.20.255,12345,52,52,8,3
1787954292376324243,5869461162353,192.168.20.11,65033,192.168.20.255,12345,53,53,8,3
1787954292377440410,5869462278056,192.168.20.11,65033,192.168.20.255,12345,54,54,8,3
1787954292473180891,5869558054667,192.168.20.11,65033,192.168.20.255,12345,55,55,8,3
1787954292474333984,5869559174630,192.168.20.11,65033,192.168.20.255,12345,56,56,8,3
1787954292475473613,5869560314223,192.168.20.11,65033,192.168.20.255,12345,57,57,8,3
1787954292476605836,5869561465093,192.168.20.11,65033,192.168.20.255,12345,58,58,8,3
1787954292477702410,5869562539945,192.168.20.11,65033,192.168.20.255,12345,59,59,8,3
1787954292478818836,5869563654538,192.168.20.11,65033,192.168.20.255,12345,60,60,8,3
1787954292479934910,5869564773667,192.168.20.11,65033,192.168.20.255,12345,61,61,8,3
1787954292575573780,5869660453038,192.168.20.11,65033,192.168.20.255,12345,62,62,8,3
1787954292576710965,5869661552982,192.168.20.11,65033,192.168.20.255,12345,63,63,8,3
1787954292577826854,5869662665945,192.168.20.11,65033,192.168.20.255,12345,64,64,8,3
1787954292579154595,5869663993890,192.168.20.11,65033,192.168.20.255,12345,65,65,8,3
1787954292580263576,5869665108427,192.168.20.11,65033,192.168.20.255,12345,66,66,8,3
1787954292581384002,5869666223445,192.168.20.11,65033,192.168.20.255,12345,67,67,8,3
1787954292582503447,5869667341704,192.168.20.11,65033,192.168.20.255,12345,68,68,8,3
1787954292677952095,5869762828945,192.168.20.11,65033,192.168.20.255,12345,69,69,8,3
