pc_mono_ns,bytes
77349874263100,1610
77349984270800,1610
77350087891400,1610
77350190027600,1380
77350302053200,1610
77350410192200,1610
77350512065000,1380
77350615954700,1500
77350719914100,1490
77350827612700,1610
77350938231200,1610
77351038901500,1380
77351146076900,1610
77351251942700,1506
77351352249800,1484
77351454272600,1380
77351554777600,1380
77351657748500,1610
77351763381100,1380
77351867782100,1610
77351976156400,1610
77352078821500,1380
77352186401900,1610
77352295108600,1610
77352403294900,1516
77352503823100,1474
77352614175500,1610
77352717222800,1380
77352824715300,1610
77352932376000,1610
77353037055300,1380
77353149532400,1610
77353258522800,1610
77353371737300,1610
77353476494900,1610
77353580076000,1380
77353684001300,1610
77353793506900,1380
77353904423500,1840
77354014949000,1610
77354120745300,1380
77354233631200,1610
77354344303700,1610
77354451282500,1610
77354554208700,1380
77354659913900,1610
77354778127600,1610
77354886392800,1610
77354999463200,1610
77355101026200,1610
77355208885700,1380
77355317310400,1610
77355420601200,1380
77355526127800,1610
77355630323600,1380
77355737772300,1610
77355846598000,1610
77355955134200,1610
77356057392700,1380
77356171579700,1840
77356281595200,1380
77356388197200,1610
77356498590500,1610
77356606273100,1587
77356716251900,1403
77356824237500,1610
77356935447000,1654
77357039210900,1566
77357154519600,1610
77357267083000,1610
77357368705300,1380
77357468863700,1610
77357576712400,1380
77357687934700,1610
77357797471800,1610
77357906909600,1610
77358016895100,1610
77358127757300,1610
77358237346800,1610
77358345264400,1610
77358449784800,1380
77358562641800,1610
77358676911300,1610
77358784952300,1610
77358885206500,1380
77358994553600,1610
77359102229100,1610
77359211832500,1610
77359320516200,1610
77359421253300,1380
77359533115300,1610
77359633353800,1380
77359746572800,1610
77359848104000,1380
77359957987500,1840
77360066725300,1380
77360180587900,1783
77360283265200,1409
77360396975000,1596
77360504064200,1596
77360620475400,1596
77360727852200,1519
77360837311300,1445
77360945120900,1718
77361054207200,1474
77361163869700,1561
77361273194500,1561
77361376224600,1338
77361487568300,1561
77361598830200,1561
77361709467500,1561
77361818825900,1561
77361924792100,1338
77362028006600,1561
77362138852100,1561
77362240457000,1338
77362350312100,1561
77362451151400,1561
77362557996000,1338
77362664619700,1561
77362779854800,1561
77362883877100,1338
77362988478200,1561
77363095816300,1561
77363196961900,1338
77363306325400,1561
77363407712600,1338
77363512647700,1561
77363621379900,1561
77363724465400,1338
77363830168400,1561
77363934012000,1338
77364039872000,1561
77364141582300,1510
77364249343200,1389
77364351720300,1561
77364467184900,1561
77364573612100,1338
77364684523100,1561
77364786147900,1561
77364888540900,1338
77364995485600,1561
77365108474300,1561
77365218269100,1561
77365327267600,1561
77365431712100,1338
77365532398400,1338
77365638215800,1561
77365739759600,1338
77365841965200,1561
77365942949200,1338
77366043464200,1561
77366159876900,1561
77366269083600,1561
77366372917000,1338
77366476542300,1561
77366587947200,1338
77366701294600,1673
77366809461400,1449
77366919595900,1561
77367030105100,1561
77367136426300,1561
77367248067800,1561
77367358246600,1561
77367473106100,1561
77367576724000,1338
77367690208300,1561
77367800664900,1561
77367908319900,1561
77368022377300,1784
77368124618000,1338
77368232480700,1561
77368341270500,1338
77368444635900,1561
77368554497700,1561
77368667783300,1561
77368771792000,1338
77368878350200,1561
77368985727900,1561
77369087636400,1338
77369198879000,1561
77369308222300,1561
77369422541700,1561
77369537612800,1561
77369646388400,1561
77369750456300,1338
77369851399800,2446
77369960409600,3270
77370075157500,3463
77370183619700,3362
77370293025500,3437
77370403946300,3499
77370515778400,3530
77370626677200,3685
77370735478900,3715
77370840837200,3706
77370954551900,1596
77371058031600,1596
77371168029400,1368
77371277357900,1596
77371385879000,1596
77371490899000,1368
77371602313600,1596
77371704621000,1596
77371816051400,1596
77371920872400,1368
77372033290500,1824
77372138672100,1368
77372254033800,1596
77372359178700,1596
77372471953800,1596
77372578405100,1530
77372689084700,1434
77372791224500,1596
77372895460800,1368
77372998544800,1596
77373104360800,1596
77373207683900,1368
77373316421100,1596
77373417478500,1368
77373530151300,1588
77373633896900,1596
77373736671500,1368
77373847886800,1596
77373956726500,1596
77374069503600,1596
77374178502400,1596
77374288496700,1596
77374398710000,1596
77374513048100,1596
77374627389600,1596
77374737018800,1596
77374848430200,1479
77374959890500,1478
77375065824500,1596
77375179314600,1824
77375286878900,1368
77375398966500,1596
77375506435700,1596
77375609538200,1368
