event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954319302158023,1787954319301397690,5896386966077,0,0,0,0
tx,1,1,1,1,1787954319302162875,1787954319301397690,5896386971114,5896387031763,72,0,0
rx,2,2,1,1,1787954319317193764,1787954319316321431,5896402001818,0,0,0,0
tx,2,2,1,1,1787954319317198357,1787954319316321431,5896402006540,5896402027466,72,0,0
rx,3,3,1,1,1787954319332158931,1787954319331305246,5896416967003,0,0,0,0
tx,3,3,1,1,1787954319332162653,1787954319331305246,5896416971151,5896416985818,72,0,0
rx,4,4,1,1,1787954319347131042,1787954319346301672,5896431939096,0,0,0,0
tx,4,4,1,1,1787954319347135375,1787954319346301672,5896431943614,5896431962929,72,0,0
rx,5,5,1,1,1787954319362099857,1787954319361304449,5896446907911,0,0,0,0
tx,5,5,1,1,1787954319362104153,1787954319361304449,5896446912392,5896446930763,72,0,0
rx,6,6,1,1,1787954319377061949,1787954319376297449,5896461870003,0,0,0,0
tx,6,6,1,1,1787954319377065560,1787954319376297449,5896461873781,5896461888633,72,0,0
rx,7,7,1,1,1787954319392007060,1787954319391294820,5896476815133,0,0,0,0
tx,7,7,1,1,1787954319392012060,1787954319391294820,5896476820244,5896476835837,72,0,0
rx,8,8,1,1,1787954319406977894,1787954319406318857,5896491785966,0,0,0,0
tx,8,8,1,1,1787954319406982264,1787954319406318857,5896491790466,5896491818392,72,0,0
rx,9,9,1,1,1787954319421951375,1787954319421300153,5896506759355,0,0,0,0
tx,9,9,1,1,1787954319421955116,1787954319421300153,5896506763355,5896506778633,72,0,0
rx,10,10,1,1,1787954319436925579,1787954319436294542,5896521733633,0,0,0,0
tx,10,10,1,1,1787954319436928986,1787954319436294542,5896521737170,5896521750762,72,0,0
rx,11,11,1,1,1787954319451984579,1787954319451314523,5896536792651,0,0,0,0
tx,11,11,1,1,1787954319451988616,1787954319451314523,5896536796855,5896536820392,72,0,0
rx,12,12,1,1,1787954319466957320,1787954319466297653,5896551765374,0,0,0,0
tx,12,12,1,1,1787954319466960801,1787954319466297653,5896551768985,5896551783818,72,0,0
rx,13,13,1,1,1787954319481918931,1787954319481294412,5896566727003,0,0,0,0
tx,13,13,1,1,1787954319481922486,1787954319481294412,5896566730670,5896566743707,72,0,0
rx,14,14,1,1,1787954319496876597,1787954319496309634,5896581684670,0,0,0,0
tx,14,14,1,1,1787954319496881005,1787954319496309634,5896581689262,5896581711688,72,0,0
rx,15,15,1,1,1787954319511842764,1787954319511303394,5896596650836,0,0,0,0
tx,15,15,1,1,1787954319511848338,1787954319511303394,5896596656577,5896596671670,72,0,0
rx,16,16,1,1,1787954319526790634,1787954319526293394,5896611598707,0,0,0,0
tx,16,16,1,1,1787954319526794005,1787954319526293394,5896611602188,5896611622114,72,0,0
rx,17,17,1,1,1787954319541771505,1787954319541302060,5896626579577,0,0,0,0
tx,17,17,1,1,1787954319541775634,1787954319541302060,5896626583911,5896626602336,72,0,0
rx,18,18,1,1,1787954319556760208,1787954319556303245,5896641568262,0,0,0,0
tx,18,18,1,1,1787954319556764375,1787954319556303245,5896641572633,5896641593151,72,0,0
rx,19,19,1,1,1787954319571727338,1787954319571294616,5896656535411,0,0,0,0
tx,19,19,1,1,1787954319571730968,1787954319571294616,5896656539151,5896656552633,72,0,0
rx,20,20,1,1,1787954319586690208,1787954319586291560,5896671498262,0,0,0,0
tx,20,20,1,1,1787954319586693579,1787954319586291560,5896671501762,5896671515022,72,0,0
rx,21,21,1,1,1787954319601652616,1787954319601310820,5896686460688,0,0,0,0
tx,21,21,1,1,1787954319601657171,1787954319601310820,5896686465411,5896686486855,72,0,0
rx,22,22,1,1,1787954319616617097,1787954319616296449,5896701425170,0,0,0,0
tx,22,22,1,1,1787954319616622579,1787954319616296449,5896701430762,5896701445022,72,0,0
rx,23,23,1,1,1787954319631559931,1787954319631292857,5896716368003,0,0,0,0
tx,23,23,1,1,1787954319631563357,1787954319631292857,5896716371540,5896716384096,72,0,0
rx,24,24,1,1,1787954319646498116,1787954319646299634,5896731306188,0,0,0,0
tx,24,24,1,1,1787954319646502134,1787954319646299634,5896731310373,5896731328355,72,0,0
rx,25,25,1,1,1787954319661493005,1787954319661304301,5896746301077,0,0,0,0
tx,25,25,1,1,1787954319661497505,1787954319661304301,5896746305762,5896746324818,72,0,0
rx,26,26,1,1,1787954319676467227,1787954319676298282,5896761275299,0,0,0,0
tx,26,26,1,1,1787954319676470820,1787954319676298282,5896761279114,5896761293114,72,0,0
rx,27,27,1,1,1787954319691415301,1787954319691293134,5896776223373,0,0,0,0
tx,27,27,1,1,1787954319691418912,1787954319691293134,5896776227151,5896776240762,72,0,0
rx,28,28,1,1,1787954319706387986,1787954319706301338,5896791196040,0,0,0,0
tx,28,28,1,1,1787954319706392227,1787954319706301338,5896791200503,5896791218781,72,0,0
rx,29,29,1,1,1787954319721347764,1787954319721293208,5896806155818,0,0,0,0
tx,29,29,1,1,1787954319721352838,1787954319721293208,5896806161022,5896806175373,72,0,0
rx,30,30,1,1,1787954319737363968,1787954319736292005,5896822172040,0,0,0,0
tx,30,30,1,1,1787954319737369468,1787954319736292005,5896822177651,5896822190133,72,0,0
rx,31,31,1,1,1787954319752343042,1787954319751318764,5896837151096,0,0,0,0
tx,31,31,1,1,1787954319752347153,1787954319751318764,5896837155373,5896837175559,72,0,0
rx,32,32,1,1,1787954319767324468,1787954319766295671,5896852132522,0,0,0,0
tx,32,32,1,1,1787954319767328171,1787954319766295671,5896852136392,5896852151484,72,0,0
rx,33,33,1,1,1787954319782305338,1787954319781293042,5896867113410,0,0,0,0
tx,33,33,1,1,1787954319782309116,1787954319781293042,5896867117299,5896867130984,72,0,0
rx,34,34,1,1,1787954319797275227,1787954319796309412,5896882083299,0,0,0,0
tx,34,34,1,1,1787954319797279708,1787954319796309412,5896882088096,5896882106355,72,0,0
rx,35,35,1,1,1787954319812288319,1787954319811296727,5896897096373,0,0,0,0
tx,35,35,1,1,1787954319812292023,1787954319811296727,5896897100207,5896897115503,72,0,0
rx,36,36,1,1,1787954319827246616,1787954319826291560,5896912054670,0,0,0,0
tx,36,36,1,1,1787954319827250523,1787954319826291560,5896912058707,5896912071929,72,0,0
rx,37,37,1,1,1787954319842199875,1787954319841291838,5896927007947,0,0,0,0
tx,37,37,1,1,1787954319842206134,1787954319841291838,5896927014318,5896927032892,72,0,0
rx,38,38,1,1,1787954319857184301,1787954319856325338,5896941992373,0,0,0,0
tx,38,38,1,1,1787954319857199801,1787954319856325338,5896942008059,5896942031984,72,0,0
rx,39,39,1,1,1787954319872186708,1787954319871306134,5896956994781,0,0,0,0
tx,39,39,1,1,1787954319872190819,1787954319871306134,5896956999003,5896957018540,72,0,0
rx,40,40,1,1,1787954319887148282,1787954319886297227,5896971956355,0,0,0,0
tx,40,40,1,1,1787954319887152319,1787954319886297227,5896971960558,5896971975355,72,0,0
rx,41,41,1,1,1787954319902119968,1787954319901314468,5896986928040,0,0,0,0
tx,41,41,1,1,1787954319902124153,1787954319901314468,5896986932392,5896986954558,72,0,0
rx,42,42,1,1,1787954319917099134,1787954319916312301,5897001907207,0,0,0,0
tx,42,42,1,1,1787954319917103727,1787954319916312301,5897001911984,5897001940244,72,0,0
rx,43,43,1,1,1787954319932087690,1787954319931306190,5897016895762,0,0,0,0
tx,43,43,1,1,1787954319932091819,1787954319931306190,5897016900281,5897016916521,72,0,0
rx,44,44,1,1,1787954319947079986,1787954319946310782,5897031888040,0,0,0,0
tx,44,44,1,1,1787954319947086838,1787954319946310782,5897031895040,5897031916503,72,0,0
rx,45,45,1,1,1787954319962060875,1787954319961303338,5897046868947,0,0,0,0
tx,45,45,1,1,1787954319962065338,1787954319961303338,5897046873558,5897046891484,72,0,0
rx,46,46,1,1,1787954319977020893,1787954319976296467,5897061828966,0,0,0,0
