kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954319301397690,5896386294374,127.0.0.1,53051,127.0.0.1,12345,1,1,8,3
1787954319316321431,5896401166874,127.0.0.1,53051,127.0.0.1,12345,2,2,8,3
1787954319331305246,5896416146207,127.0.0.1,53051,127.0.0.1,12345,3,3,8,3
1787954319346301672,5896431140633,127.0.0.1,53051,127.0.0.1,12345,4,4,8,3
1787954319361304449,5896446144948,127.0.0.1,53051,127.0.0.1,12345,5,5,8,3
1787954319376297449,5896461135096,127.0.0.1,53051,127.0.0.1,12345,6,6,8,3
1787954319391294820,5896476131725,127.0.0.1,53051,127.0.0.1,12345,7,7,8,3
1787954319406318857,5896491188077,127.0.0.1,53051,127.0.0.1,12345,8,8,8,3
1787954319421300153,5896506142633,127.0.0.1,53051,127.0.0.1,12345,9,9,8,3
1787954319436294542,5896521132818,127.0.0.1,53051,127.0.0.1,12345,10,10,8,3
1787954319451314523,5896536182337,127.0.0.1,53051,127.0.0.1,12345,11,11,8,3
1787954319466297653,5896551135985,127.0.0.1,53051,127.0.0.1,12345,12,12,8,3
1787954319481294412,5896566131448,127.0.0.1,53051,127.0.0.1,12345,13,13,8,3
1787954319496309634,5896581327799,127.0.0.1,53051,127.0.0.1,12345,14,14,8,3
1787954319511303394,5896596147059,127.0.0.1,53051,127.0.0.1,12345,15,15,8,3
1787954319526293394,5896611130929,127.0.0.1,53051,127.0.0.1,12345,16,16,8,3
1787954319541302060,5896626152503,127.0.0.1,53051,127.0.0.1,12345,17,17,8,3
1787954319556303245,5896641144373,127.0.0.1,53051,127.0.0.1,12345,18,18,8,3
1787954319571294616,5896656132022,127.0.0.1,53051,127.0.0.1,12345,19,19,8,3
1787954319586291560,5896671126836,127.0.0.1,53051,127.0.0.1,12345,20,20,8,3
1787954319601310820,5896686172818,127.0.0.1,53051,127.0.0.1,12345,21,21,8,3
1787954319616296449,5896701136059,127.0.0.1,53051,127.0.0.1,12345,22,22,8,3
1787954319631292857,5896716130244,127.0.0.1,53051,127.0.0.1,12345,23,23,8,3
1787954319646299634,5896731145059,127.0.0.1,53051,127.0.0.1,12345,24,24,8,3
1787954319661304301,5896746146281,127.0.0.1,53051,127.0.0.1,12345,25,25,8,3
1787954319676298282,5896761136929,127.0.0.1,53051,127.0.0.1,12345,26,26,8,3
1787954319691293134,5896776129985,127.0.0.1,53051,127.0.0.1,12345,27,27,8,3
1787954319706301338,5896791140836,127.0.0.1,53051,127.0.0.1,12345,28,28,8,3
1787954319721293208,5896806131336,127.0.0.1,53051,127.0.0.1,12345,29,29,8,3
