pc_mono_ns,bytes
77377609205500,62
77377834100500,82
77378801255000,1320
77378914319400,1624
77379024710900,1624
77379137726400,1624
77379250689800,1624
77379353443800,1624
77379468897500,1624
77379579723300,1624
77379690120100,1604
77379799858300,1423
77379906922800,1611
77380007667900,1368
77380118414900,1596
77380228907900,1596
77380338361100,1596
77380439349400,1596
77380550707300,1448
77380659697100,1516
77380768147000,1596
77380873255800,1542
77380981673900,1422
77381082408000,1503
77381190260900,1461
77381301451600,1824
77381410889000,1368
77381524176800,1596
77381629387400,1596
77381745217300,1596
77381854362800,1596
77381966714500,1596
77382076234300,1596
77382186291200,1596
77382295026800,1596
77382397047600,1368
77382503389800,1596
77382614862600,1596
77382715036800,1368
77382815318800,1368
77382923643200,1596
77383024258500,1368
77383133829600,1596
77383243206500,1596
77383351975900,1596
77383466658500,1596
77383571489100,1596
77383675111300,1368
77383788176000,1596
77383895970700,1596
77384001635700,1368
77384102517800,1596
77384211361800,1368
77384319890000,1824
77384422568400,1368
77384536743700,1596
77384644778400,1596
77384749976700,1368
77384859835800,1596
77384964372200,1596
77385075638500,1474
77385186282100,1490
77385298235800,1824
77385404645700,1368
77385509149400,1596
77385618997600,1596
77385735071500,1596
77385842897600,1596
77385952488800,1370
77386064116700,1594
77386172830500,1596
77386282348500,1596
77386395301600,1614
77386502973000,1578
77386607092900,1596
77386713603200,1368
77386813932500,1368
77386919953900,1596
77387024253000,1581
77387135285800,1383
77387245270800,1596
77387355884900,1829
77387471020300,1603
77387580394300,1603
77387692049100,1525
77387798520900,1446
77387914806800,1596
77388023416600,1596
77388137676400,1596
77388247233100,1596
77388357269700,1596
77388472932700,1610
77388581680500,1582
77388688796400,1596
77388792727300,1343
77388902924000,1561
77389014908300,1561
77389130400700,1561
77389237215800,1561
77389347720500,1561
77389462133000,1561
77389571408600,1561
77389683627000,1561
77389795295600,1561
77389896858900,1338
77390006139000,1561
77390119857800,1561
77390226750700,1561
77390335317100,1561
77390440599800,1561
77390545365000,1338
77390646316300,1338
77390751469000,1561
77390859051800,1561
77390968316500,1338
77391077512900,1561
77391178246000,1499
77391286476800,1400
77391393645400,1561
77391507568400,1561
77391609800800,1561
77391711310800,1338
77391813687300,1411
77391921455500,1488
77392022456900,1338
77392129490200,1561
77392234151300,1561
77392338408400,1561
77392440921600,1338
77392556057700,1561
77392658969700,1402
77392760693900,1497
77392875983800,1561
77392977814500,1338
77393078983000,1561
77393193452300,1561
77393302368300,1338
77393409595300,1784
77393516716900,1338
77393627229900,1561
77393740063300,1561
77393840501200,1338
77393949744500,1561
77394051704700,1371
77394160710900,1528
77394272375200,1561
77394380576000,1561
77394483345600,1561
77394589802300,1338
77394701562500,1561
77394807717800,1561
77394907969800,1338
77395016852400,1561
77395127811900,1561
77395229710300,1338
77395340420600,1738
77395446811300,1384
77395554612500,1561
77395654634600,1338
77395755126900,1338
77395864490500,1561
77395976018400,1561
77396080954800,1490
77396184428000,1409
77396291010600,1561
77396401449500,1561
77396504752900,1338
77396605210800,1561
77396705857900,1338
77396806341000,1338
77396910275800,1509
77397010527100,1390
77397119044200,1357
77397219646600,2140
77397335020800,3393
77397444508300,3333
77397548184000,3190
77397648596300,3134
77397755280200,3383
77397863933500,3340
77397976068900,3672
77398088491700,3753
77398202274100,3890
77398302592000,3398
77398413474500,3873
77398514664600,2274
77398619210000,1596
77398719295200,1368
77398821353400,1368
77398922907700,1491
77399031198400,1473
77399137087500,1596
77399238309000,1368
77399340414300,1368
77399445530900,1596
77399561044900,1824
77399661178400,1368
77399762638600,1368
77399865092400,1556
77399974047900,1408
77400080054800,1596
77400182791300,1368
77400291705200,1596
77400396913600,1596
77400501729800,1596
77400616888700,1596
77400719547800,1368
77400835553900,1596
77400938651000,1596
77401046095300,1368
77401153348000,1596
77401266860600,1596
77401376641300,1596
77401484620000,1596
77401591803700,1596
77401704281900,1596
77401804883800,1368
77401916728900,1596
77402027958800,1596
77402128371000,1368
77402231991800,1589
77402335354700,1375
77402435967400,1596
77402544074900,1368
77402644901600,1596
77402746891400,1368
