event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954347975476784,1787954347974956932,5925060284857,0,0,0,0
tx,1,1,1,1,1787954347975482525,1787954347974956932,5925060290708,5925060336986,72,0,0
rx,2,2,1,1,1787954347976650803,1787954347976092488,5925061458875,0,0,0,0
rx,3,3,1,1,1787954347978795932,1787954347977963451,5925063603986,0,0,0,0
tx,3,10,1,1,1787954347985190377,1787954347977963451,5925069998597,5925070016671,72,0,0
tx,3,20,1,1,1787954347995890377,1787954347977963451,5925080698560,5925080710653,72,0,0
tx,3,29,1,1,1787954348005482932,1787954347977963451,5925090291116,5925090302634,72,0,0
tx,3,38,1,1,1787954348015074506,1787954347977963451,5925099882690,5925099893801,72,0,0
tx,3,48,1,1,1787954348025736117,1787954347977963451,5925110544412,5925110559560,72,0,0
tx,3,57,1,1,1787954348035338229,1787954347977963451,5925120146468,5925120160245,72,0,0
tx,3,66,1,1,1787954348045055136,1787954347977963451,5925129863319,5925129878060,72,0,0
tx,3,76,1,1,1787954348055732691,1787954347977963451,5925140540875,5925140552708,72,0,0
tx,3,85,1,1,1787954348065334803,1787954347977963451,5925150142986,5925150154005,72,0,0
tx,3,95,1,1,1787954348075997173,1787954347977963451,5925160805431,5925160820671,72,0,0
rx,4,4,1,1,1787954348078145821,1787954348077375173,5925162953875,0,0,0,0
rx,5,5,1,1,1787954348079215580,1787954348078473969,5925164023653,0,0,0,0
rx,6,6,1,1,1787954348080284062,1787954348079590895,5925165092134,0,0,0,0
rx,7,7,1,1,1787954348081353654,1787954348080708562,5925166161708,0,0,0,0
rx,8,8,1,1,1787954348082422710,1787954348081836173,5925167230782,0,0,0,0
rx,9,9,1,1,1787954348083493636,1787954348082949895,5925168301708,0,0,0,0
tx,9,104,1,1,1787954348085626062,1787954348082949895,5925170434319,5925170448931,72,0,0
tx,9,113,1,1,1787954348095266914,1787954348082949895,5925180075097,5925180087060,72,0,0
tx,9,123,1,1,1787954348105925840,1787954348082949895,5925190734023,5925190745060,72,0,0
tx,9,132,1,1,1787954348115516766,1787954348082949895,5925200324949,5925200335560,72,0,0
tx,9,141,1,1,1787954348125107321,1787954348082949895,5925209915505,5925209926190,72,0,0
tx,9,151,1,1,1787954348135767710,1787954348082949895,5925220575949,5925220590782,72,0,0
tx,9,160,1,1,1787954348145377654,1787954348082949895,5925230185838,5925230201671,72,0,0
tx,9,170,1,1,1787954348156040951,1787954348082949895,5925240849134,5925240860060,72,0,0
tx,9,180,1,1,1787954348166694636,1787954348082949895,5925251502819,5925251513782,72,0,0
tx,9,189,1,1,1787954348176285358,1787954348082949895,5925261093523,5925261104134,72,0,0
rx,10,10,1,1,1787954348180561395,1787954348179791284,5925265369468,0,0,0,0
rx,11,11,1,1,1787954348181630710,1787954348180894080,5925266438782,0,0,0,0
rx,12,12,1,1,1787954348182699432,1787954348182010765,5925267507505,0,0,0,0
rx,13,13,1,1,1787954348183768210,1787954348183131525,5925268576264,0,0,0,0
rx,14,14,1,1,1787954348184836951,1787954348184248673,5925269645023,0,0,0,0
rx,15,15,1,1,1787954348185905747,1787954348185375395,5925270713819,0,0,0,0
rx,16,16,1,1,1787954348186974210,1787954348186482154,5925271782282,0,0,0,0
tx,16,199,1,1,1787954348186979303,1787954348186482154,5925271787542,5925271803338,72,0,0
rx,17,17,1,1,1787954348188103821,1787954348187608173,5925272911893,0,0,0,0
tx,17,7,1,1,1787954348196624988,1787954348187608173,5925281433245,5925281446764,72,0,0
tx,17,16,1,1,1787954348206244821,1787954348187608173,5925291053005,5925291063819,72,0,0
tx,17,26,1,1,1787954348216898599,1787954348187608173,5925301706782,5925301717542,72,0,0
tx,17,35,1,1,1787954348226491821,1787954348187608173,5925311300005,5925311311005,72,0,0
tx,17,44,1,1,1787954348236086562,1787954348187608173,5925320894782,5925320908282,72,0,0
tx,17,54,1,1,1787954348246759488,1787954348187608173,5925331567671,5925331583319,72,0,0
tx,17,63,1,1,1787954348256355617,1787954348187608173,5925341163801,5925341174708,72,0,0
tx,17,73,1,1,1787954348267012099,1787954348187608173,5925351820282,5925351831023,72,0,0
tx,17,83,1,1,1787954348277669988,1787954348187608173,5925362478171,5925362492616,72,0,0
rx,18,18,1,1,1787954348283009562,1787954348282191562,5925367817523,0,0,0,0
rx,19,19,1,1,1787954348284081358,1787954348283272080,5925368889430,0,0,0,0
rx,20,20,1,1,1787954348285149691,1787954348284389488,5925369957745,0,0,0,0
rx,22,22,1,1,1787954348287281877,1787954348286626562,5925372089930,0,0,0,0
tx,22,92,1,1,1787954348287285469,1787954348286626562,5925372093708,5925372108282,72,0,0
rx,23,23,1,1,1787954348288408228,1787954348287751006,5925373216301,0,0,0,0
rx,24,24,1,1,1787954348289477562,1787954348288865728,5925374285616,0,0,0,0
tx,24,102,1,1,1787954348297996543,1787954348288865728,5925382804801,5925382818671,72,0,0
tx,24,111,1,1,1787954348307617654,1787954348288865728,5925392425838,5925392436708,72,0,0
tx,24,120,1,1,1787954348317208858,1787954348288865728,5925402017042,5925402027819,72,0,0
tx,24,130,1,1,1787954348327869432,1787954348288865728,5925412677671,5925412692004,72,0,0
tx,24,139,1,1,1787954348337464080,1787954348288865728,5925422272264,5925422283079,72,0,0
tx,24,148,1,1,1787954348347074691,1787954348288865728,5925431882875,5925431899708,72,0,0
tx,24,158,1,1,1787954348357737525,1787954348288865728,5925442545708,5925442556616,72,0,0
tx,24,167,1,1,1787954348367328173,1787954348288865728,5925452136356,5925452147356,72,0,0
tx,24,177,1,1,1787954348377987173,1787954348288865728,5925462795412,5925462809967,72,0,0
tx,24,186,1,1,1787954348387599617,1787954348288865728,5925472407801,5925472419319,72,0,0
tx,24,195,1,1,1787954348397192339,1787954348288865728,5925482000579,5925482011430,72,0,0
tx,24,4,1,1,1787954348407846969,1787954348288865728,5925492655153,5925492665893,72,0,0
tx,24,13,1,1,1787954348417436413,1787954348288865728,5925502244597,5925502255338,72,0,0
tx,24,22,1,1,1787954348427026247,1787954348288865728,5925511834430,5925511845079,72,0,0
tx,24,32,1,1,1787954348437690228,1787954348288865728,5925522498467,5925522512375,72,0,0
tx,24,41,1,1,1787954348447298395,1787954348288865728,5925532106579,5925532121801,72,0,0
tx,24,51,1,1,1787954348457957710,1787954348288865728,5925542765893,5925542777264,72,0,0
tx,24,60,1,1,1787954348467548765,1787954348288865728,5925552356949,5925552367930,72,0,0
tx,24,69,1,1,1787954348477142469,1787954348288865728,5925561950708,5925561966208,72,0,0
rx,25,25,1,1,1787954348487805136,1787954348487006636,5925572613190,0,0,0,0
tx,25,79,1,1,1787954348487809210,1787954348487006636,5925572617430,5925572631634,72,0,0
rx,28,28,1,1,1787954348491062506,1787954348490397173,5925575870578,0,0,0,0
rx,29,29,1,1,1787954348492133747,1787954348491510265,5925576941801,0,0,0,0
rx,30,30,1,1,1787954348493202617,1787954348492631247,5925578010690,0,0,0,0
rx,31,31,1,1,1787954348494272339,1787954348493748506,5925579080412,0,0,0,0
rx,32,32,1,1,1787954348495340543,1787954348494868025,5925580148616,0,0,0,0
rx,33,33,1,1,1787954348496408265,1787954348495987376,5925581216338,0,0,0,0
rx,34,34,1,1,1787954348497476321,1787954348497106450,5925582284393,0,0,0,0
tx,34,88,1,1,1787954348497479562,1787954348497106450,5925582287801,5925582302764,72,0,0
rx,35,35,1,1,1787954348498587450,1787954348498228025,5925583395523,0,0,0,0
rx,36,36,1,1,1787954348499656284,1787954348499369988,5925584464356,0,0,0,0
rx,37,37,1,1,1787954348500724488,1787954348500466469,5925585532560,0,0,0,0
tx,37,97,1,1,1787954348507113950,1787954348500466469,5925591922134,5925591935264,72,0,0
tx,37,107,1,1,1787954348517796228,1787954348500466469,5925602604449,5925602615745,72,0,0
tx,37,116,1,1,1787954348527391543,1787954348500466469,5925612199708,5925612214560,72,0,0
tx,37,126,1,1,1787954348538051173,1787954348500466469,5925622859356,5925622870375,72,0,0
tx,37,136,1,1,1787954348548728006,1787954348500466469,5925633536190,5925633551486,72,0,0
tx,37,145,1,1,1787954348558323302,1787954348500466469,5925643131486,5925643142634,72,0,0
tx,37,155,1,1,1787954348568979228,1787954348500466469,5925653787412,5925653798541,72,0,0
tx,37,164,1,1,1787954348578575117,1787954348500466469,5925663383301,5925663397319,72,0,0
tx,37,173,1,1,1787954348588168765,1787954348500466469,5925672976949,5925672988023,72,0,0
rx,38,38,1,1,1787954348590314210,1787954348589365210,5925675122282,0,0,0,0
rx,39,39,1,1,1787954348591383895,1787954348590472636,5925676191949,0,0,0,0
rx,40,40,1,1,1787954348592451821,1787954348591613173,5925677259875,0,0,0,0
rx,41,41,1,1,1787954348593519765,1787954348592750191,5925678327838,0,0,0,0
rx,42,42,1,1,1787954348594587802,1787954348593870487,5925679395856,0,0,0,0
rx,43,43,1,1,1787954348595656728,1787954348594988784,5925680464782,0,0,0,0
rx,44,44,1,1,1787954348596724450,1787954348596128858,5925681532523,0,0,0,0
tx,44,183,1,1,1787954348598858673,1787954348596128858,5925683666912,5925683682171,72,0,0
tx,44,192,1,1,1787954348608497006,1787954348596128858,5925693305190,5925693316301,72,0,0
tx,44,0,1,1,1787954348618087062,1787954348596128858,5925702895245,5925702905949,72,0,0
