kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954347974956932,5925059887949,192.168.20.11,57614,192.168.20.255,12345,1,1,8,4
1787954347976092488,5925060971931,192.168.20.11,57614,192.168.20.255,12345,2,2,8,4
1787954347977963451,5925062850542,192.168.20.11,57614,192.168.20.255,12345,3,3,8,4
1787954348077375173,5925162282486,192.168.20.11,57614,192.168.20.255,12345,4,4,8,4
1787954348078473969,5925163334708,192.168.20.11,57614,192.168.20.255,12345,5,5,8,4
1787954348079590895,5925164450301,192.168.20.11,57614,192.168.20.255,12345,6,6,8,4
1787954348080708562,5925165568764,192.168.20.11,57614,192.168.20.255,12345,7,7,8,4
1787954348081836173,5925166697690,192.168.20.11,57614,192.168.20.255,12345,8,8,8,4
1787954348082949895,5925167808338,192.168.20.11,57614,192.168.20.255,12345,9,9,8,4
1787954348179791284,5925264692690,192.168.20.11,57614,192.168.20.255,12345,10,10,8,4
1787954348180894080,5925265753893,192.168.20.11,57614,192.168.20.255,12345,11,11,8,4
1787954348182010765,5925266867560,192.168.20.11,57614,192.168.20.255,12345,12,12,8,4
1787954348183131525,5925267989356,192.168.20.11,57614,192.168.20.255,12345,13,13,8,4
1787954348184248673,5925269106912,192.168.20.11,57614,192.168.20.255,12345,14,14,8,4
1787954348185375395,5925270248171,192.168.20.11,57614,192.168.20.255,12345,15,15,8,4
1787954348186482154,5925271328468,192.168.20.11,57614,192.168.20.255,12345,16,16,8,4
1787954348187608173,5925272449301,192.168.20.11,57614,192.168.20.255,12345,17,17,8,4
1787954348282191562,5925367080245,192.168.20.11,57614,192.168.20.255,12345,18,18,8,4
1787954348283272080,5925368122930,192.168.20.11,57614,192.168.20.255,12345,19,19,8,4
1787954348284389488,5925369231838,192.168.20.11,57614,192.168.20.255,12345,20,20,8,4
1787954348286626562,5925371464560,192.168.20.11,57614,192.168.20.255,12345,22,22,8,4
1787954348287751006,5925372589190,192.168.20.11,57614,192.168.20.255,12345,23,23,8,4
1787954348288865728,5925373701912,192.168.20.11,57614,192.168.20.255,12345,24,24,8,4
1787954348487006636,5925571904782,192.168.20.11,57614,192.168.20.255,12345,25,25,8,4
1787954348490397173,5925575251134,192.168.20.11,57614,192.168.20.255,12345,28,28,8,4
1787954348491510265,5925576352560,192.168.20.11,57614,192.168.20.255,12345,29,29,8,4
1787954348492631247,5925577479912,192.168.20.11,57614,192.168.20.255,12345,30,30,8,4
1787954348493748506,5925578587153,192.168.20.11,57614,192.168.20.255,12345,31,31,8,4
1787954348494868025,5925579703653,192.168.20.11,57614,192.168.20.255,12345,32,32,8,4
1787954348495987376,5925580824319,192.168.20.11,57614,192.168.20.255,12345,33,33,8,4
1787954348497106450,5925581948967,192.168.20.11,57614,192.168.20.255,12345,34,34,8,4
1787954348498228025,5925583066097,192.168.20.11,57614,192.168.20.255,12345,35,35,8,4
1787954348499369988,5925584213801,192.168.20.11,57614,192.168.20.255,12345,36,36,8,4
1787954348500466469,5925585309671,192.168.20.11,57614,192.168.20.255,12345,37,37,8,4
1787954348589365210,5925674253912,192.168.20.11,57614,192.168.20.255,12345,38,38,8,4
1787954348590472636,5925675319745,192.168.20.11,57614,192.168.20.255,12345,39,39,8,4
1787954348591613173,5925676470041,192.168.20.11,57614,192.168.20.255,12345,40,40,8,4
1787954348592750191,5925677586671,192.168.20.11,57614,192.168.20.255,12345,41,41,8,4
1787954348593870487,5925678713097,192.168.20.11,57614,192.168.20.255,12345,42,42,8,4
1787954348594988784,5925679826856,192.168.20.11,57614,192.168.20.255,12345,43,43,8,4
1787954348596128858,5925680977227,192.168.20.11,57614,192.168.20.255,12345,44,44,8,4
1787954348691766191,5925776659282,192.168.20.11,57614,192.168.20.255,12345,45,45,8,4
1787954348692890487,5925777736023,192.168.20.11,57614,192.168.20.255,12345,46,46,8,4
1787954348693987173,5925778833060,192.168.20.11,57614,192.168.20.255,12345,47,47,8,4
1787954348695104284,5925779945856,192.168.20.11,57614,192.168.20.255,12345,48,48,8,4
1787954348696222154,5925781060893,192.168.20.11,57614,192.168.20.255,12345,49,49,8,4
1787954348697337913,5925782173078,192.168.20.11,57614,192.168.20.255,12345,50,50,8,4
1787954348698457747,5925783292319,192.168.20.11,57614,192.168.20.255,12345,51,51,8,4
1787954348794193284,5925879084356,192.168.20.11,57614,192.168.20.255,12345,52,52,8,4
1787954348796500747,5925881348708,192.168.20.11,57614,192.168.20.255,12345,54,54,8,4
1787954348797611135,5925882453356,192.168.20.11,57614,192.168.20.255,12345,55,55,8,4
1787954348798730876,5925883576208,192.168.20.11,57614,192.168.20.255,12345,56,56,8,4
1787954348799852932,5925884692245,192.168.20.11,57614,192.168.20.255,12345,57,57,8,4
1787954348800965210,5925885808745,192.168.20.11,57614,192.168.20.255,12345,58,58,8,4
1787954348896636950,5925981538041,192.168.20.11,57614,192.168.20.255,12345,59,59,8,4
1787954348897784321,5925982629189,192.168.20.11,57614,192.168.20.255,12345,60,60,8,4
1787954348898896987,5925983734375,192.168.20.11,57614,192.168.20.255,12345,61,61,8,4
1787954348900046524,5925984887597,192.168.20.11,57614,192.168.20.255,12345,62,62,8,4
1787954348901159672,5925985995912,192.168.20.11,57614,192.168.20.255,12345,63,63,8,4
1787954348902278543,5925987122337,192.168.20.11,57614,192.168.20.255,12345,64,64,8,4
1787954348903409654,5925988258930,192.168.20.11,57614,192.168.20.255,12345,65,65,8,4
1787954348999017043,5926083913097,192.168.20.11,57614,192.168.20.255,12345,66,66,8,4
1787954349000126524,5926084980949,192.168.20.11,57614,192.168.20.255,12345,67,67,8,4
1787954349001269913,5926086108819,192.168.20.11,57614,192.168.20.255,12345,68,68,8,4
1787954349002421135,5926087257023,192.168.20.11,57614,192.168.20.255,12345,69,69,8,4
1787954349003573117,5926088416652,192.168.20.11,57614,192.168.20.255,12345,70,70,8,4
1787954349004691450,5926089528782,192.168.20.11,57614,192.168.20.255,12345,71,71,8,4
1787954349101391802,5926186283874,192.168.20.11,57614,192.168.20.255,12345,72,72,8,4
1787954349102491209,5926187351393,192.168.20.11,57614,192.168.20.255,12345,73,73,8,4
1787954349103703895,5926188548078,192.168.20.11,57614,192.168.20.255,12345,74,74,8,4
1787954349104868876,5926189717634,192.168.20.11,57614,192.168.20.255,12345,75,75,8,4
