pc_mono_ns,bytes
77406545799600,1784
77406652816800,1392
77406755431600,1624
77406870003700,1624
77406978454900,1624
77407091205000,1624
77407191489600,1392
77407294528200,1541
77407394380000,1479
77407506708900,1631
77407608180200,1383
77407718846400,1596
77407831805900,1596
77407944105900,1596
77408053961900,1596
77408170856000,1596
77408287116000,1824
77408400902800,1596
77408502688800,1368
77408607949300,1596
77408717584500,1368
77408824105900,1596
77408932394600,1596
77409033563600,1596
77409139557400,1368
77409240925900,1368
77409342449900,1596
77409450282400,1368
77409565373000,1824
77409681677200,1596
77409782491000,1368
77409884550900,1368
77409990797000,1611
77410092063700,1581
77410195003800,1368
77410299743800,1596
77410412883200,1596
77410513583300,1368
77410613814400,1368
77410719776700,1596
77410819773100,1368
77410930033000,1596
77411034019000,1596
77411140089100,1368
77411242632300,1596
77411346808300,1368
77411451836400,1596
77411559771000,1368
77411669559400,1596
77411769999500,1456
77411877330400,1508
77411987815400,1761
77412100874900,1653
77412213786200,1602
77412328586600,1596
77412429787600,1368
77412530473500,1368
77412639082600,1596
77412746252400,1596
77412851281500,1368
77412961695200,1596
77413073106000,1596
77413180070400,1596
77413283930800,1406
77413388581400,1558
77413498806200,1596
77413602842300,1368
77413707674500,1596
77413820488100,1596
77413930400300,1596
77414037633700,1596
77414137702000,1368
77414247175300,1596
77414362805000,1596
77414470555100,1596
77414572329700,1368
77414686453300,1596
77414789948700,1596
77414901899900,1480
77415008313100,1713
77415109652100,1374
77415216083500,1542
77415323258200,1435
77415434242000,1603
77415535623000,1374
77415636925600,1603
77415743237400,1374
77415843324000,1377
77415945785800,1600
77416052239900,1603
77416155217800,1374
77416257190400,1603
77416372209700,1603
77416477502700,1368
77416581691300,1596
77416696315500,1596
77416797514300,1368
77416905711900,1596
77417015078400,1596
77417121076300,1596
77417231567500,1596
77417344508300,1596
77417450701100,1348
77417551393700,1561
77417653111600,1338
77417761933800,1561
77417868874300,1338
77417979880200,1561
77418088747000,1561
77418194391400,1561
77418305679100,1561
77418406049000,1338
77418509114300,1551
77418629460700,1571
77418731437300,1338
77418843383400,1561
77418953009600,1561
77419058811500,1561
77419159410900,1338
77419268185100,1561
77419368888100,1338
77419478468600,1561
77419585802600,1561
77419686678400,1338
77419786613400,1338
77419887393300,1561
77419988188000,1338
77420088426000,1561
77420196755900,1338
77420308458100,1561
77420422367300,1561
77420531241700,1561
77420642800700,1561
77420756160700,1561
77420857048000,1338
77420957928200,1561
77421060336900,1405
77421175102600,1717
77421276461700,1338
77421386866200,1561
77421500065700,1561
77421606744000,1338
77421710405300,1561
77421819548800,1561
77421919962600,1338
77422028950300,1561
77422129780500,1338
77422237329900,1561
77422337635900,1338
77422448793700,1561
77422549138300,1338
77422658055500,1561
77422768434700,1561
77422878192000,1561
77422988446200,1555
77423090475100,1561
77423199029200,1338
77423308280700,1561
77423411797500,1511
77423525561000,1611
77423636258900,1338
77423745315200,1561
77423854749900,1561
77423969287500,1561
77424073451800,1561
77424182879500,1561
77424297782700,1561
77424407857500,1561
77424518753200,1561
77424632140400,1561
77424741406100,1561
77424855242200,1561
77424966090900,1561
77425070436500,1532
77425179030000,1367
77425291081600,1561
77425394204700,1561
77425500811000,1338
77425611541200,1561
77425723553800,1561
77425828102300,1561
77425941661800,1561
77426042274700,1338
77426152332400,1561
77426262095400,2863
77426371329800,3276
77426480237500,3319
77426589352400,3320
77426698791100,3319
77426807227300,3380
77426918651300,3504
77427024584200,3334
77427130886000,3330
77427239407400,3358
77427348539800,3587
77427453416200,3512
77427563369300,3681
77427664109100,3380
77427767397500,3511
77427872454100,3613
77427973743000,3477
77428080866100,3686
77428196382400,2704
77428297056800,1338
77428406660800,1561
77428516036400,1561
77428619056000,1338
77428735940200,1784
77428848454500,1561
77428952639500,1338
77429060884500,1561
77429167445400,1561
77429275520600,1561
77429379064600,1338
77429484505000,1581
77429593090900,1368
77429707642700,1788
77429816974000,1404
77429925783500,1596
77430034181900,1596
77430138998200,1596
77430250174500,1596
77430360737200,1596
77430474178600,1596
77430581650700,1368
77430690804000,1596
77430796933100,1596
77430902765200,1368
77431012535300,1596
77431115484100,1596
77431224879700,1596
77431334255500,1596
77431437446600,1368
77431537538100,1368
77431647737600,1596
77431748548300,1368
77431856673300,1596
77431965439100,1596
