event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954375234312249,1787954375234100638,5952319120322,0,0,0,0
tx,1,1,1,1,1787954375234318138,1787954375234100638,5952319126414,5952319154785,72,0,0
tx,1,11,1,1,1787954375245062231,1787954375234100638,5952329870414,5952329884211,72,0,0
rx,2,2,1,1,1787954375249350768,1787954375248819435,5952334158840,0,0,0,0
tx,2,21,1,1,1787954375255753138,1787954375248819435,5952340561322,5952340574951,72,0,0
rx,3,3,1,1,1787954375265386583,1787954375264676379,5952350194655,0,0,0,0
tx,3,30,1,1,1787954375265390657,1787954375264676379,5952350198840,5952350212488,72,0,0
tx,3,39,1,1,1787954375275034879,1787954375264676379,5952359843063,5952359861248,72,0,0
rx,4,4,1,1,1787954375280386157,1787954375279592601,5952365194229,0,0,0,0
tx,4,49,1,1,1787954375285718027,1787954375279592601,5952370526266,5952370540229,72,0,0
rx,5,5,1,1,1787954375294323009,1787954375294255509,5952379131081,0,0,0,0
tx,5,58,1,1,1787954375295394823,1787954375294255509,5952380203081,5952380218692,72,0,0
tx,5,67,1,1,1787954375305030805,1787954375294255509,5952389838988,5952389851822,72,0,0
rx,6,6,1,1,1787954375310382379,1787954375310282138,5952395190451,0,0,0,0
tx,6,77,1,1,1787954375315712564,1787954375310282138,5952400520803,5952400534118,72,0,0
rx,7,7,1,1,1787954375325351472,1787954375324425934,5952410159544,0,0,0,0
tx,7,86,1,1,1787954375325356620,1787954375324425934,5952410164840,5952410185340,72,0,0
tx,7,95,1,1,1787954375335022157,1787954375324425934,5952419830414,5952419844525,72,0,0
rx,8,8,1,1,1787954375339317694,1787954375339265823,5952424125766,0,0,0,0
tx,8,105,1,1,1787954375345716731,1787954375339265823,5952430524933,5952430539211,72,0,0
rx,9,9,1,1,1787954375355362638,1787954375354629046,5952440170711,0,0,0,0
tx,9,114,1,1,1787954375355366601,1787954375354629046,5952440174785,5952440190359,72,0,0
tx,9,124,1,1,1787954375366062120,1787954375354629046,5952450870377,5952450883229,72,0,0
rx,10,10,1,1,1787954375370359527,1787954375370294453,5952455167599,0,0,0,0
tx,10,134,1,1,1787954375376781990,1787954375370294453,5952461590248,5952461608062,72,0,0
rx,11,11,1,1,1787954375386418046,1787954375385394286,5952471226099,0,0,0,0
tx,11,143,1,1,1787954375386422212,1787954375385394286,5952471230451,5952471244599,72,0,0
tx,11,152,1,1,1787954375396068546,1787954375385394286,5952480876729,5952480889970,72,0,0
rx,12,12,1,1,1787954375400288397,1787954375399557971,5952485096451,0,0,0,0
tx,12,162,1,1,1787954375406683842,1787954375399557971,5952491492025,5952491508803,72,0,0
rx,13,13,1,1,1787954375415229453,1787954375414837083,5952500037525,0,0,0,0
tx,13,171,1,1,1787954375416309138,1787954375414837083,5952501117359,5952501136599,72,0,0
tx,13,181,1,1,1787954375426981879,1787954375414837083,5952511790340,5952511806303,72,0,0
rx,14,14,1,1,1787954375430199638,1787954375429514157,5952515007711,0,0,0,0
tx,14,190,1,1,1787954375436596564,1787954375429514157,5952521404840,5952521418970,72,0,0
rx,15,15,1,1,1787954375445169564,1787954375444284823,5952529977618,0,0,0,0
tx,15,199,1,1,1787954375446239897,1787954375444284823,5952531048155,5952531062155,72,0,0
tx,15,8,1,1,1787954375456938268,1787954375444284823,5952541746525,5952541760266,72,0,0
rx,16,16,1,1,1787954375460150120,1787954375459479564,5952544958192,0,0,0,0
tx,16,17,1,1,1787954375466556323,1787954375459479564,5952551364599,5952551383951,72,0,0
rx,17,17,1,1,1787954375475144286,1787954375474543360,5952559952359,0,0,0,0
tx,17,26,1,1,1787954375476213768,1787954375474543360,5952561022025,5952561037488,72,0,0
tx,17,36,1,1,1787954375486910434,1787954375474543360,5952571718618,5952571731470,72,0,0
rx,18,18,1,1,1787954375490127471,1787954375489619508,5952574935544,0,0,0,0
tx,18,45,1,1,1787954375496563471,1787954375489619508,5952581371729,5952581386377,72,0,0
rx,19,19,1,1,1787954375505135768,1787954375504310490,5952589943840,0,0,0,0
tx,19,54,1,1,1787954375506204323,1787954375504310490,5952591012507,5952591026896,72,0,0
tx,19,64,1,1,1787954375516862971,1787954375504310490,5952601671229,5952601688562,72,0,0
rx,20,20,1,1,1787954375521161342,1787954375520771416,5952605969414,0,0,0,0
tx,20,73,1,1,1787954375526498379,1787954375520771416,5952611306636,5952611323322,72,0,0
