kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954375234100638,5952318998525,192.168.20.11,53787,192.168.20.108,12345,1,1,8,4
1787954375248819435,5952333681988,192.168.20.11,53787,192.168.20.108,12345,2,2,8,4
1787954375264676379,5952349528229,192.168.20.11,53787,192.168.20.108,12345,3,3,8,4
1787954375279592601,5952364473600,192.168.20.11,53787,192.168.20.108,12345,4,4,8,4
1787954375294255509,5952379109822,192.168.20.11,53787,192.168.20.108,12345,5,5,8,4
1787954375310282138,5952395133192,192.168.20.11,53787,192.168.20.108,12345,6,6,8,4
1787954375324425934,5952409326692,192.168.20.11,53787,192.168.20.108,12345,7,7,8,4
1787954375339265823,5952424122988,192.168.20.11,53787,192.168.20.108,12345,8,8,8,4
1787954375354629046,5952439483396,192.168.20.11,53787,192.168.20.108,12345,9,9,8,4
1787954375370294453,5952455176525,192.168.20.11,53787,192.168.20.108,12345,10,10,8,4
1787954375385394286,5952470248599,192.168.20.11,53787,192.168.20.108,12345,11,11,8,4
1787954375399557971,5952484410674,192.168.20.11,53787,192.168.20.108,12345,12,12,8,4
1787954375414837083,5952500087933,192.168.20.11,53787,192.168.20.108,12345,13,13,8,4
1787954375429514157,5952514389414,192.168.20.11,53787,192.168.20.108,12345,14,14,8,4
1787954375444284823,5952529149507,192.168.20.11,53787,192.168.20.108,12345,15,15,8,4
1787954375459479564,5952544336451,192.168.20.11,53787,192.168.20.108,12345,16,16,8,4
1787954375474543360,5952559440025,192.168.20.11,53787,192.168.20.108,12345,17,17,8,4
1787954375489619508,5952574490229,192.168.20.11,53787,192.168.20.108,12345,18,18,8,4
1787954375504310490,5952589201859,192.168.20.11,53787,192.168.20.108,12345,19,19,8,4
1787954375520771416,5952605670118,192.168.20.11,53787,192.168.20.108,12345,20,20,8,4
1787954375535298953,5952620176044,192.168.20.11,53787,192.168.20.108,12345,21,21,8,4
1787954375549636064,5952634519359,192.168.20.11,53787,192.168.20.108,12345,22,22,8,4
1787954375564437657,5952649309488,192.168.20.11,53787,192.168.20.108,12345,23,23,8,4
1787954375579430157,5952664318748,192.168.20.11,53787,192.168.20.108,12345,24,24,8,4
1787954375594729638,5952679612266,192.168.20.11,53787,192.168.20.108,12345,25,25,8,4
1787954375609315360,5952694187933,192.168.20.11,53787,192.168.20.108,12345,26,26,8,4
1787954375625260471,5952710155710,192.168.20.11,53787,192.168.20.108,12345,27,27,8,4
1787954375639265749,5952724135377,192.168.20.11,53787,192.168.20.108,12345,28,28,8,4
1787954375654563805,5952739447822,192.168.20.11,53787,192.168.20.108,12345,29,29,8,4
1787954375669314008,5952754207581,192.168.20.11,53787,192.168.20.108,12345,30,30,8,4
1787954375684301490,5952769171284,192.168.20.11,53787,192.168.20.108,12345,31,31,8,4
1787954375699666508,5952784547599,192.168.20.11,53787,192.168.20.108,12345,32,32,8,4
1787954375714264823,5952799154340,192.168.20.11,53787,192.168.20.108,12345,33,33,8,4
1787954375730561434,5952815442136,192.168.20.11,53787,192.168.20.108,12345,34,34,8,4
1787954375744631990,5952829518118,192.168.20.11,53787,192.168.20.108,12345,35,35,8,4
1787954375759507916,5952844375618,192.168.20.11,53787,192.168.20.108,12345,36,36,8,4
1787954375774346231,5952859234840,192.168.20.11,53787,192.168.20.108,12345,37,37,8,4
1787954375789473786,5952874345007,192.168.20.11,53787,192.168.20.108,12345,38,38,8,4
1787954375804616656,5952889498321,192.168.20.11,53787,192.168.20.108,12345,39,39,8,4
1787954375819672490,5952904575562,192.168.20.11,53787,192.168.20.108,12345,40,40,8,4
1787954375834737249,5952919609507,192.168.20.11,53787,192.168.20.108,12345,41,41,8,4
1787954375849569971,5952934452173,192.168.20.11,53787,192.168.20.108,12345,42,42,8,4
1787954375864501897,5952949416525,192.168.20.11,53787,192.168.20.108,12345,43,43,8,4
1787954375879393990,5952964289710,192.168.20.11,53787,192.168.20.108,12345,44,44,8,4
1787954375894630601,5952979513173,192.168.20.11,53787,192.168.20.108,12345,45,45,8,4
1787954375909440101,5952994311840,192.168.20.11,53787,192.168.20.108,12345,46,46,8,4
1787954375924407175,5953009318599,192.168.20.11,53787,192.168.20.108,12345,47,47,8,4
1787954375939733786,5953024606229,192.168.20.11,53787,192.168.20.108,12345,48,48,8,4
1787954375954427971,5953039316303,192.168.20.11,53787,192.168.20.108,12345,49,49,8,4
1787954375969640934,5953054538192,192.168.20.11,53787,192.168.20.108,12345,50,50,8,4
1787954375984290341,5953069164081,192.168.20.11,53787,192.168.20.108,12345,51,51,8,4
1787954375999373675,5953084259395,192.168.20.11,53787,192.168.20.108,12345,52,52,8,4
1787954376014525712,5953099422173,192.168.20.11,53787,192.168.20.108,12345,53,53,8,4
1787954376029369119,5953114251210,192.168.20.11,53787,192.168.20.108,12345,54,54,8,4
1787954376044916786,5953129798877,192.168.20.11,53787,192.168.20.108,12345,55,55,8,4
1787954376059386527,5953144278469,192.168.20.11,53787,192.168.20.108,12345,56,56,8,4
1787954376074638249,5953159518599,192.168.20.11,53787,192.168.20.108,12345,57,57,8,4
1787954376089921804,5953174793747,192.168.20.11,53787,192.168.20.108,12345,58,58,8,4
1787954376104319082,5953189203469,192.168.20.11,53787,192.168.20.108,12345,59,59,8,4
1787954376119527564,5953204435914,192.168.20.11,53787,192.168.20.108,12345,60,60,8,4
1787954376135025841,5953219898303,192.168.20.11,53787,192.168.20.108,12345,61,61,8,4
1787954376149567545,5953234448766,192.168.20.11,53787,192.168.20.108,12345,62,62,8,4
1787954376164616138,5953249508340,192.168.20.11,53787,192.168.20.108,12345,63,63,8,4
1787954376179424804,5953264296766,192.168.20.11,53787,192.168.20.108,12345,64,64,8,4
1787954376194367249,5953279245729,192.168.20.11,53787,192.168.20.108,12345,65,65,8,4
1787954376209673508,5953294542655,192.168.20.11,53787,192.168.20.108,12345,66,66,8,4
1787954376224391897,5953309281303,192.168.20.11,53787,192.168.20.108,12345,67,67,8,4
1787954376239915638,5953324785599,192.168.20.11,53787,192.168.20.108,12345,68,68,8,4
1787954376254720397,5953339601043,192.168.20.11,53787,192.168.20.108,12345,69,69,8,4
1787954376269218878,5953354107747,192.168.20.11,53787,192.168.20.108,12345,70,70,8,4
1787954376284700175,5953369571655,192.168.20.11,53787,192.168.20.108,12345,71,71,8,4
1787954376299532656,5953384412414,192.168.20.11,53787,192.168.20.108,12345,72,72,8,4
1787954376314317360,5953399205932,192.168.20.11,53787,192.168.20.108,12345,73,73,8,4
1787954376329517897,5953414397432,192.168.20.11,53787,192.168.20.108,12345,74,74,8,4
1787954376344755675,5953429636136,192.168.20.11,53787,192.168.20.108,12345,75,75,8,4
1787954376359995730,5953444905599,192.168.20.11,53787,192.168.20.108,12345,76,76,8,4
1787954376374657045,5953459529062,192.168.20.11,53787,192.168.20.108,12345,77,77,8,4
1787954376389719323,5953474588395,192.168.20.11,53787,192.168.20.108,12345,78,78,8,4
