pc_mono_ns,bytes
77433527917400,1596
77433630191700,1368
77433732338100,1471
77433847232400,1721
77433949159100,1368
77434050057500,1368
77434150517000,1596
77434257949200,1596
77434369534500,1596
77434481924800,1596
77434594866200,1596
77434703296300,1368
77434818290300,1596
77434929097400,1596
77435039679600,1596
77435152875600,1824
77435264254900,1596
77435374561100,1462
77435488056400,1730
77435591257400,1368
77435698797100,1596
77436770710600,62
77437088211600,82
77437946906000,624
77438060806500,1624
77438165203100,1392
77438270935800,1624
77438382238000,1624
77438483798900,1392
77438595326000,1624
77438703001200,1604
77438803870600,1392
77438904387100,1630
77439004517100,1398
77439104756700,1378
77439208811400,1552
77439319647700,1412
77439422944900,1596
77439537367700,1596
77439647707900,1596
77439758572600,1596
77439867319300,1596
77439978967100,1596
77440093233200,1596
77440201270400,1596
77440310317500,1368
77440418854500,1596
77440525908600,1596
77440634467600,1596
77440743687000,1596
77440852916100,1596
77440963793700,1551
77441071910000,1413
77441172128400,1368
77441273507200,1596
77441377000800,1368
77441481023800,1596
77441589517800,1596
77441698278800,1596
77441807969900,1368
77441914146100,1596
77442022835800,1596
77442132243200,1596
77442247251400,1596
77442354355300,1368
77442460512200,1596
77442563926500,1596
77442678694600,1596
77442788576400,1596
77442903702300,1596
77443012600800,1596
77443116904900,1368
77443227859400,1596
77443334046300,1596
77443440335500,1368
77443555643400,1824
77443657834500,1368
77443765732900,1596
77443867214100,1368
77443968808400,1596
77444082911700,1596
77444196113900,1596
77444302079800,1368
77444402249600,1596
77444503178100,1368
77444607690600,1596
77444716879900,1571
77444823434600,1338
77444936765400,1561
77445038333700,1561
77445146016600,1338
77445259011500,1561
77445368666600,1561
77445469905600,1338
77445578561000,1784
77445689564000,1520
77445790010300,1379
77445902581100,1561
77446017217500,1561
77446126075500,1561
77446228089800,1338
77446341776900,1561
77446446100300,1379
77446558893000,1743
77446665801900,1561
77446777731000,1561
77446887601900,1338
77446994815600,1561
77447098676000,1541
77447204280500,1358
77447316484800,1561
77447426326600,1561
77447541046800,1691
77447646827100,1431
77447751662600,1561
77447858098300,1338
77447959121600,1378
77448060352300,1521
77448169736600,1544
77448270806800,1355
77448371077200,1338
77448478972600,1561
77448582321800,1561
77448696056200,1561
77448811322200,1561
77448920186900,1561
77449023504400,1338
77449131617000,1561
77449241567300,1561
77449352810400,1519
77449457304900,1380
77449569017500,1561
77449679788700,1561
77449785622300,1561
77449890908400,1338
77450005780300,1784
77450110509100,1338
77450224521100,1561
77450327836500,1561
77450429834600,1338
77450530310700,1561
77450631667400,1338
77450743046000,1561
77450846093800,1338
77450952165900,1561
77451058954100,1398
77451170668100,1501
77451270794600,1561
77451381210100,1452
77451485431800,1447
77451596999900,1561
77451708774200,1561
77451809390300,1561
77451910295800,1338
77452018259900,1561
77452132993200,1561
77452242241000,1391
77452350709700,1508
77452455479600,1561
77452558567500,1561
77452668232200,1338
77452777016700,1561
77452881981800,1556
77452992167500,1561
77453106228500,1561
77453210462300,1338
77453311166900,1338
77453417333800,1561
77453526934600,2396
77453641902000,3357
77453751291000,3345
77453851766500,3047
77453961951200,3349
77454071127800,3355
77454181861100,3483
77454291452100,3461
77454396454600,3299
77454509082700,3454
77454620826400,3613
77454728891800,3612
77454839419100,3714
77454953822100,3808
77455066049700,3791
77455170050600,3584
77455282304900,3890
77455392912500,3790
77455493183000,2582
77455593476900,1561
77455703959900,1369
77455816493400,1530
77455924016700,1561
77456029848800,1561
77456130035100,1338
77456238293400,1555
77456338428800,1338
77456439606700,1338
77456554352500,1784
77456654765200,1338
77456761619100,1576
77456862266100,1368
77456971982100,1596
77457076990200,1368
77457180063300,1596
77457284372300,1368
77457394419000,1596
77457494764700,1368
77457601912400,1596
77457702516400,1596
77457813155500,1368
77457919228200,1596
77458027742800,1596
77458130616000,1368
77458245074400,1596
77458346537300,1596
77458454927000,1368
77458564429500,1824
77458674667500,1398
77458783845400,1566
77458892809800,1596
77458999714300,1596
77459107054700,1368
77459209927300,1596
