event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
rx,1,1,1,1,1787954234039329945,1787954234038531111,5811124137999,0,0,0,0
tx,1,1,1,1,1787954234039334556,1787954234038531111,5811124142776,5811124171776,72,0,0
rx,2,2,1,1,1787954234054317537,1787954234053759519,5811139125591,0,0,0,0
tx,2,2,1,1,1787954234054321315,1787954234053759519,5811139129499,5811139144573,72,0,0
rx,3,3,1,1,1787954234070434056,1787954234069968074,5811155242128,0,0,0,0
tx,3,3,1,1,1787954234070437982,1787954234069968074,5811155246221,5811155267387,72,0,0
rx,4,4,1,1,1787954234084391704,1787954234084301333,5811169199776,0,0,0,0
tx,4,4,1,1,1787954234084397482,1787954234084301333,5811169205758,5811169221313,72,0,0
rx,5,5,1,1,1787954234099338889,1787954234099049463,5811184146961,0,0,0,0
tx,5,5,1,1,1787954234099342519,1787954234099049463,5811184150702,5811184164887,72,0,0
rx,6,6,1,1,1787954234114330463,1787954234113903445,5811199138499,0,0,0,0
tx,6,6,1,1,1787954234114334482,1787954234113903445,5811199142721,5811199161980,72,0,0
rx,7,7,1,1,1787954234129295278,1787954234128964426,5811214103332,0,0,0,0
tx,7,7,1,1,1787954234129298870,1787954234128964426,5811214107128,5811214121961,72,0,0
rx,8,8,1,1,1787954234144242945,1787954234144022685,5811229051017,0,0,0,0
tx,8,8,1,1,1787954234144246482,1787954234144022685,5811229054739,5811229069443,72,0,0
rx,9,9,1,1,1787954234159221574,1787954234158901408,5811244029628,0,0,0,0
tx,9,9,1,1,1787954234159225741,1787954234158901408,5811244033980,5811244052980,72,0,0
rx,10,10,1,1,1787954234175333852,1787954234174465796,5811260141924,0,0,0,0
tx,10,10,1,1,1787954234175337833,1787954234174465796,5811260146073,5811260164165,72,0,0
rx,11,11,1,1,1787954234190297278,1787954234189351296,5811275105350,0,0,0,0
tx,11,11,1,1,1787954234190301111,1787954234189351296,5811275109350,5811275124739,72,0,0
rx,12,12,1,1,1787954234204171241,1787954234204153167,5811288979313,0,0,0,0
tx,12,12,1,1,1787954234204174945,1787954234204153167,5811288983128,5811288996573,72,0,0
rx,13,13,1,1,1787954234220187185,1787954234219342685,5811304995258,0,0,0,0
tx,13,13,1,1,1787954234220191370,1787954234219342685,5811304999573,5811305018017,72,0,0
rx,14,14,1,1,1787954234235143445,1787954234234382852,5811319951498,0,0,0,0
tx,14,14,1,1,1787954234235147296,1787954234234382852,5811319955480,5811319970702,72,0,0
rx,15,15,1,1,1787954234250093426,1787954234249584815,5811334901498,0,0,0,0
tx,15,15,1,1,1787954234250096907,1787954234249584815,5811334905147,5811334919054,72,0,0
