kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954234038531111,5811123441999,192.168.20.11,58114,192.168.20.108,12345,1,1,8,3
1787954234053759519,5811138636702,192.168.20.11,58114,192.168.20.108,12345,2,2,8,3
1787954234069968074,5811154858443,192.168.20.11,58114,192.168.20.108,12345,3,3,8,3
1787954234084301333,5811169179721,192.168.20.11,58114,192.168.20.108,12345,4,4,8,3
1787954234099049463,5811183914295,192.168.20.11,58114,192.168.20.108,12345,5,5,8,3
1787954234113903445,5811198792091,192.168.20.11,58114,192.168.20.108,12345,6,6,8,3
1787954234128964426,5811213837536,192.168.20.11,58114,192.168.20.108,12345,7,7,8,3
1787954234144022685,5811228892665,192.168.20.11,58114,192.168.20.108,12345,8,8,8,3
1787954234158901408,5811243786332,192.168.20.11,58114,192.168.20.108,12345,9,9,8,3
1787954234174465796,5811259342647,192.168.20.11,58114,192.168.20.108,12345,10,10,8,3
1787954234189351296,5811274222480,192.168.20.11,58114,192.168.20.108,12345,11,11,8,3
1787954234204153167,5811289017221,192.168.20.11,58114,192.168.20.108,12345,12,12,8,3
1787954234219342685,5811304229369,192.168.20.11,58114,192.168.20.108,12345,13,13,8,3
1787954234234382852,5811319250721,192.168.20.11,58114,192.168.20.108,12345,14,14,8,3
1787954234249584815,5811334447276,192.168.20.11,58114,192.168.20.108,12345,15,15,8,3
1787954234264529093,5811349416980,192.168.20.11,58114,192.168.20.108,12345,16,16,8,3
1787954234279668630,5811364544406,192.168.20.11,58114,192.168.20.108,12345,17,17,8,3
1787954234294564185,5811379433906,192.168.20.11,58114,192.168.20.108,12345,18,18,8,3
1787954234309570611,5811394436147,192.168.20.11,58114,192.168.20.108,12345,19,19,8,3
1787954234323939815,5811408823406,192.168.20.11,58114,192.168.20.108,12345,20,20,8,3
1787954234339410593,5811424283109,192.168.20.11,58114,192.168.20.108,12345,21,21,8,3
1787954234354370722,5811439245869,192.168.20.11,58114,192.168.20.108,12345,22,22,8,3
1787954234369432611,5811454320480,192.168.20.11,58114,192.168.20.108,12345,23,23,8,3
1787954234384926426,5811469798461,192.168.20.11,58114,192.168.20.108,12345,24,24,8,3
1787954234399320667,5811484186202,192.168.20.11,58114,192.168.20.108,12345,25,25,8,3
1787954234413867389,5811498758721,192.168.20.11,58114,192.168.20.108,12345,26,26,8,3
1787954234429370407,5811514238535,192.168.20.11,58114,192.168.20.108,12345,27,27,8,3
1787954234444558648,5811529427517,192.168.20.11,58114,192.168.20.108,12345,28,28,8,3
1787954234459398333,5811544282443,192.168.20.11,58114,192.168.20.108,12345,29,29,8,3
1787954234474012648,5811558887850,192.168.20.11,58114,192.168.20.108,12345,30,30,8,3
1787954234489584018,5811574451406,192.168.20.11,58114,192.168.20.108,12345,31,31,8,3
1787954234503953037,5811588835906,192.168.20.11,58114,192.168.20.108,12345,32,32,8,3
1787954234519594796,5811604463165,192.168.20.11,58114,192.168.20.108,12345,33,33,8,3
1787954234534294315,5811619176461,192.168.20.11,58114,192.168.20.108,12345,34,34,8,3
1787954234549127278,5811633992480,192.168.20.11,58114,192.168.20.108,12345,35,35,8,3
1787954234564520667,5811649406961,192.168.20.11,58114,192.168.20.108,12345,36,36,8,3
1787954234578867852,5811663760109,192.168.20.11,58114,192.168.20.108,12345,37,37,8,3
1787954234594548352,5811679416832,192.168.20.11,58114,192.168.20.108,12345,38,38,8,3
1787954234609260426,5811694145683,192.168.20.11,58114,192.168.20.108,12345,39,39,8,3
1787954234624534185,5811709399498,192.168.20.11,58114,192.168.20.108,12345,40,40,8,3
1787954234639233907,5811724110535,192.168.20.11,58114,192.168.20.108,12345,41,41,8,3
1787954234654369481,5811739238720,192.168.20.11,58114,192.168.20.108,12345,42,42,8,3
1787954234669511648,5811754397850,192.168.20.11,58114,192.168.20.108,12345,43,43,8,3
1787954234684376074,5811769242313,192.168.20.11,58114,192.168.20.108,12345,44,44,8,3
1787954234699875000,5811784740702,192.168.20.11,58114,192.168.20.108,12345,45,45,8,3
1787954234714446537,5811799328720,192.168.20.11,58114,192.168.20.108,12345,46,46,8,3
1787954234729532333,5811814396109,192.168.20.11,58114,192.168.20.108,12345,47,47,8,3
1787954234744066981,5811828958906,192.168.20.11,58114,192.168.20.108,12345,48,48,8,3
1787954234759131889,5811844031998,192.168.20.11,58114,192.168.20.108,12345,49,49,8,3
1787954234774305333,5811859182091,192.168.20.11,58114,192.168.20.108,12345,50,50,8,3
1787954234788712315,5811873583294,192.168.20.11,58114,192.168.20.108,12345,51,51,8,3
1787954234804969463,5811889850980,192.168.20.11,58114,192.168.20.108,12345,52,52,8,3
1787954234820098481,5811904961943,192.168.20.11,58114,192.168.20.108,12345,53,53,8,3
1787954234834493981,5811919356702,192.168.20.11,58114,192.168.20.108,12345,54,54,8,3
1787954234849434629,5811934303646,192.168.20.11,58114,192.168.20.108,12345,55,55,8,3
1787954234864178111,5811949114739,192.168.20.11,58114,192.168.20.108,12345,56,56,8,3
1787954234879400518,5811964286480,192.168.20.11,58114,192.168.20.108,12345,57,57,8,3
1787954234894641426,5811979513257,192.168.20.11,58114,192.168.20.108,12345,58,58,8,3
1787954234910484870,5811995375813,192.168.20.11,58114,192.168.20.108,12345,59,59,8,3
1787954234924348129,5812009220591,192.168.20.11,58114,192.168.20.108,12345,60,60,8,3
1787954234939508055,5812024374257,192.168.20.11,58114,192.168.20.108,12345,61,61,8,3
1787954234954622444,5812039505257,192.168.20.11,58114,192.168.20.108,12345,62,62,8,3
1787954234968912518,5812053803535,192.168.20.11,58114,192.168.20.108,12345,63,63,8,3
1787954234983847129,5812068713183,192.168.20.11,58114,192.168.20.108,12345,64,64,8,3
1787954234999072296,5812083940183,192.168.20.11,58114,192.168.20.108,12345,65,65,8,3
1787954235014276888,5812099160072,192.168.20.11,58114,192.168.20.108,12345,66,66,8,3
1787954235029309074,5812114172202,192.168.20.11,58114,192.168.20.108,12345,67,67,8,3
1787954235044246240,5812129112516,192.168.20.11,58114,192.168.20.108,12345,68,68,8,3
1787954235058831888,5812143724905,192.168.20.11,58114,192.168.20.108,12345,69,69,8,3
1787954235073929333,5812158815183,192.168.20.11,58114,192.168.20.108,12345,70,70,8,3
1787954235089096370,5812173964239,192.168.20.11,58114,192.168.20.108,12345,71,71,8,3
1787954235103995277,5812188856979,192.168.20.11,58114,192.168.20.108,12345,72,72,8,3
1787954235119184259,5812204087868,192.168.20.11,58114,192.168.20.108,12345,73,73,8,3
1787954235134179351,5812219051646,192.168.20.11,58114,192.168.20.108,12345,74,74,8,3
1787954235148876777,5812233746424,192.168.20.11,58114,192.168.20.108,12345,75,75,8,3
1787954235164128777,5812249009590,192.168.20.11,58114,192.168.20.108,12345,76,76,8,3
1787954235179182018,5812264083257,192.168.20.11,58114,192.168.20.108,12345,77,77,8,3
1787954235194223962,5812279104461,192.168.20.11,58114,192.168.20.108,12345,78,78,8,3
1787954235209251148,5812294139202,192.168.20.11,58114,192.168.20.108,12345,79,79,8,3
1787954235224124611,5812308990220,192.168.20.11,58114,192.168.20.108,12345,80,80,8,3
1787954235239144574,5812324029016,192.168.20.11,58114,192.168.20.108,12345,81,81,8,3
1787954235254104314,5812338988368,192.168.20.11,58114,192.168.20.108,12345,82,82,8,3
1787954235268898425,5812353775183,192.168.20.11,58114,192.168.20.108,12345,83,83,8,3
1787954235283715092,5812368579405,192.168.20.11,58114,192.168.20.108,12345,84,84,8,3
1787954235299459722,5812384328201,192.168.20.11,58114,192.168.20.108,12345,85,85,8,3
1787954235314265851,5812399150905,192.168.20.11,58114,192.168.20.108,12345,86,86,8,3
1787954235330134518,5812414998201,192.168.20.11,58114,192.168.20.108,12345,87,87,8,3
1787954235343937536,5812428815461,192.168.20.11,58114,192.168.20.108,12345,88,88,8,3
1787954235359430203,5812444319201,192.168.20.11,58114,192.168.20.108,12345,89,89,8,3
1787954235375058925,5812459936442,192.168.20.11,58114,192.168.20.108,12345,90,90,8,3
1787954235389828222,5812474699331,192.168.20.11,58114,192.168.20.108,12345,91,91,8,3
1787954235404256314,5812489119609,192.168.20.11,58114,192.168.20.108,12345,92,92,8,3
1787954235419141370,5812504047942,192.168.20.11,58114,192.168.20.108,12345,93,93,8,3
1787954235434835759,5812519701424,192.168.20.11,58114,192.168.20.108,12345,94,94,8,3
1787954235449246073,5812534112664,192.168.20.11,58114,192.168.20.108,12345,95,95,8,3
1787954235464189666,5812549072035,192.168.20.11,58114,192.168.20.108,12345,96,96,8,3
1787954235479207444,5812564083813,192.168.20.11,58114,192.168.20.108,12345,97,97,8,3
1787954235493972314,5812578837701,192.168.20.11,58114,192.168.20.108,12345,98,98,8,3
1787954235509077962,5812593962720,192.168.20.11,58114,192.168.20.108,12345,99,99,8,3
1787954235524867592,5812609734812,192.168.20.11,58114,192.168.20.108,12345,100,100,8,3
1787954235540869277,5812625767127,192.168.20.11,58114,192.168.20.108,12345,101,101,8,3
1787954235554587129,5812639471979,192.168.20.11,58114,192.168.20.108,12345,102,102,8,3
1787954235569332814,5812654211109,192.168.20.11,58114,192.168.20.108,12345,103,103,8,3
1787954235584082888,5812668952590,192.168.20.11,58114,192.168.20.108,12345,104,104,8,3
1787954235600026925,5812684918609,192.168.20.11,58114,192.168.20.108,12345,105,105,8,3
1787954235614775184,5812699641886,192.168.20.11,58114,192.168.20.108,12345,106,106,8,3
1787954235629062036,5812713923794,192.168.20.11,58114,192.168.20.108,12345,107,107,8,3
1787954235644228166,5812729085405,192.168.20.11,58114,192.168.20.108,12345,108,108,8,3
1787954235659171573,5812744069220,192.168.20.11,58114,192.168.20.108,12345,109,109,8,3
1787954235673814962,5812758688942,192.168.20.11,58114,192.168.20.108,12345,110,110,8,3
1787954235690126555,5812774993442,192.168.20.11,58114,192.168.20.108,12345,111,111,8,3
1787954235704817425,5812789703757,192.168.20.11,58114,192.168.20.108,12345,112,112,8,3
1787954235719656833,5812804524664,192.168.20.11,58114,192.168.20.108,12345,113,113,8,3
1787954235734739036,5812819616553,192.168.20.11,58114,192.168.20.108,12345,114,114,8,3
1787954235749512925,5812834379386,192.168.20.11,58114,192.168.20.108,12345,115,115,8,3
1787954235764220981,5812849101498,192.168.20.11,58114,192.168.20.108,12345,116,116,8,3
1787954235779176462,5812864054072,192.168.20.11,58114,192.168.20.108,12345,117,117,8,3
1787954235793830147,5812878695886,192.168.20.11,58114,192.168.20.108,12345,118,118,8,3
1787954235809223647,5812894106127,192.168.20.11,58114,192.168.20.108,12345,119,119,8,3
1787954235824076981,5812908944423,192.168.20.11,58114,192.168.20.108,12345,120,120,8,3
1787954235839580147,5812924452275,192.168.20.11,58114,192.168.20.108,12345,121,121,8,3
1787954235854416351,5812939305960,192.168.20.11,58114,192.168.20.108,12345,122,122,8,3
1787954235869221314,5812954137553,192.168.20.11,58114,192.168.20.108,12345,123,123,8,3
1787954235884338203,5812969216423,192.168.20.11,58114,192.168.20.108,12345,124,124,8,3
1787954235898952481,5812983860183,192.168.20.11,58114,192.168.20.108,12345,125,125,8,3
1787954235913867481,5812998738294,192.168.20.11,58114,192.168.20.108,12345,126,126,8,3
1787954235929054184,5813013969016,192.168.20.11,58114,192.168.20.108,12345,127,127,8,3
1787954235943960610,5813028845923,192.168.20.11,58114,192.168.20.108,12345,128,128,8,3
1787954235960429240,5813045321257,192.168.20.11,58114,192.168.20.108,12345,129,129,8,3
1787954235973871999,5813058754090,192.168.20.11,58114,192.168.20.108,12345,130,130,8,3
1787954235989058980,5813073932034,192.168.20.11,58114,192.168.20.108,12345,131,131,8,3
1787954236003804943,5813088696349,192.168.20.11,58114,192.168.20.108,12345,132,132,8,3
1787954236018798832,5813103666220,192.168.20.11,58114,192.168.20.108,12345,133,133,8,3
1787954236034101110,5813118965460,192.168.20.11,58114,192.168.20.108,12345,134,134,8,3
1787954236049342073,5813134229960,192.168.20.11,58114,192.168.20.108,12345,135,135,8,3
1787954236064770666,5813149646812,192.168.20.11,58114,192.168.20.108,12345,136,136,8,3
1787954236078908647,5813163782368,192.168.20.11,58114,192.168.20.108,12345,137,137,8,3
1787954236093890351,5813178761720,192.168.20.11,58114,192.168.20.108,12345,138,138,8,3
1787954236108865184,5813193750294,192.168.20.11,58114,192.168.20.108,12345,139,139,8,3
1787954236124174980,5813209045701,192.168.20.11,58114,192.168.20.108,12345,140,140,8,3
1787954236139040666,5813223911034,192.168.20.11,58114,192.168.20.108,12345,141,141,8,3
1787954236154536351,5813239416220,192.168.20.11,58114,192.168.20.108,12345,142,142,8,3
1787954236169908369,5813254785738,192.168.20.11,58114,192.168.20.108,12345,143,143,8,3
1787954236184072369,5813268936701,192.168.20.11,58114,192.168.20.108,12345,144,144,8,3
1787954236199250888,5813284137979,192.168.20.11,58114,192.168.20.108,12345,145,145,8,3
1787954236213761536,5813298629108,192.168.20.11,58114,192.168.20.108,12345,146,146,8,3
1787954236229232221,5813314095942,192.168.20.11,58114,192.168.20.108,12345,147,147,8,3
1787954236244024499,5813328942368,192.168.20.11,58114,192.168.20.108,12345,148,148,8,3
1787954236259581166,5813344492682,192.168.20.11,58114,192.168.20.108,12345,149,149,8,3
1787954236274556684,5813359436016,192.168.20.11,58114,192.168.20.108,12345,150,150,8,3
1787954236289150351,5813374028516,192.168.20.11,58114,192.168.20.108,12345,151,151,8,3
1787954236304385277,5813389274516,192.168.20.11,58114,192.168.20.108,12345,152,152,8,3
1787954236319344925,5813404210145,192.168.20.11,58114,192.168.20.108,12345,153,153,8,3
1787954236334722203,5813419585312,192.168.20.11,58114,192.168.20.108,12345,154,154,8,3
1787954236349008721,5813433901905,192.168.20.11,58114,192.168.20.108,12345,155,155,8,3
1787954236363834721,5813448711479,192.168.20.11,58114,192.168.20.108,12345,156,156,8,3
1787954236379255480,5813464131979,192.168.20.11,58114,192.168.20.108,12345,157,157,8,3
1787954236393880202,5813478745905,192.168.20.11,58114,192.168.20.108,12345,158,158,8,3
1787954236409839221,5813494732997,192.168.20.11,58114,192.168.20.108,12345,159,159,8,3
1787954236423842165,5813508709090,192.168.20.11,58114,192.168.20.108,12345,160,160,8,3
1787954236439432517,5813524300534,192.168.20.11,58114,192.168.20.108,12345,161,161,8,3
1787954236454515017,5813539397867,192.168.20.11,58114,192.168.20.108,12345,162,162,8,3
1787954236469344388,5813554211423,192.168.20.11,58114,192.168.20.108,12345,163,163,8,3
1787954236484580406,5813569454608,192.168.20.11,58114,192.168.20.108,12345,164,164,8,3
1787954236499326684,5813584192367,192.168.20.11,58114,192.168.20.108,12345,165,165,8,3
1787954236514265369,5813599145756,192.168.20.11,58114,192.168.20.108,12345,166,166,8,3
1787954236529174517,5813614041312,192.168.20.11,58114,192.168.20.108,12345,167,167,8,3
1787954236544457388,5813629324497,192.168.20.11,58114,192.168.20.108,12345,168,168,8,3
1787954236559496462,5813644378479,192.168.20.11,58114,192.168.20.108,12345,169,169,8,3
1787954236573803962,5813658689145,192.168.20.11,58114,192.168.20.108,12345,170,170,8,3
1787954236589265591,5813674131682,192.168.20.11,58114,192.168.20.108,12345,171,171,8,3
1787954236604150480,5813689047108,192.168.20.11,58114,192.168.20.108,12345,172,172,8,3
1787954236618805888,5813703671664,192.168.20.11,58114,192.168.20.108,12345,173,173,8,3
