pc_mono_ns,bytes
77292317764600,1605
77292418720100,1386
77292524185400,1617
77292628813900,1386
77292744161300,1617
77292857367800,1617
77292967339900,1848
77293070472800,1386
77293177114000,1617
77293288967900,1617
77293398346000,1386
77293503688300,1617
77293607879100,1412
77293712887300,1591
77293822335300,1617
77293925894300,1617
77294026606200,1386
77294133576500,1617
77294238859300,1386
77294348909300,1617
77294459830900,1617
77294573379200,1617
77294682579800,1617
77294792287600,1611
77294897193400,1623
77295006163800,1386
77295114698800,1617
77295224415600,1617
77295337464800,1617
77295439820700,1386
77295552737000,1617
77295661806900,1617
77295774896500,1617
77295885713800,1617
77295995076300,1617
77296099663900,1617
77296210096600,1617
77296322490300,1617
77296427495400,1386
77296530578100,1456
77296632345700,1547
77296745645800,1617
77296855497200,1617
77296965402500,1617
77297078850800,1617
77297187782100,1617
77297301109700,1617
77297409076000,1617
77297521353600,1538
77297625275900,1465
77297731281100,1617
77297841162700,1386
77297949987300,1848
77298053522600,1386
77298163472800,1617
77298271652100,1617
77298379691100,1386
77298484693200,1611
77298593427300,1617
77298703001100,1386
77298811179800,1617
77298925408400,1848
77299034963800,1590
77299149826700,1644
77299259475500,1386
77299369027200,1617
77299483617100,1617
77299593751400,1617
77299703201300,1617
77299810236000,1617
77299920343500,1550
77300029904400,1684
77300132137700,1386
77300243185900,1617
77300354505700,1617
77300462045100,1617
77300572828300,1617
77300673712800,1386
77300774712900,1386
77300883378200,1617
77300990551600,1617
77301091190900,1386
77301200399800,1617
77301311110200,1617
77301416748500,1386
77301521826300,1617
77301628210200,1617
77301731561100,1386
77301841931600,1617
77301956490800,1651
77302062147800,1583
77302166346300,1539
77302275164000,1464
77302383153100,1617
77302487270200,1377
77302596799400,1596
77302707053500,1596
77302817988000,1596
77302927176000,1596
77303036747700,1596
77303150409300,1596
77303262952100,1596
77303373866900,1596
77303474016700,1358
77303583676600,1561
77303692085800,1561
77303801573000,1561
77303911652200,1338
77304020559000,1784
77304133651500,1561
77304242849300,1353
77304352862900,1546
77304462073100,1561
77304572026300,1561
77304680770000,1561
77304791071700,1523
77304899758000,1376
77305002795800,1561
77305106880600,1561
77305215894600,1338
77305316461600,1561
77305418522600,1338
77305528507900,1561
77305634249800,1338
77305749032300,1707
77305856892300,1415
77305971371000,1784
77306072549000,1338
77306182895200,1561
77306283628500,1338
77306384436700,1383
77306489787200,1516
77306599666200,1561
77306705966700,1338
77306809926500,1561
77306911446600,1338
77307021273900,1565
77307122014700,1557
77307232049600,1561
77307343715500,1561
77307443656400,1338
77307553675500,1561
77307662518100,1338
77307763435000,1561
77307871250300,1338
77307985475100,1784
77308086968100,1338
77308195072900,1561
77308298010900,1338
77308404801700,1561
77308518265400,1561
77308629384100,1561
77308744654900,1561
77308853565000,1561
77308967153600,1561
77309076199800,1561
77309185317800,1561
77309295650300,1561
77309404298300,1536
77309507928900,1363
77309611538700,1338
77309715996100,1561
77309827467000,1561
77309936916400,1561
77310040825600,1561
77310150969100,1338
77310262821300,1561
77310376784300,1561
77310488749700,1561
77310602813400,1561
77310710875100,1561
77310819048300,1561
77310930163000,1561
77311040919100,1561
77311156330400,1561
77311263884200,1561
77311374574600,1561
77311477024500,1338
77311587363300,1561
77311697478600,1561
77311808646500,1561
77311916344700,1536
77312024109500,1586
77312133214400,1480
77312244414300,1419
77312353016000,3006
77312456921400,3193
77312565672800,3252
77312667621900,3166
77312778275800,3446
77312888180400,3488
77312999723400,3405
77313113897400,3795
77313223815000,3651
77313332488800,3693
77313436031800,3551
77313549251200,3918
77313655290800,2452
77313765076900,1392
77313875905200,1596
77313978869200,1596
77314088015000,1596
77314203350000,1596
77314311895900,1596
77314415813500,1368
77314521482200,1596
77314629835900,1596
77314739716900,1368
77314846661000,1596
77314957513700,1596
77315060148600,1596
77315168357000,1513
77315278270700,1451
77315387674200,1596
77315499974400,1596
77315609761400,1596
77315714396700,1368
77315829009100,1824
77315941080100,1497
77316055942600,1695
77316156276200,1368
77316257761100,1596
77316365638700,1368
77316466562300,1596
77316570965300,1368
77316675021400,1596
77316776020900,1368
77316883454700,1566
77316986378400,1398
77317087643900,1596
77317202307200,1596
77317311809700,1596
77317421871800,1388
77317522723800,1565
77317632374700,1596
77317738258500,1368
77317839256700,1368
77317946725800,1596
77318048764500,1596
