# ST-Link HOTPLUG post-capture SRAM; build=1789867492; state=3
TPRB_BEGIN,version=1,clock_hz=170000000,duration_cycles=1700000000
TPRB_RX,0,28837865,1,1
TPRB_RX,1,31383866,2,2
TPRB_RX,2,34124567,3,3
TPRB_RX,3,36497104,4,4
TPRB_RX,4,39037850,5,5
TPRB_RX,5,41587294,6,6
TPRB_RX,6,44130870,7,7
TPRB_RX,7,46672161,8,8
TPRB_RX,8,49219108,9,9
TPRB_RX,9,51958386,10,10
TPRB_RX,10,54501847,11,11
TPRB_RX,11,56860375,12,12
TPRB_RX,12,59583926,13,13
TPRB_RX,13,62126279,14,14
TPRB_RX,14,64667722,15,15
TPRB_RX,15,67215279,16,16
TPRB_RX,16,69763856,17,17
TPRB_RX,17,72305474,18,18
TPRB_RX,18,74847516,19,19
TPRB_RX,19,77389712,20,20
TPRB_RX,20,79932506,21,21
TPRB_RX,21,82479701,22,22
TPRB_RX,22,85031820,23,23
TPRB_RX,23,87758160,24,24
TPRB_RX,24,90118992,25,25
TPRB_RX,25,92662110,26,26
TPRB_RX,26,95202582,27,27
TPRB_RX,27,97742220,28,28
TPRB_RX,28,100284261,29,29
TPRB_RX,29,102828681,30,30
TPRB_RX,30,105552514,31,31
TPRB_RX,31,107916018,32,32
TPRB_RX,32,110643647,33,33
TPRB_RX,33,113006800,34,34
TPRB_RX,34,115545549,35,35
TPRB_RX,35,118267586,36,36
TPRB_RX,36,120632510,37,37
TPRB_RX,37,123355014,38,38
TPRB_RX,38,125901904,39,39
TPRB_RX,39,128444864,40,40
TPRB_RX,40,130985595,41,41
TPRB_RX,41,133525345,42,42
TPRB_RX,42,136069412,43,43
TPRB_RX,43,138612772,44,44
TPRB_RX,44,141156086,45,45
TPRB_RX,45,143698546,46,46
TPRB_RX,46,146235615,47,47
TPRB_RX,47,148774407,48,48
TPRB_RX,48,151314398,49,49
TPRB_RX,49,153865833,50,50
TPRB_RX,50,156410169,51,51
TPRB_RX,51,159133796,52,52
TPRB_RX,52,161676415,53,53
TPRB_RX,53,164042721,54,54
TPRB_RX,54,166586709,55,55
TPRB_RX,55,169135944,56,56
